estimand,label,mean,ci_low,ci_high,decision
Y00,canonical 4D GPC,0.8135202205882353,0.8069620863970589,0.8203722426470588,PHYSICS_SPECIFIC_SUPPORTED
G10,generic trend + residual GP,0.8120496323529413,0.8067968750000001,0.8172473575367646,PHYSICS_SPECIFIC_SUPPORTED
Y10,physics trend + residual GP,0.8299724264705881,0.8264979319852942,0.8334054457720588,PHYSICS_SPECIFIC_SUPPORTED
physics_minus_generic,physics minus generic,0.017922794117647058,0.013441980698529395,0.0227252987132353,PHYSICS_SPECIFIC_SUPPORTED
generic_minus_4D,generic minus 4D,-0.0014705882352941137,-0.0057124310661764675,0.0026058134191176436,PHYSICS_SPECIFIC_SUPPORTED
