arm,label,budget,mean_accuracy,ci_low,ci_high
G10,generic trend + residual GP,16,0.722941176470588,0.7076470588235292,0.7376470588235293
G10,generic trend + residual GP,17,0.7370588235294117,0.72,0.753529411764706
G10,generic trend + residual GP,18,0.741764705882353,0.7252941176470588,0.7588235294117647
G10,generic trend + residual GP,19,0.7494117647058823,0.7311764705882353,0.7670588235294116
G10,generic trend + residual GP,20,0.7617647058823529,0.7458823529411764,0.7776470588235295
G10,generic trend + residual GP,21,0.7576470588235293,0.7429411764705881,0.7729411764705884
G10,generic trend + residual GP,22,0.768235294117647,0.7547058823529413,0.7800000000000002
G10,generic trend + residual GP,23,0.78,0.7629411764705882,0.795294117647059
G10,generic trend + residual GP,24,0.7788235294117649,0.7676470588235296,0.7888235294117649
G10,generic trend + residual GP,25,0.7858823529411767,0.771764705882353,0.7982352941176473
G10,generic trend + residual GP,26,0.7835294117647059,0.7729411764705884,0.7941176470588237
G10,generic trend + residual GP,27,0.7817647058823531,0.7694117647058825,0.7941176470588237
G10,generic trend + residual GP,28,0.7794117647058825,0.7652941176470588,0.7929411764705885
G10,generic trend + residual GP,29,0.7823529411764708,0.7682352941176471,0.795294117647059
G10,generic trend + residual GP,30,0.7888235294117649,0.7782352941176471,0.7994117647058825
G10,generic trend + residual GP,31,0.7905882352941178,0.7776470588235295,0.8029411764705884
G10,generic trend + residual GP,32,0.795294117647059,0.7823529411764707,0.8076470588235294
G10,generic trend + residual GP,33,0.7941176470588237,0.7829411764705885,0.8052941176470589
G10,generic trend + residual GP,34,0.8011764705882355,0.7905882352941178,0.8111764705882354
G10,generic trend + residual GP,35,0.8023529411764707,0.7911764705882354,0.8129411764705884
G10,generic trend + residual GP,36,0.8047058823529414,0.7917647058823529,0.8164705882352943
G10,generic trend + residual GP,37,0.8064705882352943,0.7947058823529414,0.8182352941176472
G10,generic trend + residual GP,38,0.8094117647058825,0.7970588235294119,0.8211764705882354
G10,generic trend + residual GP,39,0.811764705882353,0.7976470588235296,0.8247058823529413
G10,generic trend + residual GP,40,0.8135294117647061,0.8005882352941178,0.825294117647059
G10,generic trend + residual GP,41,0.8182352941176472,0.8094117647058825,0.8270588235294118
G10,generic trend + residual GP,42,0.8176470588235295,0.8082352941176472,0.8270588235294118
G10,generic trend + residual GP,43,0.8211764705882354,0.811764705882353,0.8300000000000001
G10,generic trend + residual GP,44,0.8211764705882354,0.8105882352941178,0.8311764705882354
G10,generic trend + residual GP,45,0.8264705882352942,0.8164705882352943,0.8358823529411765
G10,generic trend + residual GP,46,0.8276470588235295,0.8158823529411766,0.8388235294117647
G10,generic trend + residual GP,47,0.8276470588235295,0.8194117647058825,0.8364705882352942
G10,generic trend + residual GP,48,0.8264705882352942,0.8176470588235295,0.8358823529411765
G10,generic trend + residual GP,49,0.831764705882353,0.8217647058823531,0.8423529411764706
G10,generic trend + residual GP,50,0.8341176470588236,0.825294117647059,0.8423529411764706
G10,generic trend + residual GP,51,0.8358823529411765,0.8282352941176472,0.8429411764705883
G10,generic trend + residual GP,52,0.8347058823529412,0.8288235294117647,0.8405882352941176
G10,generic trend + residual GP,53,0.8347058823529412,0.8276470588235295,0.8423529411764706
G10,generic trend + residual GP,54,0.8352941176470589,0.8282352941176472,0.8423529411764706
G10,generic trend + residual GP,55,0.8370588235294119,0.8305882352941177,0.8435294117647059
G10,generic trend + residual GP,56,0.8358823529411765,0.8294117647058824,0.8429411764705883
G10,generic trend + residual GP,57,0.8347058823529412,0.8276470588235295,0.8423529411764706
G10,generic trend + residual GP,58,0.8352941176470589,0.8282352941176472,0.8423529411764706
G10,generic trend + residual GP,59,0.8370588235294119,0.8305882352941177,0.8435294117647059
G10,generic trend + residual GP,60,0.8323529411764706,0.8270588235294118,0.8376470588235294
G10,generic trend + residual GP,61,0.831764705882353,0.825294117647059,0.8382352941176471
G10,generic trend + residual GP,62,0.8288235294117647,0.8229411764705883,0.8352941176470589
G10,generic trend + residual GP,63,0.8294117647058824,0.823529411764706,0.8352941176470589
G10,generic trend + residual GP,64,0.8311764705882354,0.825294117647059,0.8376470588235294
G10,generic trend + residual GP,65,0.8300000000000001,0.823529411764706,0.8370588235294119
G10,generic trend + residual GP,66,0.8311764705882354,0.825294117647059,0.8370588235294119
G10,generic trend + residual GP,67,0.8311764705882354,0.8247058823529413,0.8382352941176471
G10,generic trend + residual GP,68,0.8300000000000001,0.823529411764706,0.8364705882352942
G10,generic trend + residual GP,69,0.831764705882353,0.8247058823529413,0.8388235294117647
G10,generic trend + residual GP,70,0.8311764705882354,0.8247058823529413,0.8376470588235294
G10,generic trend + residual GP,71,0.8300000000000001,0.8229411764705883,0.8370588235294119
G10,generic trend + residual GP,72,0.8300000000000001,0.8229411764705883,0.8376470588235294
G10,generic trend + residual GP,73,0.8294117647058824,0.8229411764705883,0.8364705882352942
G10,generic trend + residual GP,74,0.8311764705882354,0.8247058823529413,0.8376470588235294
G10,generic trend + residual GP,75,0.8305882352941177,0.8241176470588236,0.8376470588235294
G10,generic trend + residual GP,76,0.8305882352941177,0.8241176470588236,0.8376470588235294
G10,generic trend + residual GP,77,0.8311764705882354,0.8247058823529413,0.8382352941176471
G10,generic trend + residual GP,78,0.8311764705882354,0.8247058823529413,0.8376470588235294
G10,generic trend + residual GP,79,0.8323529411764706,0.8258823529411765,0.8388235294117647
G10,generic trend + residual GP,80,0.8311764705882354,0.8241176470588236,0.8382352941176471
Y00,canonical 4D GPC,16,0.7317647058823529,0.7141176470588234,0.7505882352941177
Y00,canonical 4D GPC,17,0.7458823529411764,0.7305882352941176,0.7611764705882351
Y00,canonical 4D GPC,18,0.7470588235294118,0.7294117647058822,0.7641176470588237
Y00,canonical 4D GPC,19,0.7511764705882354,0.7370588235294118,0.7652941176470589
Y00,canonical 4D GPC,20,0.7635294117647058,0.7517647058823529,0.7758823529411767
Y00,canonical 4D GPC,21,0.758235294117647,0.7441176470588236,0.771764705882353
Y00,canonical 4D GPC,22,0.7688235294117647,0.7558823529411766,0.7811764705882354
Y00,canonical 4D GPC,23,0.7735294117647058,0.7564705882352942,0.7888235294117647
Y00,canonical 4D GPC,24,0.7823529411764707,0.7676470588235293,0.7964705882352943
Y00,canonical 4D GPC,25,0.7823529411764707,0.7647058823529411,0.7988235294117649
Y00,canonical 4D GPC,26,0.7835294117647059,0.7676470588235293,0.7982352941176473
Y00,canonical 4D GPC,27,0.7882352941176473,0.7729411764705884,0.8029411764705884
Y00,canonical 4D GPC,28,0.7888235294117648,0.7770588235294118,0.7994117647058825
Y00,canonical 4D GPC,29,0.7923529411764707,0.7770588235294119,0.8070588235294119
Y00,canonical 4D GPC,30,0.7970588235294119,0.78,0.8135294117647061
Y00,canonical 4D GPC,31,0.7941176470588237,0.7782352941176471,0.8082352941176472
Y00,canonical 4D GPC,32,0.7947058823529414,0.7794117647058825,0.8105882352941178
Y00,canonical 4D GPC,33,0.7900000000000003,0.7723529411764706,0.8070588235294119
Y00,canonical 4D GPC,34,0.8005882352941178,0.7894117647058826,0.811764705882353
Y00,canonical 4D GPC,35,0.7982352941176473,0.7876470588235296,0.8082352941176472
Y00,canonical 4D GPC,36,0.8011764705882355,0.7864705882352941,0.8147058823529413
Y00,canonical 4D GPC,37,0.803529411764706,0.7876470588235295,0.8182352941176472
Y00,canonical 4D GPC,38,0.8170588235294118,0.8041176470588237,0.8288235294117647
Y00,canonical 4D GPC,39,0.8200000000000001,0.8088235294117648,0.8300000000000001
Y00,canonical 4D GPC,40,0.8170588235294118,0.8058823529411766,0.8276470588235295
Y00,canonical 4D GPC,41,0.8200000000000001,0.8088235294117648,0.8311764705882354
Y00,canonical 4D GPC,42,0.8200000000000001,0.8076470588235296,0.831764705882353
Y00,canonical 4D GPC,43,0.8229411764705883,0.8141029411764706,0.8323529411764706
Y00,canonical 4D GPC,44,0.8194117647058825,0.8076470588235296,0.8305882352941177
Y00,canonical 4D GPC,45,0.8170588235294118,0.803529411764706,0.8294117647058824
Y00,canonical 4D GPC,46,0.8200000000000001,0.8076470588235296,0.8311764705882354
Y00,canonical 4D GPC,47,0.8217647058823531,0.8135294117647061,0.8305882352941177
Y00,canonical 4D GPC,48,0.8217647058823531,0.8094117647058823,0.831764705882353
Y00,canonical 4D GPC,49,0.8282352941176472,0.8200000000000001,0.8364705882352942
Y00,canonical 4D GPC,50,0.8264705882352942,0.8200000000000001,0.832955882352941
Y00,canonical 4D GPC,51,0.8276470588235295,0.8211764705882354,0.8347058823529412
Y00,canonical 4D GPC,52,0.8276470588235295,0.8205882352941177,0.8352941176470589
Y00,canonical 4D GPC,53,0.8311764705882354,0.8241176470588236,0.8388235294117647
Y00,canonical 4D GPC,54,0.8264705882352942,0.8194117647058825,0.8341176470588236
Y00,canonical 4D GPC,55,0.8258823529411765,0.8188088235294119,0.833529411764706
Y00,canonical 4D GPC,56,0.8300000000000001,0.8217647058823531,0.8388235294117647
Y00,canonical 4D GPC,57,0.831764705882353,0.825294117647059,0.8388235294117647
Y00,canonical 4D GPC,58,0.8305882352941177,0.8241176470588236,0.8376470588235294
Y00,canonical 4D GPC,59,0.8341176470588236,0.8264705882352942,0.8423529411764706
Y00,canonical 4D GPC,60,0.8329411764705883,0.8247058823529413,0.841764705882353
Y00,canonical 4D GPC,61,0.8352941176470589,0.8276470588235295,0.8435294117647059
Y00,canonical 4D GPC,62,0.8347058823529412,0.8270588235294118,0.8429411764705883
Y00,canonical 4D GPC,63,0.8376470588235294,0.8294117647058824,0.8464705882352941
Y00,canonical 4D GPC,64,0.8370588235294119,0.8288235294117647,0.8458823529411765
Y00,canonical 4D GPC,65,0.8388235294117647,0.8294117647058824,0.8488235294117648
Y00,canonical 4D GPC,66,0.8388235294117647,0.8288235294117647,0.8494117647058823
Y00,canonical 4D GPC,67,0.8382352941176471,0.8300000000000001,0.8470588235294118
Y00,canonical 4D GPC,68,0.8400000000000001,0.8305882352941177,0.8494117647058823
Y00,canonical 4D GPC,69,0.8364705882352942,0.8276470588235295,0.8458823529411765
Y00,canonical 4D GPC,70,0.8382352941176471,0.8288235294117647,0.8476470588235294
Y00,canonical 4D GPC,71,0.8376470588235294,0.8282352941176472,0.8470735294117645
Y00,canonical 4D GPC,72,0.8382352941176471,0.8276470588235295,0.8488235294117648
Y00,canonical 4D GPC,73,0.8400000000000001,0.8305882352941177,0.85
Y00,canonical 4D GPC,74,0.8382352941176471,0.8294117647058824,0.8470588235294118
Y00,canonical 4D GPC,75,0.8347058823529412,0.825294117647059,0.8447058823529412
Y00,canonical 4D GPC,76,0.8352941176470589,0.8247058823529413,0.8458823529411765
Y00,canonical 4D GPC,77,0.8364705882352942,0.8264705882352942,0.8464705882352941
Y00,canonical 4D GPC,78,0.8358823529411765,0.8258823529411765,0.8458823529411765
Y00,canonical 4D GPC,79,0.8358823529411765,0.825294117647059,0.8458823529411765
Y00,canonical 4D GPC,80,0.8329411764705883,0.8211764705882354,0.8435294117647059
Y10,physics trend + residual GP,16,0.7847058823529413,0.7670588235294118,0.8023529411764707
Y10,physics trend + residual GP,17,0.8064705882352943,0.7911764705882354,0.8211764705882354
Y10,physics trend + residual GP,18,0.8064705882352943,0.7917647058823531,0.8200000000000001
Y10,physics trend + residual GP,19,0.8070588235294119,0.7958823529411767,0.8176470588235295
Y10,physics trend + residual GP,20,0.8105882352941178,0.8005882352941178,0.8200000000000001
Y10,physics trend + residual GP,21,0.8147058823529413,0.8041176470588237,0.8247058823529413
Y10,physics trend + residual GP,22,0.8129411764705884,0.8017647058823532,0.823529411764706
Y10,physics trend + residual GP,23,0.8170588235294118,0.8105882352941178,0.823529411764706
Y10,physics trend + residual GP,24,0.8217647058823531,0.815294117647059,0.8282352941176472
Y10,physics trend + residual GP,25,0.8282352941176472,0.8176470588235295,0.8382352941176471
Y10,physics trend + residual GP,26,0.8264705882352942,0.8194117647058825,0.833529411764706
Y10,physics trend + residual GP,27,0.8288235294117647,0.8200000000000001,0.8376470588235294
Y10,physics trend + residual GP,28,0.8270588235294118,0.8200000000000001,0.8341176470588236
Y10,physics trend + residual GP,29,0.825294117647059,0.8182352941176472,0.8329411764705883
Y10,physics trend + residual GP,30,0.8247058823529413,0.8164705882352943,0.8323529411764706
Y10,physics trend + residual GP,31,0.8276470588235295,0.8188235294117648,0.8358823529411765
Y10,physics trend + residual GP,32,0.8294117647058824,0.8223529411764707,0.8364705882352942
Y10,physics trend + residual GP,33,0.8311764705882354,0.8229411764705883,0.8388235294117647
Y10,physics trend + residual GP,34,0.8276470588235295,0.815294117647059,0.8370588235294119
Y10,physics trend + residual GP,35,0.8329411764705883,0.8205882352941177,0.8429411764705883
Y10,physics trend + residual GP,36,0.8276470588235295,0.8170588235294118,0.8376470588235294
Y10,physics trend + residual GP,37,0.8282352941176472,0.8176470588235295,0.8376470588235294
Y10,physics trend + residual GP,38,0.8329411764705883,0.823529411764706,0.8423529411764706
Y10,physics trend + residual GP,39,0.8364705882352942,0.8288235294117647,0.8441176470588235
Y10,physics trend + residual GP,40,0.8352941176470589,0.8282352941176472,0.8423529411764706
Y10,physics trend + residual GP,41,0.8341176470588236,0.8264705882352942,0.8411764705882353
Y10,physics trend + residual GP,42,0.8329411764705883,0.8258823529411765,0.8400000000000001
Y10,physics trend + residual GP,43,0.8347058823529412,0.8282352941176472,0.8405882352941176
Y10,physics trend + residual GP,44,0.8358823529411765,0.8305882352941177,0.841764705882353
Y10,physics trend + residual GP,45,0.8364705882352942,0.8305882352941177,0.8423529411764706
Y10,physics trend + residual GP,46,0.8358823529411765,0.8300000000000001,0.841764705882353
Y10,physics trend + residual GP,47,0.8376470588235294,0.831764705882353,0.8441176470588235
Y10,physics trend + residual GP,48,0.8311764705882354,0.825294117647059,0.8364705882352942
Y10,physics trend + residual GP,49,0.8341176470588236,0.8288235294117647,0.8394117647058824
Y10,physics trend + residual GP,50,0.8329411764705883,0.8276470588235295,0.8376470588235294
Y10,physics trend + residual GP,51,0.8352941176470589,0.8294117647058824,0.8411764705882353
Y10,physics trend + residual GP,52,0.831764705882353,0.8258823529411765,0.8376470588235294
Y10,physics trend + residual GP,53,0.8329411764705883,0.8282352941176472,0.8376470588235294
Y10,physics trend + residual GP,54,0.831764705882353,0.8270588235294118,0.8370588235294119
Y10,physics trend + residual GP,55,0.8329411764705883,0.8264705882352942,0.8400000000000001
Y10,physics trend + residual GP,56,0.8323529411764706,0.8282352941176472,0.8364705882352942
Y10,physics trend + residual GP,57,0.8323529411764706,0.8276470588235295,0.8370588235294119
Y10,physics trend + residual GP,58,0.8329411764705883,0.8282352941176472,0.8376470588235294
Y10,physics trend + residual GP,59,0.8329411764705883,0.8276470588235295,0.8382352941176471
Y10,physics trend + residual GP,60,0.8329411764705883,0.8276470588235295,0.8382352941176471
Y10,physics trend + residual GP,61,0.8341176470588236,0.8294117647058824,0.8388235294117647
Y10,physics trend + residual GP,62,0.833529411764706,0.8282352941176472,0.8388235294117647
Y10,physics trend + residual GP,63,0.8352941176470589,0.8305882352941177,0.8400000000000001
Y10,physics trend + residual GP,64,0.8358823529411765,0.8311764705882354,0.8405882352941176
Y10,physics trend + residual GP,65,0.8347058823529412,0.8300000000000001,0.8394117647058824
Y10,physics trend + residual GP,66,0.8347058823529412,0.8294117647058824,0.8400000000000001
Y10,physics trend + residual GP,67,0.8347058823529412,0.8294117647058824,0.8394117647058824
Y10,physics trend + residual GP,68,0.8341176470588236,0.8282352941176472,0.8394117647058824
Y10,physics trend + residual GP,69,0.8341176470588236,0.8288235294117647,0.8394117647058824
Y10,physics trend + residual GP,70,0.8347058823529412,0.8300000000000001,0.8394117647058824
Y10,physics trend + residual GP,71,0.8347058823529412,0.8294117647058824,0.8400000000000001
Y10,physics trend + residual GP,72,0.8341176470588236,0.8288235294117647,0.8394117647058824
Y10,physics trend + residual GP,73,0.8358823529411765,0.8305882352941177,0.8411764705882353
Y10,physics trend + residual GP,74,0.8352941176470589,0.8300000000000001,0.8405882352941176
Y10,physics trend + residual GP,75,0.8352941176470589,0.8305882352941177,0.8405882352941176
Y10,physics trend + residual GP,76,0.8364705882352942,0.831764705882353,0.8411764705882353
Y10,physics trend + residual GP,77,0.8352941176470589,0.8300000000000001,0.8405882352941176
Y10,physics trend + residual GP,78,0.8358823529411765,0.8305882352941177,0.8411764705882353
Y10,physics trend + residual GP,79,0.8376470588235294,0.8329411764705883,0.8423529411764706
Y10,physics trend + residual GP,80,0.8364705882352942,0.831764705882353,0.841764705882353
