effect,budget,subset,metric,mean,ci_low,ci_high
physics_minus_generic,16,B1_q20,accuracy,0.0617647058823529,0.03941176470588234,0.08588235294117644
physics_minus_generic,16,B1_q20,balanced_accuracy,0.057614607614607606,0.03498308843933843,0.0828475899100899
physics_minus_generic,16,B1_q20,conduction_recall,0.06255461205461206,0.033541261516261515,0.09167098318348318
physics_minus_generic,16,B1_q20,false_negative,-0.38,-0.6000000000000001,-0.16999999999999998
physics_minus_generic,16,B1_q20,false_positive,-0.6699999999999999,-0.9799999999999998,-0.37
physics_minus_generic,16,B1_q20,keyhole_recall,0.052674603174603166,0.017708531746031743,0.08898521825396823
physics_minus_generic,16,B1_q30,balanced_accuracy,0.05584298362026689,0.03836640620838571,0.07531279615851982
physics_minus_generic,16,full81,balanced_accuracy,0.03048927440718486,0.019079077825159933,0.04170351085481683
physics_minus_generic,20,B1_q20,accuracy,0.048823529411764696,0.034117647058823516,0.06470588235294115
physics_minus_generic,20,B1_q20,balanced_accuracy,0.04741151903651905,0.03289146825396826,0.06313393897768899
physics_minus_generic,20,B1_q20,conduction_recall,0.04570399045399047,0.022022669691419704,0.06903894230769231
physics_minus_generic,20,B1_q20,false_negative,-0.33999999999999997,-0.5199999999999999,-0.1597500000000036
physics_minus_generic,20,B1_q20,false_positive,-0.49000000000000005,-0.74,-0.23000000000000004
physics_minus_generic,20,B1_q20,keyhole_recall,0.04911904761904762,0.019658035714285718,0.07752896825396824
physics_minus_generic,20,B1_q30,balanced_accuracy,0.04065077807899015,0.028099633157305376,0.054426563281811925
physics_minus_generic,20,full81,balanced_accuracy,0.023309943787555732,0.016270950442592243,0.030917727111197273
physics_minus_generic,30,B1_q20,accuracy,0.03588235294117644,0.02588235294117645,0.04588235294117645
physics_minus_generic,30,B1_q20,balanced_accuracy,0.03863514263514264,0.028754945054945056,0.049321027930402946
physics_minus_generic,30,B1_q20,conduction_recall,0.01774647574647576,0.0043512501387501495,0.03047453865578867
physics_minus_generic,30,B1_q20,false_negative,-0.42000000000000004,-0.5000000000000001,-0.34
physics_minus_generic,30,B1_q20,false_positive,-0.19,-0.33,-0.04000000000000001
physics_minus_generic,30,B1_q20,keyhole_recall,0.05952380952380952,0.04508710317460317,0.07588928571428571
physics_minus_generic,30,B1_q30,balanced_accuracy,0.03066135118321651,0.02165352110640908,0.039662559752768736
physics_minus_generic,30,full81,balanced_accuracy,0.019607740518188296,0.015022947761194044,0.024065036828842794
physics_minus_generic,40,B1_q20,accuracy,0.02176470588235293,0.01176470588235293,0.03235294117647057
physics_minus_generic,40,B1_q20,balanced_accuracy,0.022803973803973806,0.011683442599067603,0.03350708423520924
physics_minus_generic,40,B1_q20,conduction_recall,0.018500804750804768,0.00463085317460319,0.03287755439005441
physics_minus_generic,40,B1_q20,false_negative,-0.18000000000000002,-0.3,-0.06000000000000001
physics_minus_generic,40,B1_q20,false_positive,-0.19,-0.33000000000000007,-0.05
physics_minus_generic,40,B1_q20,keyhole_recall,0.027107142857142857,0.008448412698412695,0.045333531746031754
physics_minus_generic,40,B1_q30,balanced_accuracy,0.018089542595347556,0.010770901748857437,0.025106160831557502
physics_minus_generic,40,full81,balanced_accuracy,0.010243458034502825,0.006350577469793893,0.01421104461458941
physics_minus_generic,60,B1_q20,accuracy,0.0005882352941176286,-0.006470588235294136,0.0076470588235293905
physics_minus_generic,60,B1_q20,balanced_accuracy,0.00030957930957930754,-0.007426871392496395,0.008135105519480518
physics_minus_generic,60,B1_q20,conduction_recall,-0.0006268731268731158,-0.010869751082251074,0.009784628565878572
physics_minus_generic,60,B1_q20,false_negative,-0.019999999999999997,-0.11000000000000001,0.07000000000000002
physics_minus_generic,60,B1_q20,false_positive,0.01,-0.09999999999999999,0.11000000000000001
physics_minus_generic,60,B1_q20,keyhole_recall,0.001246031746031742,-0.013873511904761911,0.015765873015873007
physics_minus_generic,60,B1_q30,balanced_accuracy,-0.0018626664228444361,-0.008192578735656326,0.0048935301712391506
physics_minus_generic,60,full81,balanced_accuracy,0.00019952187116367286,-0.0028145530464560157,0.003081436970989223
physics_minus_generic,80,B1_q20,accuracy,0.005294117647058805,-0.002352941176470609,0.01294117647058822
physics_minus_generic,80,B1_q20,balanced_accuracy,0.007398809523809528,-0.001599625721500721,0.016164154942279924
physics_minus_generic,80,B1_q20,conduction_recall,-0.0019166666666666585,-0.009482386363636356,0.005977272727272736
physics_minus_generic,80,B1_q20,false_negative,-0.11000000000000001,-0.2,-0.02
physics_minus_generic,80,B1_q20,false_positive,0.020000000000000004,-0.06000000000000001,0.09999999999999999
physics_minus_generic,80,B1_q20,keyhole_recall,0.01671428571428571,0.0020633928571428552,0.03069484126984126
physics_minus_generic,80,B1_q30,balanced_accuracy,0.0050003054650887505,-0.002383162144443094,0.012399431064291748
physics_minus_generic,80,full81,balanced_accuracy,0.0039105123731989575,0.0003877842928216167,0.0074214099954771915
generic_minus_4D,16,B1_q20,accuracy,-0.008823529411764692,-0.023529411764705882,0.006470588235294133
generic_minus_4D,16,B1_q20,balanced_accuracy,0.026852855477855476,0.006937014374514373,0.047419276556776545
generic_minus_4D,16,B1_q20,conduction_recall,-0.118230796980797,-0.13625231712731714,-0.09919159729159731
generic_minus_4D,16,B1_q20,false_negative,-1.1099999999999999,-1.33,-0.9
generic_minus_4D,16,B1_q20,false_positive,1.2600000000000002,1.06975,1.45
generic_minus_4D,16,B1_q20,keyhole_recall,0.17193650793650794,0.13661904761904764,0.20883839285714284
generic_minus_4D,16,B1_q30,balanced_accuracy,0.035366537014756824,0.018285131382098283,0.053575662201682875
generic_minus_4D,16,full81,balanced_accuracy,0.03243626025715579,0.022962716450216466,0.043398996090973696
generic_minus_4D,20,B1_q20,accuracy,-0.0017647058823529443,-0.016470588235294115,0.012941176470588229
generic_minus_4D,20,B1_q20,balanced_accuracy,0.016505785880785877,0.001191498432123437,0.031825404456654445
generic_minus_4D,20,B1_q20,conduction_recall,-0.057615412365412365,-0.07595115093240094,-0.03998880147630148
generic_minus_4D,20,B1_q20,false_negative,-0.58,-0.7699999999999999,-0.39
generic_minus_4D,20,B1_q20,false_positive,0.61,0.43,0.8
generic_minus_4D,20,B1_q20,keyhole_recall,0.09062698412698414,0.06180545634920635,0.11980565476190479
generic_minus_4D,20,B1_q30,balanced_accuracy,0.016219132046144436,0.0027818138437285082,0.029410101139508073
generic_minus_4D,20,full81,balanced_accuracy,0.01556415972087615,0.007912973282935975,0.02318886250565355
generic_minus_4D,30,B1_q20,accuracy,-0.008235294117647052,-0.02058823529411764,0.003529411764705878
generic_minus_4D,30,B1_q20,balanced_accuracy,0.002044566544566543,-0.012607938936063942,0.016562192321567314
generic_minus_4D,30,B1_q20,conduction_recall,-0.0369465811965812,-0.05444073912198912,-0.020267919580419597
generic_minus_4D,30,B1_q20,false_negative,-0.25000000000000006,-0.45,-0.06
generic_minus_4D,30,B1_q20,false_positive,0.39,0.22000000000000003,0.56
generic_minus_4D,30,B1_q20,keyhole_recall,0.041035714285714286,0.011439980158730153,0.07355347222222221
generic_minus_4D,30,B1_q30,balanced_accuracy,0.0034881020037753757,-0.009222123862656945,0.017325923656559297
