repeat,fold,G10,Y00,Y10,physics_minus_generic,generic_minus_4D,decision
1,3.0,0.8204963235294118,0.8095588235294118,0.8280330882352942,0.0075367647058823374,0.01093750000000009,PHYSICS_SPECIFIC_SUPPORTED
2,3.0,0.8101102941176471,0.8175551470588236,0.8253676470588236,0.015257352941176427,-0.0074448529411764944,PHYSICS_SPECIFIC_SUPPORTED
3,3.0,0.8284007352941176,0.8238051470588236,0.8377757352941175,0.009375,0.004595588235294113,PHYSICS_SPECIFIC_SUPPORTED
4,3.0,0.7845588235294118,0.7780330882352942,0.8151654411764706,0.030606617647058854,0.006525735294117663,PHYSICS_SPECIFIC_SUPPORTED
5,3.0,0.796047794117647,0.8021139705882353,0.8297794117647058,0.033731617647058766,-0.006066176470588269,PHYSICS_SPECIFIC_SUPPORTED
6,3.0,0.8270220588235293,0.8329963235294118,0.8334558823529411,0.006433823529411864,-0.0059742647058824705,PHYSICS_SPECIFIC_SUPPORTED
7,3.0,0.8159926470588236,0.8266544117647058,0.83125,0.015257352941176517,-0.010661764705882338,PHYSICS_SPECIFIC_SUPPORTED
8,3.0,0.8097426470588236,0.8047794117647058,0.8309742647058824,0.02123161764705883,0.004963235294117773,PHYSICS_SPECIFIC_SUPPORTED
9,3.0,0.8072610294117647,0.8176470588235294,0.8422794117647058,0.0350183823529411,-0.010386029411764674,PHYSICS_SPECIFIC_SUPPORTED
10,3.0,0.8030330882352941,0.8006433823529411,0.8191176470588235,0.016084558823529438,0.002389705882352944,PHYSICS_SPECIFIC_SUPPORTED
11,3.0,0.8202205882352942,0.8160845588235294,0.8401654411764705,0.019944852941176427,0.004136029411764763,PHYSICS_SPECIFIC_SUPPORTED
12,3.0,0.8071691176470589,0.8011029411764706,0.8150735294117647,0.00790441176470591,0.006066176470588225,PHYSICS_SPECIFIC_SUPPORTED
13,3.0,0.8279411764705882,0.8262867647058822,0.8277573529411765,-0.00018382352941184176,0.001654411764705954,PHYSICS_SPECIFIC_SUPPORTED
14,3.0,0.8058823529411765,0.8132352941176471,0.8234375,0.017555147058823505,-0.007352941176470606,PHYSICS_SPECIFIC_SUPPORTED
15,3.0,0.8059742647058823,0.8151654411764706,0.8227022058823529,0.01672794117647063,-0.009191176470588291,PHYSICS_SPECIFIC_SUPPORTED
16,3.0,0.8258272058823529,0.823529411764706,0.8385110294117647,0.012683823529411864,0.0022977941176469674,PHYSICS_SPECIFIC_SUPPORTED
17,3.0,0.8286764705882353,0.8521139705882353,0.8385110294117647,0.009834558823529238,-0.023437499999999934,PHYSICS_SPECIFIC_SUPPORTED
18,3.0,0.8030330882352941,0.7946691176470587,0.8378676470588236,0.03483455882352944,0.008363970588235325,PHYSICS_SPECIFIC_SUPPORTED
19,3.0,0.8165441176470589,0.8023897058823529,0.8284007352941177,0.01185661764705892,0.014154411764705865,PHYSICS_SPECIFIC_SUPPORTED
20,3.0,0.7970588235294118,0.8120404411764707,0.8338235294117646,0.0367647058823529,-0.014981617647058876,PHYSICS_SPECIFIC_SUPPORTED
