arm,label,scope,fits,residual_sd_lower_bound_fraction,residual_sd_upper_bound_fraction,length_scale_lower_bound_fraction,length_scale_upper_bound_fraction,convergence_warning_fraction,fallback_count,mean_residual_sd,mean_length_scale,mean_residual_rms_full81,mean_residual_rms_B1_q20
G10,generic trend + residual GP,all_16_80,6500,0.05015384615384615,0.9161538461538462,0.06846153846153846,0.15553846153846154,0.9866153846153846,0,0.9395179005955926,1.5799876635531265,0.13195213521964225,0.18570939731613767
G10,generic trend + residual GP,budget_16,100,0.13,0.78,0.28,0.56,1.0,0,0.8223047694912512,2.4674398299184754,0.05506067746451311,0.05655381891716152
G10,generic trend + residual GP,budget_40,100,0.04,0.94,0.03,0.09,0.99,0,0.9608813423915137,1.5111506001905834,0.12809152240320468,0.1820864628558609
G10,generic trend + residual GP,budget_80,100,0.0,1.0,0.0,0.0,1.0,0,1.0,1.230415676815178,0.18726364855085378,0.28025543401170977
Y10,physics trend + residual GP,all_16_80,6500,0.35907692307692307,0.15076923076923077,0.15446153846153846,0.1756923076923077,0.573076923076923,0,0.45382908059660243,1.332033943388968,0.05667444836613098,0.09081070878320338
Y10,physics trend + residual GP,budget_16,100,0.56,0.38,0.21,0.56,1.0,0,0.41936658204638083,2.7354814133906844,0.03135667358302892,0.03822352163498533
Y10,physics trend + residual GP,budget_40,100,0.47,0.08,0.19,0.18,0.64,0,0.3597949281796812,1.2390346867703272,0.037546966617517136,0.06216842623740629
Y10,physics trend + residual GP,budget_80,100,0.05,0.33,0.06,0.01,0.41,0,0.7332683465501795,0.9303865295477283,0.1241558335340824,0.20613108786964915
