simulation_id,P,VX,LS,ST,selected_width_target_um,selected_length_target_um,selected_depth_target_um,width_target_summary_uncertainty_um,length_target_summary_uncertainty_um,depth_target_summary_uncertainty_um,phase1_unstable_window_flag
sim_00001,101.127472137,0.52394730996,4.5e-05,300.0,126.26144,262.5708499999,50.71019,0.0174786866429816,0.1230661139451201,0.0080702185790055,False
sim_00002,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,126.32872499999999,297.7007,26.660185000000002,2.832068499780611,0.5526493048259468,0.0049247554680755,True
sim_00003,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,127.94122499989999,261.8447,34.838855,0.0206982062450007,0.1757553371526284,0.0042517860044993,False
sim_00004,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,203.32255,288.07835,46.715575,0.1581160220002594,0.3970086262169766,0.0156401368312364,False
sim_00005,109.759946449,0.241926176876,4.5e-05,300.0,166.993245,236.38402999989998,66.61901499999999,0.0104241831438212,0.3396056390010079,0.0058376608769374,False
sim_00006,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,128.06481,292.1034,26.879504999999998,0.0771664368096144,0.258538734650614,0.0079752871600006,True
sim_00007,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,202.28875,262.4155,50.78583,0.0460041331526232,0.4773138503188057,0.0020867232601206,False
sim_00008,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,133.3735999999,291.7725,38.68263,0.033696037860623,0.470633663434686,0.0203044172081032,False
sim_00009,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,127.16849,264.21325,54.58924,0.0203433083207809,0.2075795123365598,0.0061069393865701,False
sim_00010,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,133.94807,277.71594999999996,46.822900000000004,0.0245881427103586,0.2047663369423779,0.0065574015624792,False
sim_00011,114.820217584,0.948189613582,6.03705790634e-05,353.560035146,115.63943,304.21659999990004,34.802389999999995,0.0713469295559363,0.1557501008084547,0.0046849574268912,False
