boundary_definition,quantile,method,method_label,budget,run_count,mean_accuracy,median_accuracy,sd_accuracy,q25_accuracy,q75_accuracy,iqr_accuracy,ci95_accuracy_lower,ci95_accuracy_upper,mean_error,accuracy_identity_max_abs_error,interval_type
B1,20,binary_uncertainty_repulsion,Binary,16,20,0.779411764706,0.823529411765,0.0892613203922,0.705882352941,0.823529411765,0.117647058824,0.737636180826,0.821187348585,0.220588235294,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,max_depth_straddle,Max-Depth,16,20,0.717647058824,0.705882352941,0.115459538876,0.588235294118,0.823529411765,0.235294117647,0.663610331271,0.771683786376,0.282352941176,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,shared_random_binary_head,Random,16,20,0.726470588235,0.705882352941,0.099671651795,0.691176470588,0.779411764706,0.0882352941176,0.679822819284,0.773118357187,0.273529411765,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,binary_uncertainty_repulsion,Binary,17,20,0.767647058824,0.764705882353,0.11205762495,0.705882352941,0.882352941176,0.176470588235,0.715202475998,0.820091641649,0.232352941176,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,max_depth_straddle,Max-Depth,17,20,0.726470588235,0.735294117647,0.118071988017,0.632352941176,0.823529411765,0.191176470588,0.671211196848,0.781729979622,0.273529411765,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,shared_random_binary_head,Random,17,20,0.723529411765,0.735294117647,0.0936909833668,0.691176470588,0.764705882353,0.0735294117647,0.679680681797,0.767378141732,0.276470588235,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,binary_uncertainty_repulsion,Binary,18,20,0.773529411765,0.764705882353,0.118071988017,0.691176470588,0.838235294118,0.147058823529,0.718270020378,0.828788803152,0.226470588235,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,max_depth_straddle,Max-Depth,18,20,0.738235294118,0.764705882353,0.116831538765,0.647058823529,0.823529411765,0.176470588235,0.683556450851,0.792914137384,0.261764705882,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,shared_random_binary_head,Random,18,20,0.723529411765,0.735294117647,0.0936909833668,0.691176470588,0.764705882353,0.0735294117647,0.679680681797,0.767378141732,0.276470588235,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,binary_uncertainty_repulsion,Binary,19,20,0.741176470588,0.764705882353,0.0903261054059,0.691176470588,0.823529411765,0.132352941176,0.698902551982,0.783450389194,0.258823529412,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,max_depth_straddle,Max-Depth,19,20,0.755882352941,0.764705882353,0.105010167662,0.691176470588,0.838235294118,0.147058823529,0.706736081655,0.805028624227,0.244117647059,0,two-sided descriptive t interval across 20 matched outer runs
B1,20,shared_random_binary_head,Random,19,20,0.726470588235,0.705882352941,0.0837888962183,0.705882352941,0.764705882353,0.0588235294118,0.687256177707,0.765684998763,0.273529411765,0,two-sided descriptive t interval across 20 matched outer runs
