model,run_id,repeat,A16_32,A16_40,A16_48,A16_60,A16_80,A41_80
P1,w85__r01_f01,1,0.8933823529411764,0.903186274509804,0.9016544117647058,0.8963903743315509,0.8920036764705884,0.885369532428356
P1,w85__r01_f02,1,0.7389705882352942,0.7475490196078431,0.7527573529411764,0.7560160427807486,0.7587316176470589,0.7647058823529412
P1,w85__r01_f03,1,0.9025735294117646,0.9129901960784315,0.9200367647058825,0.9258021390374328,0.9306066176470589,0.9411764705882348
P1,w85__r01_f04,1,0.7720588235294117,0.7892156862745097,0.7977941176470588,0.8048128342245987,0.8267463235294117,0.8499245852187028
P1,w85__r01_f05,1,0.7132352941176471,0.7438725490196078,0.7481617647058824,0.7740641711229945,0.7959558823529411,0.8288084464555052
P1,w85__r02_f01,2,0.838235294117647,0.8431372549019608,0.8630514705882353,0.8803475935828874,0.8993566176470589,0.9336349924585216
P1,w85__r02_f02,2,0.7702205882352942,0.7879901960784315,0.796875,0.8141711229946522,0.8478860294117647,0.8853695324283558
P1,w85__r02_f03,2,0.8345588235294118,0.8419117647058822,0.8520220588235294,0.8602941176470588,0.8671875000000001,0.8823529411764707
P1,w85__r02_f04,2,0.7647058823529411,0.7659313725490197,0.7803308823529411,0.7921122994652403,0.8019301470588234,0.8235294117647058
P1,w85__r02_f05,2,0.8088235294117647,0.784313725490196,0.7720588235294117,0.7580213903743315,0.7417279411764706,0.7164404223227755
P1,w85__r03_f01,3,0.8308823529411764,0.8345588235294118,0.8354779411764706,0.8322192513368981,0.8295036764705881,0.8265460030165912
P1,w85__r03_f02,3,0.8014705882352942,0.8247549019607843,0.8391544117647058,0.8509358288770053,0.8607536764705883,0.8823529411764707
P1,w85__r03_f03,3,0.8051470588235294,0.8321078431372548,0.8419117647058824,0.8509358288770053,0.8598345588235294,0.8763197586727
P1,w85__r03_f04,3,0.7481617647058824,0.77328431372549,0.7858455882352939,0.796122994652406,0.8046874999999998,0.8235294117647058
P1,w85__r03_f05,3,0.8492647058823529,0.886029411764706,0.9025735294117647,0.9144385026737964,0.9227941176470589,0.9441930618401202
P1,w85__r04_f01,4,0.5569852941176471,0.5637254901960785,0.5818014705882353,0.5995989304812835,0.6144301470588236,0.6463046757164407
P1,w85__r04_f02,4,0.8400735294117647,0.8627450980392156,0.8685661764705882,0.8723262032085561,0.8754595588235294,0.8823529411764707
P1,w85__r04_f03,4,0.9007352941176471,0.8970588235294118,0.9053308823529412,0.9137700534759354,0.9223345588235294,0.9381598793363495
P1,w85__r04_f04,4,0.8768382352941175,0.8615196078431372,0.8621323529411764,0.8689839572192514,0.8772977941176472,0.888386123680241
P1,w85__r04_f05,4,0.90625,0.9129901960784315,0.9145220588235294,0.921791443850267,0.9278492647058824,0.9366515837104069
P1,w85__r05_f01,5,0.9227941176470589,0.9227941176470589,0.9264705882352942,0.9304812834224596,0.9338235294117648,0.9411764705882348
P1,w85__r05_f02,5,0.8584558823529411,0.8615196078431372,0.859375,0.8602941176470587,0.8671875,0.8702865761689292
P1,w85__r05_f03,5,0.7665441176470588,0.7769607843137255,0.8060661764705881,0.8228609625668448,0.8497242647058825,0.8929110105580693
P1,w85__r05_f04,5,0.7977941176470589,0.7953431372549019,0.7876838235294117,0.7814171122994652,0.7761948529411764,0.7647058823529412
P1,w85__r05_f05,5,0.7647058823529411,0.767156862745098,0.7665441176470588,0.766042780748663,0.765625,0.7647058823529412
P1,w85__r06_f01,6,0.8823529411764706,0.8909313725490197,0.8961397058823529,0.9050802139037433,0.8864889705882353,0.8823529411764705
P1,w85__r06_f02,6,0.8878676470588235,0.886029411764706,0.8860294117647058,0.9004010695187165,0.9099264705882354,0.9253393665158367
P1,w85__r06_f03,6,0.8198529411764706,0.8210784313725489,0.8216911764705882,0.8322192513368983,0.8465073529411766,0.8627450980392155
P1,w85__r06_f04,6,0.7959558823529411,0.8039215686274511,0.8060661764705882,0.8068181818181815,0.8120404411764705,0.8174962292609352
P1,w85__r06_f05,6,0.8235294117647058,0.8394607843137255,0.8501838235294117,0.858957219251337,0.8662683823529412,0.8823529411764707
P1,w85__r07_f01,7,0.8933823529411764,0.9019607843137255,0.9044117647058824,0.9144385026737964,0.921875,0.9343891402714928
P1,w85__r07_f02,7,0.7371323529411765,0.7487745098039215,0.7527573529411764,0.7573529411764707,0.7683823529411764,0.7805429864253394
P1,w85__r07_f03,7,0.78125,0.7781862745098037,0.7931985294117647,0.8094919786096255,0.8000919117647058,0.8122171945701359
P1,w85__r07_f04,7,0.9044117647058822,0.9215686274509803,0.9292279411764706,0.9485294117647058,0.9646139705882353,0.9917043740573153
P1,w85__r07_f05,7,0.7647058823529411,0.7647058823529411,0.7665441176470588,0.7673796791443851,0.7665441176470588,0.7677224736048266
P1,w85__r08_f01,8,0.7132352941176471,0.7316176470588237,0.7408088235294118,0.7493315508021392,0.7541360294117647,0.7677224736048266
P1,w85__r08_f02,8,0.8088235294117647,0.8161764705882352,0.8180147058823528,0.8195187165775398,0.8207720588235292,0.8235294117647058
P1,w85__r08_f03,8,0.8290441176470589,0.846813725490196,0.8556985294117647,0.8676470588235291,0.8887867647058825,0.9147812971342382
P1,w85__r08_f04,8,0.7996323529411764,0.8002450980392156,0.8097426470588235,0.8295454545454546,0.8460477941176472,0.8733031674208146
P1,w85__r08_f05,8,0.8952205882352942,0.8848039215686274,0.8841911764705883,0.8836898395721927,0.8832720588235297,0.8823529411764707
P1,w85__r09_f01,9,0.9411764705882353,0.9497549019607843,0.9604779411764706,0.9712566844919786,0.9802389705882353,0.9992458521870287
P1,w85__r09_f02,9,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.7647058823529411,0.7647058823529412
P1,w85__r09_f03,9,0.8419117647058822,0.8443627450980392,0.8492647058823529,0.8455882352941173,0.8570772058823529,0.8642533936651583
P1,w85__r09_f04,9,0.8253676470588235,0.8333333333333334,0.8363970588235294,0.8368983957219247,0.8442095588235293,0.8514328808446455
P1,w85__r09_f05,9,0.8345588235294117,0.8308823529411765,0.8354779411764706,0.8482620320855614,0.8589154411764707,0.8770739064856711
P1,w85__r10_f01,10,0.8713235294117647,0.875,0.8713235294117647,0.8743315508021392,0.8768382352941179,0.8778280542986425
P1,w85__r10_f02,10,0.7941176470588235,0.8039215686274509,0.8088235294117647,0.8128342245989302,0.8161764705882352,0.8235294117647058
P1,w85__r10_f03,10,0.8051470588235294,0.8088235294117648,0.822610294117647,0.837566844919786,0.8515625,0.8785822021116139
P1,w85__r10_f04,10,0.8180147058823528,0.8578431372549019,0.8676470588235294,0.8729946524064173,0.8837316176470589,0.8989441930618397
P1,w85__r10_f05,10,0.75,0.767156862745098,0.7794117647058822,0.7907754010695185,0.8010110294117645,0.8197586726998493
P1,w85__r11_f01,11,0.8860294117647058,0.8897058823529411,0.8841911764705882,0.8836898395721927,0.8832720588235297,0.8800904977375567
P1,w85__r11_f02,11,0.8897058823529411,0.8958333333333334,0.895220588235294,0.893048128342246,0.8897058823529413,0.8846153846153846
P1,w85__r11_f03,11,0.7647058823529411,0.7549019607843137,0.7555147058823529,0.7606951871657753,0.7674632352941176,0.7760180995475112
P1,w85__r11_f04,11,0.8143382352941176,0.8161764705882352,0.8134191176470589,0.8161764705882348,0.8184742647058822,0.8212669683257919
