model,run_id,repeat,A16_32,A16_40,A16_48,A16_60,A16_80,A41_80
P0,w85__r01_f01,1,0.8805147058823529,0.8823529411764706,0.8832720588235294,0.8830213903743317,0.8828125000000002,0.8823529411764707
P0,w85__r01_f02,1,0.7591911764705882,0.761029411764706,0.7647058823529411,0.7727272727272726,0.7715992647058822,0.7782805429864253
P0,w85__r01_f03,1,0.9172794117647058,0.9080882352941178,0.9145220588235294,0.924465240641711,0.9287683823529413,0.9419306184012061
P0,w85__r01_f04,1,0.7830882352941176,0.7965686274509803,0.8079044117647058,0.815508021390374,0.8313419117647058,0.8529411764705882
P0,w85__r01_f05,1,0.6856617647058822,0.7230392156862745,0.7481617647058822,0.7687165775401067,0.7858455882352939,0.8235294117647058
P0,w85__r02_f01,2,0.8253676470588236,0.8431372549019608,0.8483455882352942,0.8489304812834221,0.8671875,0.8815987933634991
P0,w85__r02_f02,2,0.8033088235294117,0.829656862745098,0.8373161764705882,0.8542780748663101,0.8708639705882353,0.8966817496229259
P0,w85__r02_f03,2,0.8125,0.829656862745098,0.8465073529411764,0.8562834224598931,0.8644301470588236,0.885369532428356
P0,w85__r02_f04,2,0.7665441176470588,0.7781862745098037,0.7895220588235293,0.79879679144385,0.8065257352941175,0.8235294117647058
P0,w85__r02_f05,2,0.7352941176470589,0.7745098039215685,0.7803308823529411,0.7834224598930479,0.7738970588235294,0.7722473604826546
P0,w85__r03_f01,3,0.8216911764705882,0.8223039215686274,0.8318014705882353,0.8308823529411762,0.8285845588235293,0.8318250377073906
P0,w85__r03_f02,3,0.7849264705882353,0.8125,0.8161764705882353,0.8335561497326203,0.8488051470588236,0.8710407239819004
P0,w85__r03_f03,3,0.8051470588235294,0.8149509803921569,0.8272058823529411,0.8275401069518714,0.8322610294117646,0.8423831070889894
P0,w85__r03_f04,3,0.7224264705882353,0.7561274509803922,0.7729779411764706,0.7867647058823526,0.7982536764705881,0.8235294117647058
P0,w85__r03_f05,3,0.8033088235294118,0.8296568627450981,0.8455882352941176,0.8622994652406415,0.8823529411764706,0.9147812971342381
P0,w85__r04_f01,4,0.5992647058823529,0.5992647058823529,0.5974264705882353,0.5969251336898397,0.6043198529411765,0.6070889894419309
P0,w85__r04_f02,4,0.8235294117647058,0.8321078431372548,0.8446691176470589,0.8549465240641712,0.8635110294117647,0.8823529411764707
P0,w85__r04_f03,4,0.90625,0.8909313725490197,0.9016544117647058,0.9024064171122994,0.9094669117647058,0.9200603318250373
P0,w85__r04_f04,4,0.8143382352941175,0.8223039215686274,0.822610294117647,0.8382352941176469,0.8520220588235294,0.8710407239819004
