run,budget,n_cand,n_flippable_any,max_nflip,nflip@top_margin,nflip@top_sur,sur_top,bound_top,bound_violations,n_pi_unc
w85__r01_f01,16,308,308,204,24,28,3.8731981583711317,11.88379625967614,90,58
w85__r01_f01,24,300,300,129,8,11,1.08540846720288,3.807583463269714,199,27
w85__r01_f01,32,292,292,113,6,9,0.6469858121521597,1.6736800343244607,212,11
w85__r01_f01,40,284,284,115,3,8,0.44236895052862124,1.34246136995616,216,6
w85__r01_f01,48,276,271,99,4,5,0.08150633538164254,0.7501039205463639,212,0
w85__r01_f01,56,268,268,71,3,3,0.08199951413288087,0.038315700018686574,201,0
w85__r02_f02,16,308,308,162,30,49,4.874940334140874,14.449561842118896,37,93
w85__r02_f02,24,300,299,130,6,6,0.9560837971899918,2.289322162910091,184,23
w85__r02_f02,32,292,287,123,3,3,0.3443422436404582,1.258697893423522,221,9
w85__r02_f02,40,284,279,82,1,3,0.13535134100622592,0.24237385254144628,211,1
w85__r02_f02,48,276,272,58,3,3,0.15674452068937406,0.3859139866944268,196,0
w85__r02_f02,56,268,268,55,3,3,0.04289067987967776,0.0262792072949189,194,0
w85__r03_f03,16,308,308,246,31,36,4.4951328353487625,13.772869342939925,7,70
w85__r03_f03,24,300,300,218,8,64,2.5202161712948588,6.878531233036124,103,37
w85__r03_f03,32,292,292,159,7,22,1.46559038021128,4.211011027515084,161,17
w85__r03_f03,40,284,284,104,7,12,0.6123022172788843,1.0879733552195348,210,14
w85__r03_f03,48,276,274,74,1,5,0.11867039778280208,1.473874443766272,196,5
w85__r03_f03,56,268,268,57,1,2,0.09276878994363535,0.030167516920298895,185,0
w85__r04_f04,16,308,308,219,15,14,2.1445661211375864,5.385406451157355,70,36
w85__r04_f04,24,300,300,215,12,20,1.7873147040815311,5.384993478711659,113,36
w85__r04_f04,32,292,292,151,8,12,0.7942086699303896,4.116205489634252,184,27
w85__r04_f04,40,284,283,96,2,5,0.2793862767085251,1.518706505844657,166,14
w85__r04_f04,48,276,268,62,2,3,0.0983872875985572,0.15992269845401275,181,7
w85__r04_f04,56,268,268,50,2,4,0.1075743187071101,0.06490965986064944,184,1
w85__r05_f05,16,308,308,176,10,27,2.3065340713476346,5.618717131528209,53,46
w85__r05_f05,24,300,300,139,3,7,0.4178742505608266,2.635074852082933,205,17
w85__r05_f05,32,292,292,120,3,3,0.3406400615758347,1.2136798505205344,235,10
w85__r05_f05,40,284,283,68,1,2,0.0925840852592632,0.1837833382519145,220,2
w85__r05_f05,48,276,276,48,2,2,0.08444367905938588,0.04193633142847375,204,0
w85__r05_f05,56,268,268,41,3,2,0.04446561407641969,0.0026617703681967035,197,0
w85__r06_f01,16,308,308,166,25,41,2.6163793758103893,8.43565201409866,88,61
w85__r06_f01,24,300,300,116,3,7,0.6674968508061809,2.8151571685303565,219,18
w85__r06_f01,32,292,286,75,4,3,0.3063246125408776,0.7657739926994678,212,4
w85__r06_f01,40,284,281,55,3,3,0.1854474730973834,0.871319590450654,197,2
w85__r06_f01,48,276,276,53,3,3,0.09155659400813843,0.13527744199681369,194,0
w85__r06_f01,56,268,268,45,2,1,0.038896653358108324,0.004279573665881978,190,0
