Bs,delta0,16-32,16-40,16-48,16-60,16-80
40,0.0,0.01,0.008333333333333333,0.011666666666666667,0.01,0.0016666666666666668
40,0.01,0.4533333333333333,0.18,0.13333333333333333,0.15166666666666667,0.06833333333333333
40,0.02,0.9983333333333333,0.8166666666666667,0.5933333333333334,0.545,0.4216666666666667
40,0.03,1.0,1.0,0.955,0.96,0.92
40,0.04,1.0,1.0,1.0,1.0,0.9983333333333333
48,0.0,0.005,0.02666666666666667,0.01,0.0033333333333333335,0.0
48,0.01,0.635,0.32666666666666666,0.24166666666666667,0.2683333333333333,0.13
48,0.02,1.0,0.975,0.8716666666666667,0.8683333333333333,0.7566666666666667
48,0.03,1.0,1.0,0.9983333333333333,0.9983333333333333,1.0
48,0.04,1.0,1.0,1.0,1.0,1.0
