comparison_type,target,target_definition,reference_model,candidate_model,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,reference_predicted_mean_um,candidate_predicted_mean_um,reference_residual_um,candidate_residual_um,reference_absolute_error_um,candidate_absolute_error_um,candidate_minus_reference_absolute_error_um
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00001,1,126.26144,125.76849616246058,121.95504469950474,0.4929438375394142,4.306395300495254,0.4929438375394142,4.306395300495254,3.8134514629558396
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00002,2,126.328725,122.15738953030402,129.0029064325389,4.171335469695976,-2.674181432538916,4.171335469695976,2.674181432538916,-1.4971540371570602
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00003,3,127.9412249999,143.78961759783655,145.86273443622204,-15.848392597936568,-17.921509436322054,15.848392597936568,17.921509436322054,2.073116838385486
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00004,4,203.32255,202.8541111924763,190.9339580242357,0.4684388075237109,12.388591975764284,0.4684388075237109,12.388591975764284,11.920153168240573
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00005,5,166.993245,163.64680625864597,173.90818887822346,3.346438741354035,-6.914943878223454,3.346438741354035,6.914943878223454,3.568505136869419
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00006,6,128.06481,123.77760115542571,109.59404043747936,4.28720884457428,18.470769562520644,4.28720884457428,18.470769562520644,14.183560717946364
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00007,7,202.28875,200.07072846033256,197.6142050822371,2.2180215396674328,4.674544917762887,2.2180215396674328,4.674544917762887,2.4565233780954543
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00008,8,133.3735999999,129.60615899989898,133.69241465137046,3.767441000001014,-0.3188146514704613,3.767441000001014,0.3188146514704613,-3.448626348530553
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00009,9,127.16849,131.151646498782,124.50920923947406,-3.9831564987820087,2.659280760525945,3.9831564987820087,2.659280760525945,-1.3238757382560635
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00010,10,133.94807,139.97918748530506,130.38117391646654,-6.03111748530506,3.5668960835334644,6.03111748530506,3.5668960835334644,-2.4642214017715958
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00011,11,115.63943,112.9426062605164,124.11429460969808,2.696823739483591,-8.474864609698088,2.696823739483591,8.474864609698088,5.778040870214497
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00012,12,157.77781,155.94769769415697,153.33887271531563,1.8301123058430164,4.438937284684357,1.8301123058430164,4.438937284684357,2.6088249788413407
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00013,13,151.41887,149.05207007365487,155.83484074447694,2.366799926345124,-4.415970744476937,2.366799926345124,4.415970744476937,2.0491708181318127
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00014,14,217.4983,219.50843453579665,194.21963969852536,-2.010134535796652,23.278660301474616,2.010134535796652,23.278660301474616,21.268525765677964
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00015,15,135.91084,138.60944967344125,154.6337556714629,-2.69860967344124,-18.72291567146289,2.69860967344124,18.72291567146289,16.02430599802165
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00016,16,170.73953,170.99186372704852,170.459461975614,-0.2523337270485228,0.2800680243859972,0.2523337270485228,0.2800680243859972,0.0277342973374744
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00017,17,112.61138,112.80864712338024,107.04791074088472,-0.197267123380243,5.563469259115266,0.197267123380243,5.563469259115266,5.366202135735023
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00018,18,128.57057,128.0449693496667,131.09111174473296,0.5256006503333026,-2.5205417447329523,0.5256006503333026,2.5205417447329523,1.9949410943996497
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00019,19,165.79511,161.23805473739804,155.17961142808687,4.557055262601949,10.615498571913122,4.557055262601949,10.615498571913122,6.058443309311173
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00020,20,111.25723,109.2278467745455,125.53605931341156,2.0293832254544952,-14.278829313411563,2.0293832254544952,14.278829313411563,12.249446087957068
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00021,21,178.12134,176.49173539673583,175.14685491193026,1.6296046032641698,2.9744850880697413,1.6296046032641698,2.9744850880697413,1.3448804848055715
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00022,22,205.0187,201.91224911726164,207.83534542676216,3.1064508827383577,-2.816645426762165,3.1064508827383577,2.816645426762165,-0.28980545597619267
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00023,23,157.41665999990002,152.98649117020523,147.91374678025798,4.430168829694793,9.50291321964204,4.430168829694793,9.50291321964204,5.072744389947246
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00024,24,118.38922,117.869294497693,117.0372115898127,0.5199255023069895,1.3520084101872951,0.5199255023069895,1.3520084101872951,0.8320829078803056
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00025,25,116.672535,116.40592520687436,126.34261314345495,0.2666097931256246,-9.670078143454973,0.2666097931256246,9.670078143454973,9.403468350329348
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00026,26,126.32101,125.13244111456277,122.81837963106533,1.1885688854372347,3.502630368934689,1.1885688854372347,3.502630368934689,2.314061483497454
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00027,27,112.75596,113.7312117151312,115.25295245929068,-0.9752517151312076,-2.4969924592906665,0.9752517151312076,2.4969924592906665,1.5217407441594588
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00028,28,143.341645,141.29459663655672,157.52443523235078,2.047048363443281,-14.182790232350785,2.047048363443281,14.182790232350785,12.135741868907504
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00029,29,167.08695,167.16806559731913,167.84264905242418,-0.0811155973191262,-0.7556990524241769,0.0811155973191262,0.7556990524241769,0.6745834551050507
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00030,30,135.32405500000002,131.50464097525605,133.8110154988757,3.8194140247439634,1.5130395011243252,3.8194140247439634,1.5130395011243252,-2.3063745236196382
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00031,31,171.66867,170.40572190928737,179.06365355940426,1.2629480907126265,-7.394983559404267,1.2629480907126265,7.394983559404267,6.13203546869164
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00032,32,160.39622,158.97065100030775,168.0119241202177,1.4255689996922456,-7.615704120217714,1.4255689996922456,7.615704120217714,6.190135120525468
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00033,33,175.24007,171.8438073576802,145.4802855488813,3.396262642319812,29.75978445111869,3.396262642319812,29.75978445111869,26.36352180879888
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00034,34,110.64032,110.28124204403332,107.5858472000435,0.3590779559666686,3.0544727999565,0.3590779559666686,3.0544727999565,2.695394843989831
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00035,35,151.05829,145.50980984566468,156.4946714881106,5.548480154335323,-5.436381488110612,5.548480154335323,5.436381488110612,-0.11209866622471054
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00036,36,180.1840599999,178.95796986521503,180.5152791799017,1.2260901346849664,-0.3312191800017388,1.2260901346849664,0.3312191800017388,-0.8948709546832276
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00037,37,173.99099,172.63954786085478,177.7103035935393,1.3514421391452345,-3.719313593539255,1.3514421391452345,3.719313593539255,2.3678714543940207
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00038,38,175.08367,174.64965403676788,174.8402881140505,0.4340159632321274,0.2433818859495033,0.4340159632321274,0.2433818859495033,-0.19063407728262408
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00039,39,149.31158,164.0384799200026,176.10297258180023,-14.726899920002609,-26.79139258180024,14.726899920002609,26.79139258180024,12.06449266179763
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00040,40,104.20475,105.55832953055751,123.24639130073209,-1.353579530557511,-19.04164130073208,1.353579530557511,19.04164130073208,17.68806177017457
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00041,41,175.03381999989998,200.2452244689584,204.43481583949023,-25.211404469058408,-29.40099583959025,25.211404469058408,29.40099583959025,4.1895913705318435
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00042,42,119.34365,120.65904128139503,115.69519422466504,-1.315391281395037,3.6484557753349662,1.315391281395037,3.6484557753349662,2.333064493939929
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00043,43,233.5733,237.72494453366892,211.8034198897149,-4.151644533668957,21.76988011028513,4.151644533668957,21.76988011028513,17.618235576616172
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00044,44,171.50607,169.98259013593955,185.2915012403721,1.5234798640604197,-13.785431240372104,1.5234798640604197,13.785431240372104,12.261951376311684
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00045,45,181.20564,180.33573834549085,184.5569268146185,0.8699016545091354,-3.351286814618476,0.8699016545091354,3.351286814618476,2.481385160109341
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00046,46,219.0714,211.52620960468985,216.31537361093163,7.545190395310158,2.756026389068353,7.545190395310158,2.756026389068353,-4.789164006241805
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00047,47,107.70817,108.0752422538506,113.86731929770914,-0.3670722538505941,-6.159149297709135,0.3670722538505941,6.159149297709135,5.792077043858541
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00048,48,186.0660249999,190.07876314779887,186.24826893566168,-4.012738147898915,-0.1822439357616758,4.012738147898915,0.1822439357616758,-3.830494212137239
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00049,49,112.3033,112.09632930621132,110.07105036269706,0.2069706937886906,2.2322496373029423,0.2069706937886906,2.2322496373029423,2.0252789435142518
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00050,50,175.6206,174.56269137315556,171.51111728636278,1.057908626844437,4.10948271363722,1.057908626844437,4.10948271363722,3.051574086792783
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00051,51,185.7300999999,182.49470022940352,177.69895546614208,3.235399770496457,8.031144533757896,3.235399770496457,8.031144533757896,4.795744763261439
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00052,52,151.56012,150.28982690280492,156.85678936393148,1.2702930971950934,-5.296669363931471,1.2702930971950934,5.296669363931471,4.026376266736378
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00053,53,127.03549999999998,126.91916874950996,136.41990642529038,0.1163312504900204,-9.384406425290392,0.1163312504900204,9.384406425290392,9.268075174800371
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00054,54,141.63121999999998,147.36770175574435,146.34494334201156,-5.736481755744364,-4.713723342011576,5.736481755744364,4.713723342011576,-1.022758413732788
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00055,55,173.01361,170.590119930211,150.96165691964032,2.423490069789011,22.05195308035968,2.423490069789011,22.05195308035968,19.62846301057067
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00056,56,131.7857899999,130.4652869713879,129.29902262565886,1.320503028512093,2.48676737424114,1.320503028512093,2.48676737424114,1.166264345729047
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00057,57,190.14991,191.13968350833056,166.58134848252325,-0.9897735083305575,23.56856151747678,0.9897735083305575,23.56856151747678,22.578788009146223
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00058,58,140.2139349999,138.10655172337073,140.71857081737866,2.1073832765292764,-0.5046358174786576,2.1073832765292764,0.5046358174786576,-1.6027474590506188
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00059,59,167.93076,168.68483749213092,169.00927869825256,-0.7540774921309321,-1.078518698252566,0.7540774921309321,1.078518698252566,0.32444120612163396
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00060,60,122.50959,122.22611219857602,124.01924965486188,0.2834778014239845,-1.5096596548618777,0.2834778014239845,1.5096596548618777,1.2261818534378932
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00061,61,150.99865,178.82583445786557,177.06798603118256,-27.82718445786557,-26.06933603118256,27.82718445786557,26.06933603118256,-1.7578484266830117
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00062,62,197.12752,196.3182452984166,188.1756316242836,0.809274701583405,8.951888375716408,0.809274701583405,8.951888375716408,8.142613674133003
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00063,63,119.666035,122.5706241705985,121.4592857924699,-2.9045891705985127,-1.7932507924699053,2.9045891705985127,1.7932507924699053,-1.1113383781286075
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00064,64,158.71867999999998,177.06873189477272,174.72757375398044,-18.350051894772747,-16.00889375398046,18.350051894772747,16.00889375398046,-2.341158140792288
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00065,65,127.16725,126.35860083065164,126.08105158664613,0.8086491693483566,1.0861984133538698,0.8086491693483566,1.0861984133538698,0.2775492440055132
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00066,66,192.46097,195.78973647148493,191.265297297143,-3.3287664714849257,1.1956727028569958,3.3287664714849257,1.1956727028569958,-2.13309376862793
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00067,67,197.0053949999,192.43525483906495,182.44916108307768,4.570140160835024,14.556233916822322,4.570140160835024,14.556233916822322,9.986093755987298
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00068,68,141.05757,141.51068421354145,133.09774491335506,-0.4531142135414541,7.9598250866449405,0.4531142135414541,7.9598250866449405,7.506710873103486
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00069,69,217.8064,212.245430165448,200.34641212077827,5.560969834551997,17.45998787922173,5.560969834551997,17.45998787922173,11.899018044669731
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00070,70,139.50626499999998,138.21019050644043,137.5004141803963,1.2960744935595585,2.005850819603694,1.2960744935595585,2.005850819603694,0.7097763260441354
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00071,71,218.0649999999,212.93201467925283,211.7078284797704,5.132985320647151,6.357171520129612,5.132985320647151,6.357171520129612,1.2241861994824612
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00072,72,138.6717599999,140.68873905896197,153.56689716119718,-2.016979059061981,-14.895137161297184,2.016979059061981,14.895137161297184,12.878158102235203
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00073,73,159.804935,161.64936316062645,159.3302314063518,-1.8444281606264497,0.4747035936482007,1.8444281606264497,0.4747035936482007,-1.369724566978249
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00074,74,149.77721,148.77682186383623,171.31617767094446,1.000388136163764,-21.53896767094446,1.000388136163764,21.53896767094446,20.538579534780695
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00075,75,135.46609,134.89070314475538,130.8476380669299,0.5753868552446306,4.618451933070105,0.5753868552446306,4.618451933070105,4.043065077825474
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00076,76,159.62537500000002,159.3159547472824,151.56464755054506,0.3094202527176151,8.060727449454959,0.3094202527176151,8.060727449454959,7.7513071967373435
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00077,77,148.44292,147.8562892744277,149.58473700566051,0.5866307255722916,-1.1418170056605277,0.5866307255722916,1.1418170056605277,0.5551862800882361
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00078,78,218.8874,208.6975415608686,224.5361096024866,10.18985843913137,-5.648709602486605,10.18985843913137,5.648709602486605,-4.541148836644766
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00079,79,131.92373999999998,132.4538219743217,133.50130917148806,-0.5300819743217176,-1.5775691714880793,0.5300819743217176,1.5775691714880793,1.0474871971663617
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00080,80,119.1025,119.7656534844669,126.56977040152856,-0.6631534844669034,-7.467270401528566,0.6631534844669034,7.467270401528566,6.804116917061663
GP candidate minus current Matérn 3/2 learned nugget,width,T0,matern32_learned_nugget,rbf_no_nugget,sim_00081,81,139.88122,138.4315718681998,139.54839224122904,1.4496481318002168,0.3328277587709749,1.4496481318002168,0.3328277587709749,-1.1168203730292419
