target,target_label,current_configuration,selected_provisional_gp_configuration,selected_configuration_label,another_kernel_replaces_current,eligible_replacements,candidate_rule_evaluations,decision_rule,rationale,selected_mae_um,selected_rmse_um,selected_mean_nlpd,selected_evaluation_95_coverage,selected_warning_folds,selected_bound_hit_folds,selected_failed_folds
width,Melt-pool width,matern32_learned_nugget,matern32_learned_nugget,Matérn 3/2 + learned nugget,False,[],"{""rbf_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=False; stable_optimization=True"",""rbf_learned_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=True; stable_optimization=True"",""matern32_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=True; stable_optimization=True"",""matern52_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=False; stable_optimization=True"",""matern52_learned_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=True; stable_optimization=True""}","replace only for robust paired MAE and RMSE advantage, no serious calibration deterioration, stable optimization, and no systematic bound-hitting","No alternative jointly showed robust MAE and RMSE gains, acceptable calibration, and stable optimization; retain Matérn 3/2 + learned nugget for parsimony and continuity.",3.2744858907568295,6.696354932464742,3.5737456938655585,0.9626556016597511,5,0,0
length,Melt-pool length,matern32_learned_nugget,matern52_learned_nugget,Matérn 5/2 + learned nugget,True,"[""matern52_learned_nugget""]","{""rbf_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=False; stable_optimization=True"",""rbf_learned_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=True; stable_optimization=True"",""matern32_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=False; stable_optimization=True"",""matern52_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=False; stable_optimization=True"",""matern52_learned_nugget"":""robust_point_advantage=True; no_serious_calibration_deterioration=True; stable_optimization=True""}","replace only for robust paired MAE and RMSE advantage, no serious calibration deterioration, stable optimization, and no systematic bound-hitting",matern52_learned_nugget satisfies the predeclared replacement rule and has the lowest RMSE among eligible robust replacements.,10.361959653268965,18.940151120596823,4.437770446857351,0.9543568464730291,1,0,0
depth,Penetration depth below original surface,matern32_learned_nugget,matern32_learned_nugget,Matérn 3/2 + learned nugget,False,[],"{""rbf_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=False; stable_optimization=True"",""rbf_learned_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=True; stable_optimization=True"",""matern32_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=False; stable_optimization=True"",""matern52_no_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=False; stable_optimization=True"",""matern52_learned_nugget"":""robust_point_advantage=False; no_serious_calibration_deterioration=True; stable_optimization=True""}","replace only for robust paired MAE and RMSE advantage, no serious calibration deterioration, stable optimization, and no systematic bound-hitting","No alternative jointly showed robust MAE and RMSE gains, acceptable calibration, and stable optimization; retain Matérn 3/2 + learned nugget for parsimony and continuity.",1.8022708265928273,2.728942784700328,2.440425217127002,0.9521739130434783,1,0,0
