target,target_label,target_definition,n_predictions,mae_um,median_absolute_error_um,rmse_um,r2,nrmse,target_min_um,target_median_um,target_max_um,target_range_um,aggregate_fold_runtime_seconds,mean_fold_runtime_seconds,failed_folds,warning_folds,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,mean_nlpd,median_nlpd,mean_latent_nlpd,mean_total_nlpd,nlpd_variance_definition,latent_95_coverage,total_95_coverage,evaluation_95_coverage,calibration_absolute_error_from_0_95,mean_latent_interval_width_um,mean_total_interval_width_um,optimizer_warning_folds,convergence_warning_folds,constant_bound_hit_folds,length_scale_bound_hit_folds,nugget_bound_hit_folds,any_bound_hit_folds,signal_variance_normalized_min,signal_variance_normalized_q25,signal_variance_normalized_median,signal_variance_normalized_q75,signal_variance_normalized_q95,signal_variance_normalized_max,length_scale_min,length_scale_q25,length_scale_median,length_scale_q75,length_scale_q95,length_scale_max,learned_nugget_variance_normalized_min,learned_nugget_variance_normalized_q25,learned_nugget_variance_normalized_median,learned_nugget_variance_normalized_q75,learned_nugget_variance_normalized_q95,learned_nugget_variance_normalized_max,learned_nugget_std_um_min,learned_nugget_std_um_q25,learned_nugget_std_um_median,learned_nugget_std_um_q75,learned_nugget_std_um_q95,learned_nugget_std_um_max,nugget_fraction_training_target_std_min,nugget_fraction_training_target_std_q25,nugget_fraction_training_target_std_median,nugget_fraction_training_target_std_q75,nugget_fraction_training_target_std_q95,nugget_fraction_training_target_std_max,nugget_fraction_dataset_target_median_min,nugget_fraction_dataset_target_median_q25,nugget_fraction_dataset_target_median_median,nugget_fraction_dataset_target_median_q75,nugget_fraction_dataset_target_median_q95,nugget_fraction_dataset_target_median_max
depth,Penetration depth below original surface,T0,230,1.8022708265928273,1.339809185788404,2.728942784700328,0.9688730302355166,0.03610358578965785,18.77861,54.72232,94.365085,75.586475,216.58335170010105,0.9416667465221785,0,1,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2.440425217127002,2.0342430013131683,2.6883662016466876,2.440425217127002,total predictive variance including learned WhiteKernel nugget,0.8782608695652174,0.9521739130434783,0.9521739130434783,0.0021739130434783593,7.53647574957368,10.342028439757652,1,1,0,0,0,0,5.081314102834238,5.957961964928739,5.997088665101356,6.037460098532389,6.233911559894057,8.944256469327522,6.234638714019293,6.619566574284116,6.644813136971923,6.6684782214194325,6.7433266641230025,8.842737794993084,0.0104328655182228,0.013105686830907575,0.01318010665605765,0.01325648321721315,0.013412166857243014,0.0147879079627073,1.5831683374353136,1.7725558178478285,1.7767506721323791,1.7805485946646051,1.7869797586866345,1.8564377127416904,0.1021413996292532,0.11448007175043479,0.1148046456205218,0.11513680211980128,0.11581090686242816,0.1216055424835041,0.0289309433049496,0.03239182508796822,0.03246848218665395,0.032537885723130947,0.03265540932267912,0.0339246894638547
depth,Penetration depth below original surface,T1,230,1.8539050889791286,1.1869275704329354,2.8453560770686814,0.9652959808387371,0.03965501910231967,18.776605,54.4753575,90.52934,71.752735,257.40558669989696,1.1191547247821607,0,1,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2.467058287157103,2.051511059975595,2.697985359740531,2.467058287157103,total predictive variance including learned WhiteKernel nugget,0.8652173913043478,0.9304347826086956,0.9304347826086956,0.019565217391304346,7.852634161426338,10.81702392895355,1,1,0,0,0,0,3.901632124568645,4.534420253763323,4.562775483364101,4.59459323846752,4.676925769370042,6.225813410223461,5.349161447739715,5.825825647549011,5.847801355161643,5.869372496306806,5.926951289776109,7.44416189806949,0.0114233209763304,0.014851092850329574,0.014955749576723,0.015035170387284327,0.01521878329277771,0.0165415433167976,1.6345106619789929,1.8631307008199747,1.8685031142034252,1.8730235617802433,1.8821688215774337,1.9422211233924047,0.1068799372021263,0.12186505998898348,0.1222937021136615,0.12261798555310283,0.12336443283536298,0.1286139312702852,0.0300045880741396,0.034201348762511054,0.03429996974693415,0.0343829512597552,0.03455083009923214,0.0356532056424302
depth,Penetration depth below original surface,T2,230,1.685901848827466,1.3577703717349756,2.4733175579452924,0.9754263595706976,0.03222297622659149,18.779215,54.752015,95.53555,76.756335,211.03443020035047,0.917541000871089,0,0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2.354523430574805,1.9924316453904543,2.5235506247104023,2.354523430574805,total predictive variance including learned WhiteKernel nugget,0.9043478260869565,0.9521739130434783,0.9521739130434783,0.0021739130434783593,7.3598133175610165,9.51314749920926,0,0,0,0,0,0,4.825017432259499,5.225128557788528,5.2592570140785355,5.29110269080957,5.397299337779531,7.194558243243231,6.05821693107103,6.271885836536264,6.29337263111311,6.318079206347701,6.3720972282146455,8.053134151079522,0.0068322777299022,0.009032873098538551,0.00909025596643145,0.009141709238841575,0.00925260920781695,0.0101409587133078,1.3067889438924234,1.5014099098192957,1.5051319190414871,1.5082224325093683,1.5147541254169457,1.5684601319404674,0.0826575932985124,0.09504142831579855,0.09534283369381524,0.09561228602405147,0.09619047861347033,0.1007023272487178,0.0238674128046688,0.0274220028216184,0.02748998222332975,0.02754642788049655,0.027665723817049355,0.0286466193425112
depth,Penetration depth below original surface,T3,230,1.6475857180168532,1.286606493390293,2.5157794128946254,0.9742326069446743,0.03328038668023079,18.77163,54.767129999999995,94.365085,75.59345499999999,221.6488240994513,0.9636905395628318,0,2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2.3715852810423486,1.9768717589632443,2.5622400454490597,2.3715852810423486,total predictive variance including learned WhiteKernel nugget,0.9,0.9565217391304348,0.9565217391304348,0.006521739130434856,7.290193646532314,9.560544166309102,2,2,0,0,0,0,5.100663166964719,5.964961890850551,5.997688139418539,6.03604653766674,6.148723596410224,8.77903393407329,6.27601461715607,6.635376467875113,6.660103795285655,6.683721599010014,6.7423663846740505,8.799405360731274,0.0073594313687439,0.009662516008664575,0.009727646216967801,0.009783610205956476,0.00990699275490005,0.0107740093741376,1.3472375630051838,1.5421188008553002,1.5462249025547719,1.5499291400026978,1.5563707739907817,1.6068615474983037,0.0857871282229677,0.09829809748474727,0.0986288305281772,0.09891213367822095,0.09953386447721148,0.1037979256735779,0.0245993822025215,0.02815774353805465,0.02823271737180255,0.0283003535150134,0.028417972130195233,0.0293398895925038
depth,Penetration depth below original surface,T4,230,1.9732190794165398,1.3354407657456413,3.0340776097204825,0.9618319034246532,0.040123597218853654,18.7468,54.591215,94.365085,75.61828499999999,265.94070899969665,1.1562639521725941,0,0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2.53437198940176,2.12387436048865,2.725124702148109,2.53437198940176,total predictive variance including learned WhiteKernel nugget,0.8739130434782608,0.9565217391304348,0.9565217391304348,0.006521739130434856,8.693222589417793,11.57538746884358,0,0,0,0,0,0,3.071154671320208,3.517679574614002,3.536440957072397,3.559816085419495,3.6410824834723465,4.43958243605453,4.48155771647672,4.919981812781579,4.936903067436667,4.952944517385816,5.01196587367104,6.060697263379488,0.0111291559955141,0.01510602831725775,0.015207418825684799,0.0152895038189407,0.015480060023922004,0.0170474145945631,1.640487332043938,1.9109148739628423,1.9158077517794707,1.9204869113073044,1.926987863444624,2.0001602901735462,0.1054948150172042,0.12290658339819888,0.12331836367195134,0.12365073315441645,0.12441888483744215,0.1305657481675922,0.0300503905627295,0.03500407298065888,0.0350937005483294,0.03517941323173153,0.03529849744953691,0.0366388674473273
depth,Penetration depth below original surface,T5,230,6.479183838588999,3.4061733366758347,11.172784133918597,0.8560282342413558,0.1288793872904866,0.0,31.060878499999994,86.69178500000001,86.69178500000001,269.0307915006997,1.169699093481303,0,0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,3.876052571431051,3.4079354052065414,4.42620023165677,3.876052571431051,total predictive variance including learned WhiteKernel nugget,0.8652173913043478,0.9434782608695652,0.9434782608695652,0.006521739130434745,25.785551543456613,43.86428578945004,0,0,0,0,0,0,0.8315297656156365,0.8935360858208405,0.8960351184681417,0.8992590505863366,0.9071551731699271,1.0425774502102778,2.27170093190412,2.5420684435796232,2.547718539629705,2.55299654899627,2.5684354477960962,2.81912319750794,0.0655339839034243,0.09335708043262808,0.09365490203709764,0.09392602900944833,0.09436883325543707,0.0948676295686476,7.543503038615322,9.00320568712287,9.013036103728972,9.021516157856476,9.032505106740643,9.052524099938998,0.2559960622810912,0.3055439091567683,0.3060308841229754,0.30647353720345827,0.3071951054207793,0.3080058921005369,0.2428618700728417,0.2898567626515416,0.2901732513370146,0.290446265319137,0.2908000527654311,0.2914445610396692
length,Melt-pool length,T0,241,10.361959653268965,5.614829362255534,18.940151120596823,0.9561666139543238,0.04429773764230289,116.1617,341.3759,543.72645,427.56475,251.25356500042835,1.042545912864848,0,1,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,4.437770446857351,3.9487082326031184,5.741911453607974,4.437770446857351,total predictive variance including learned WhiteKernel nugget,0.8713692946058091,0.9543568464730291,0.9543568464730291,0.004356846473029141,38.84542487623793,76.25125744978266,1,1,0,0,0,0,8.73173961610809,9.345795190807934,9.385943356233527,9.439156834098608,9.58448664690223,11.515551241260573,5.091311153304905,5.218032801586976,5.2257043299878605,5.234604458269121,5.261153129187878,5.563940747593081,0.02482968981291,0.0335064781482792,0.0336040784165719,0.033712512895891,0.0339193413370894,0.0341752517204426,14.219516951894391,16.581266776910585,16.59616046876958,16.603225294450585,16.615475170722167,16.629454490923468,0.1575743945344865,0.1830477482742666,0.183314152253916,0.1836096753874672,0.1841720427673251,0.1848654962951244,0.0416535465798681,0.0485718727564265,0.0486155011785236,0.0486361963291802,0.0486720801636031,0.0487130300965108
length,Melt-pool length,T1,241,10.618359069295161,5.988902255469839,19.381510280547612,0.9546408051986837,0.04511640786046199,119.74385,341.7522499999999,549.3328,429.58895,363.99930380051956,1.5103705551888778,0,0,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,4.447394056899974,3.95084590558043,5.617168186116154,4.447394056899974,total predictive variance including learned WhiteKernel nugget,0.8838174273858921,0.9543568464730291,0.9543568464730291,0.004356846473029141,39.70151190838354,76.26960452320428,0,0,0,0,0,0,7.738367175458744,8.294528229628524,8.329907832649496,8.371357852787082,8.503052809221971,10.267527154853934,4.841109482982552,4.960668556625188,4.967750576431322,4.975345064786126,4.999818135631904,5.35653950256869,0.0244464913113968,0.0325846855522639,0.0326802115163891,0.0327891635446466,0.0329907931332674,0.0332575957512999,14.19908744949368,16.447401970842037,16.464052688202425,16.472177534074714,16.48401353784536,16.500975767844068,0.1563537377595971,0.1805122864302148,0.180776689637766,0.1810777831337865,0.1816336784114318,0.1823666519715157,0.0415478974885862,0.0481266823286226,0.0481754039313638,0.0481991780129456,0.0482338112999852,0.0482834444187099
length,Melt-pool length,T2,241,10.351508635669456,5.472839666782193,19.220351086422443,0.9543944135166,0.045654707512764,108.84325,340.4367,529.8371000000001,420.99385000000007,395.47945130011067,1.6409935738593804,0,1,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,4.455412091270949,3.963717990035157,5.8564311597048455,4.455412091270949,total predictive variance including learned WhiteKernel nugget,0.8506224066390041,0.9626556016597511,0.9626556016597511,0.012655601659751103,38.91457173572409,77.89769626286585,1,1,0,0,0,0,9.270842248551848,9.938431532683753,9.975619699446131,10.032754715291857,10.19203255595705,12.032500724596012,5.223854446640207,5.353720614754358,5.361511390959167,5.370575643188925,5.400756235724995,5.695361011500762,0.0265056194000979,0.0358557790131203,0.0359443124940723,0.0360583648592955,0.0362864236736179,0.0364844011411113,14.611522702331907,17.063325928298646,17.075538296847622,17.082636554756185,17.09432359778217,17.109152842952962,0.1628054648962926,0.1893562225360452,0.189589853352104,0.1898904022305908,0.1904899568838682,0.1910089033032527,0.0429199398958217,0.0501218756035957,0.050157748259361,0.0501785987079424,0.050212928270607,0.0502564877492731
length,Melt-pool length,T3,241,9.916960565407567,5.20524038164416,18.336637060891107,0.9576877596169111,0.04448677570244462,116.1617,342.5046499999999,528.3434500000001,412.1817500000001,372.14120940025896,1.544154395851697,0,0,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,4.419133415029569,3.9266000883016208,5.813681512848421,4.419133415029569,total predictive variance including learned WhiteKernel nugget,0.8630705394190872,0.970954356846473,0.970954356846473,0.020954356846473066,37.747632584440865,74.86525148353947,0,0,0,0,0,0,9.635367661738446,10.309377739298265,10.346317137954836,10.400999050048409,10.569298160935324,12.672039620685169,5.276407162400368,5.40955770816421,5.417180311488726,5.426676007706767,5.455358489353628,5.868368806676883,0.0246938666189035,0.0335199970443911,0.0336152680283571,0.0337251331610219,0.0339307138322626,0.0341409563357498,13.971380483899326,16.34050837051483,16.354720045376283,16.361700018306713,16.373738717359906,16.390383995024937,0.1571428223588451,0.1830846717898338,0.183344670029857,0.1836440392744124,0.1842029148310706,0.1847727153444194,0.040791797962157,0.0477088657643475,0.0477503591422081,0.0477707383485354,0.0478058873576166,0.0478544860486563
