comparison_type,target,target_definition,reference_model,candidate_model,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,reference_predicted_mean_um,candidate_predicted_mean_um,reference_residual_um,candidate_residual_um,reference_absolute_error_um,candidate_absolute_error_um,candidate_minus_reference_absolute_error_um
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00001,1,126.26144,125.76849616246058,129.29046982762048,0.4929438375394142,-3.0290298276204908,0.4929438375394142,3.0290298276204908,2.5360859900810766
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00002,2,126.328725,122.15738953030402,132.73668668022722,4.171335469695976,-6.407961680227231,4.171335469695976,6.407961680227231,2.236626210531255
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00003,3,127.9412249999,143.78961759783655,152.65570162857367,-15.848392597936568,-24.71447662867368,15.848392597936568,24.71447662867368,8.866084030737111
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00004,4,203.32255,202.8541111924763,202.0949294016252,0.4684388075237109,1.2276205983748127,0.4684388075237109,1.2276205983748127,0.7591817908511018
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00005,5,166.993245,163.64680625864597,164.9263181845732,3.346438741354035,2.066926815426797,3.346438741354035,2.066926815426797,-1.2795119259272383
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00006,6,128.06481,123.77760115542571,131.29741549492323,4.28720884457428,-3.2326054949232343,4.28720884457428,3.2326054949232343,-1.054603349651046
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00007,7,202.28875,200.07072846033256,194.0864837855004,2.2180215396674328,8.202266214499616,2.2180215396674328,8.202266214499616,5.984244674832183
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00008,8,133.3735999999,129.60615899989898,131.0592494050301,3.767441000001014,2.314350594869893,3.767441000001014,2.314350594869893,-1.453090405131121
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00009,9,127.16849,131.151646498782,133.7841522551261,-3.9831564987820087,-6.615662255126082,3.9831564987820087,6.615662255126082,2.6325057563440737
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00010,10,133.94807,139.97918748530506,142.02790205596764,-6.03111748530506,-8.079832055967643,6.03111748530506,8.079832055967643,2.0487145706625824
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00011,11,115.63943,112.9426062605164,101.80551478616997,2.696823739483591,13.83391521383004,2.696823739483591,13.83391521383004,11.137091474346448
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00012,12,157.77781,155.94769769415697,156.63391427326434,1.8301123058430164,1.14389572673565,1.8301123058430164,1.14389572673565,-0.6862165791073664
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00013,13,151.41887,149.05207007365487,153.42526025322067,2.366799926345124,-2.0063902532206725,2.366799926345124,2.0063902532206725,-0.3604096731244515
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00014,14,217.4983,219.50843453579665,208.06578809309528,-2.010134535796652,9.432511906904722,2.010134535796652,9.432511906904722,7.42237737110807
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00015,15,135.91084,138.60944967344125,139.5375132860589,-2.69860967344124,-3.626673286058889,2.69860967344124,3.626673286058889,0.9280636126176489
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00016,16,170.73953,170.99186372704852,170.02278301261472,-0.2523337270485228,0.7167469873852781,0.2523337270485228,0.7167469873852781,0.4644132603367553
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00017,17,112.61138,112.80864712338024,107.62331797188368,-0.197267123380243,4.988062028116332,0.197267123380243,4.988062028116332,4.790794904736089
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00018,18,128.57057,128.0449693496667,132.900315965969,0.5256006503333026,-4.3297459659690105,0.5256006503333026,4.3297459659690105,3.804145315635708
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00019,19,165.79511,161.23805473739804,161.3569944405869,4.557055262601949,4.438115559413092,4.557055262601949,4.438115559413092,-0.11893970318885749
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00020,20,111.25723,109.2278467745455,99.48246133903358,2.0293832254544952,11.774768660966416,2.0293832254544952,11.774768660966416,9.74538543551192
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00021,21,178.12134,176.49173539673583,175.1084733700637,1.6296046032641698,3.012866629936269,1.6296046032641698,3.012866629936269,1.3832620266720994
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00022,22,205.0187,201.91224911726164,197.4083164545025,3.1064508827383577,7.610383545497456,3.1064508827383577,7.610383545497456,4.503932662759098
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00023,23,157.41665999990002,152.98649117020523,158.38154717577805,4.430168829694793,-0.9648871758780332,4.430168829694793,0.9648871758780332,-3.46528165381676
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00024,24,118.38922,117.869294497693,115.11943178163185,0.5199255023069895,3.2697882183681486,0.5199255023069895,3.2697882183681486,2.749862716061159
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00025,25,116.672535,116.40592520687436,110.63778875020684,0.2666097931256246,6.034746249793145,0.2666097931256246,6.034746249793145,5.76813645666752
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00026,26,126.32101,125.13244111456277,126.04834272661192,1.1885688854372347,0.2726672733880662,1.1885688854372347,0.2726672733880662,-0.9159016120491685
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00027,27,112.75596,113.7312117151312,107.37918671075523,-0.9752517151312076,5.376773289244753,0.9752517151312076,5.376773289244753,4.401521574113545
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00028,28,143.341645,141.29459663655672,142.099648641893,2.047048363443281,1.2419963581070022,2.047048363443281,1.2419963581070022,-0.8050520053362789
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00029,29,167.08695,167.16806559731913,167.26413242845152,-0.0811155973191262,-0.1771824284515162,0.0811155973191262,0.1771824284515162,0.09606683113239
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00030,30,135.32405500000002,131.50464097525605,128.07789501170342,3.8194140247439634,7.246159988296597,3.8194140247439634,7.246159988296597,3.4267459635526336
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00031,31,171.66867,170.40572190928737,169.89154047800542,1.2629480907126265,1.777129521994567,1.2629480907126265,1.777129521994567,0.5141814312819406
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00032,32,160.39622,158.97065100030775,162.43654480841874,1.4255689996922456,-2.0403248084187453,1.4255689996922456,2.0403248084187453,0.6147558087264997
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00033,33,175.24007,171.8438073576802,172.3315715086973,3.396262642319812,2.9084984913027085,3.396262642319812,2.9084984913027085,-0.4877641510171036
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00034,34,110.64032,110.28124204403332,100.29777680757712,0.3590779559666686,10.34254319242288,0.3590779559666686,10.34254319242288,9.983465236456212
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00035,35,151.05829,145.50980984566468,149.17846061281168,5.548480154335323,1.8798293871883232,5.548480154335323,1.8798293871883232,-3.6686507671469997
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00036,36,180.1840599999,178.95796986521503,177.32046014271455,1.2260901346849664,2.8635998571854486,1.2260901346849664,2.8635998571854486,1.6375097225004822
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00037,37,173.99099,172.63954786085478,175.94675699807513,1.3514421391452345,-1.95576699807512,1.3514421391452345,1.95576699807512,0.6043248589298855
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00038,38,175.08367,174.64965403676788,173.57078124701863,0.4340159632321274,1.5128887529813824,0.4340159632321274,1.5128887529813824,1.078872789749255
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00039,39,149.31158,164.0384799200026,165.65683796042808,-14.726899920002609,-16.345257960428086,14.726899920002609,16.345257960428086,1.618358040425477
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00040,40,104.20475,105.55832953055751,88.52954956673629,-1.353579530557511,15.675200433263711,1.353579530557511,15.675200433263711,14.3216209027062
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00041,41,175.03381999989998,200.2452244689584,192.34448908641752,-25.211404469058408,-17.31066908651755,25.211404469058408,17.31066908651755,-7.900735382540859
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00042,42,119.34365,120.65904128139503,109.6463401943237,-1.315391281395037,9.697309805676312,1.315391281395037,9.697309805676312,8.381918524281275
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00043,43,233.5733,237.72494453366892,219.5725863854489,-4.151644533668957,14.000713614551074,4.151644533668957,14.000713614551074,9.849069080882117
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00044,44,171.50607,169.98259013593955,171.682201101658,1.5234798640604197,-0.1761311016580009,1.5234798640604197,0.1761311016580009,-1.3473487624024187
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00045,45,181.20564,180.33573834549085,178.84034337989297,0.8699016545091354,2.365296620107017,0.8699016545091354,2.365296620107017,1.4953949655978818
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00046,46,219.0714,211.52620960468985,202.20194581171387,7.545190395310158,16.869454188286113,7.545190395310158,16.869454188286113,9.324263792975955
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00047,47,107.70817,108.0752422538506,94.9471471173492,-0.3670722538505941,12.761022882650806,0.3670722538505941,12.761022882650806,12.393950628800212
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00048,48,186.0660249999,190.07876314779887,188.3055389631865,-4.012738147898915,-2.239513963286498,4.012738147898915,2.239513963286498,-1.7732241846124168
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00049,49,112.3033,112.09632930621132,102.72384050696448,0.2069706937886906,9.579459493035529,0.2069706937886906,9.579459493035529,9.372488799246838
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00050,50,175.6206,174.56269137315556,174.10186157156252,1.057908626844437,1.518738428437473,1.057908626844437,1.518738428437473,0.4608298015930359
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00051,51,185.7300999999,182.49470022940352,183.35189968294023,3.235399770496457,2.3782003169597203,3.235399770496457,2.3782003169597203,-0.8571994535367367
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00052,52,151.56012,150.28982690280492,149.09745613117087,1.2702930971950934,2.46266386882914,1.2702930971950934,2.46266386882914,1.1923707716340464
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00053,53,127.03549999999998,126.91916874950996,114.14530764242797,0.1163312504900204,12.890192357572031,0.1163312504900204,12.890192357572031,12.773861107082011
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00054,54,141.63121999999998,147.36770175574435,149.42521336791987,-5.736481755744364,-7.793993367919882,5.736481755744364,7.793993367919882,2.0575116121755173
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00055,55,173.01361,170.590119930211,174.17271076319193,2.423490069789011,-1.1591007631919297,2.423490069789011,1.1591007631919297,-1.2643893065970815
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00056,56,131.7857899999,130.4652869713879,123.08844029381105,1.320503028512093,8.697349706088971,1.320503028512093,8.697349706088971,7.376846677576879
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00057,57,190.14991,191.13968350833056,191.08223726065643,-0.9897735083305575,-0.9323272606564216,0.9897735083305575,0.9323272606564216,-0.057446247674135975
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00058,58,140.2139349999,138.10655172337073,137.50733646599303,2.1073832765292764,2.70659853390697,2.1073832765292764,2.70659853390697,0.5992152573776934
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00059,59,167.93076,168.68483749213092,169.2925017511678,-0.7540774921309321,-1.3617417511678127,0.7540774921309321,1.3617417511678127,0.6076642590368806
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00060,60,122.50959,122.22611219857602,111.26348023528524,0.2834778014239845,11.246109764714774,0.2834778014239845,11.246109764714774,10.96263196329079
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00061,61,150.99865,178.82583445786557,178.57696413471075,-27.82718445786557,-27.57831413471075,27.82718445786557,27.57831413471075,-0.2488703231548186
Phase 3A simple model minus current GP,width,T0,matern32_learned_nugget,linear_ridge,sim_00062,62,197.12752,196.3182452984166,191.89671922014503,0.809274701583405,5.230800779854974,0.809274701583405,5.230800779854974,4.421526078271569
