comparison_type,target,target_definition,reference_model,candidate_model,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,reference_predicted_mean_um,candidate_predicted_mean_um,reference_residual_um,candidate_residual_um,reference_absolute_error_um,candidate_absolute_error_um,candidate_minus_reference_absolute_error_um,kernel_family_comparison
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00026,26,126.32101,122.81837963106533,125.49472746963404,3.502630368934689,0.8262825303659582,3.502630368934689,0.8262825303659582,-2.6763478385687307,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00027,27,112.75596,115.25295245929068,113.94282794843016,-2.4969924592906665,-1.1868679484301623,2.4969924592906665,1.1868679484301623,-1.3101245108605042,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00028,28,143.341645,157.52443523235078,140.8404508429998,-14.182790232350785,2.5011941570002136,14.182790232350785,2.5011941570002136,-11.681596075350571,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00029,29,167.08695,167.84264905242418,166.02276602067184,-0.7556990524241769,1.064183979328163,0.7556990524241769,1.064183979328163,0.3084849269039862,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00030,30,135.32405500000002,133.8110154988757,130.33414803777293,1.5130395011243252,4.9899069622270815,1.5130395011243252,4.9899069622270815,3.4768674611027564,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00031,31,171.66867,179.06365355940426,169.1740164172518,-7.394983559404267,2.4946535827481853,7.394983559404267,2.4946535827481853,-4.9003299766560815,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00032,32,160.39622,168.0119241202177,158.15064361184477,-7.615704120217714,2.2455763881552286,7.615704120217714,2.2455763881552286,-5.370127732062485,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00033,33,175.24007,145.4802855488813,172.3546268986994,29.75978445111869,2.885443101300609,29.75978445111869,2.885443101300609,-26.87434134981808,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00034,34,110.64032,107.5858472000435,111.09987347841836,3.0544727999565,-0.4595534784183428,3.0544727999565,0.4595534784183428,-2.594919321538157,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00035,35,151.05829,156.4946714881106,146.11823519708292,-5.436381488110612,4.940054802917075,5.436381488110612,4.940054802917075,-0.4963266851935373,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00036,36,180.1840599999,180.5152791799017,178.00579763171683,-0.3312191800017388,2.178262368183169,0.3312191800017388,2.178262368183169,1.8470431881814302,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00037,37,173.99099,177.7103035935393,172.82936635755084,-3.719313593539255,1.1616236424491715,3.719313593539255,1.1616236424491715,-2.557689951090084,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00038,38,175.08367,174.8402881140505,173.4323669190142,0.2433818859495033,1.651303080985798,0.2433818859495033,1.651303080985798,1.4079211950362946,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00039,39,149.31158,176.10297258180023,164.90241678050796,-26.79139258180024,-15.59083678050797,26.79139258180024,15.59083678050797,-11.200555801292268,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00040,40,104.20475,123.24639130073209,108.17775498227208,-19.04164130073208,-3.973004982272087,19.04164130073208,3.973004982272087,-15.068636318459994,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00041,41,175.03381999989998,204.43481583949023,198.10856115236567,-29.40099583959025,-23.074741152465748,29.40099583959025,23.074741152465748,-6.326254687124504,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00042,42,119.34365,115.69519422466504,119.14518097488246,3.6484557753349662,0.1984690251175465,3.6484557753349662,0.1984690251175465,-3.4499867502174197,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00043,43,233.5733,211.8034198897149,237.18158063551127,21.76988011028513,-3.608280635511278,21.76988011028513,3.608280635511278,-18.16159947477385,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00044,44,171.50607,185.2915012403721,170.97454252322945,-13.785431240372104,0.5315274767705489,13.785431240372104,0.5315274767705489,-13.253903763601555,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00045,45,181.20564,184.5569268146185,180.2327927390487,-3.351286814618476,0.9728472609512836,3.351286814618476,0.9728472609512836,-2.3784395536671927,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00046,46,219.0714,216.31537361093163,210.7998688209911,2.756026389068353,8.271531179008917,2.756026389068353,8.271531179008917,5.5155047899405645,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00047,47,107.70817,113.86731929770914,111.59704309239456,-6.159149297709135,-3.8888730923945474,6.159149297709135,3.8888730923945474,-2.2702762053145875,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00048,48,186.0660249999,186.24826893566168,191.1958399930908,-0.1822439357616758,-5.129814993190763,0.1822439357616758,5.129814993190763,4.947571057429087,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00049,49,112.3033,110.07105036269706,113.16309656950396,2.2322496373029423,-0.859796569503942,2.2322496373029423,0.859796569503942,-1.3724530677990003,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00050,50,175.6206,171.51111728636278,175.38235181093387,4.10948271363722,0.2382481890661267,4.10948271363722,0.2382481890661267,-3.8712345245710935,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00051,51,185.7300999999,177.69895546614208,183.64918789517287,8.031144533757896,2.080912104727105,8.031144533757896,2.080912104727105,-5.950232429030791,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00052,52,151.56012,156.85678936393148,148.43297844250182,-5.296669363931471,3.127141557498192,5.296669363931471,3.127141557498192,-2.1695278064332792,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00053,53,127.03549999999998,136.41990642529038,126.20849871594656,-9.384406425290392,0.8270012840534378,9.384406425290392,0.8270012840534378,-8.557405141236954,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00054,54,141.63121999999998,146.34494334201156,147.86775457337316,-4.713723342011576,-6.236534573373177,4.713723342011576,6.236534573373177,1.522811231361601,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00055,55,173.01361,150.96165691964032,173.79747039004917,22.05195308035968,-0.7838603900491705,22.05195308035968,0.7838603900491705,-21.26809269031051,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00056,56,131.7857899999,129.29902262565886,129.26629171531397,2.48676737424114,2.519498284586035,2.48676737424114,2.519498284586035,0.03273091034489539,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00057,57,190.14991,166.58134848252325,192.42290676067995,23.56856151747678,-2.272996760679945,23.56856151747678,2.272996760679945,-21.295564756796836,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00058,58,140.2139349999,140.71857081737866,138.6620481711846,-0.5046358174786576,1.5518868287153964,0.5046358174786576,1.5518868287153964,1.0472510112367388,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00059,59,167.93076,169.00927869825256,168.36714209640675,-1.078518698252566,-0.4363820964067599,1.078518698252566,0.4363820964067599,-0.6421366018458061,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00060,60,122.50959,124.01924965486188,122.0341993808788,-1.5096596548618777,0.4753906191212138,1.5096596548618777,0.4753906191212138,-1.0342690357406639,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00061,61,150.99865,177.06798603118256,179.55484548032638,-26.06933603118256,-28.55619548032638,26.06933603118256,28.55619548032638,2.4868594491438216,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00062,62,197.12752,188.1756316242836,196.90917171539263,8.951888375716408,0.218348284607373,8.951888375716408,0.218348284607373,-8.733540091109035,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00063,63,119.666035,121.4592857924699,122.16362529536532,-1.7932507924699053,-2.4975902953653275,1.7932507924699053,2.4975902953653275,0.7043395028954222,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00064,64,158.71867999999998,174.72757375398044,177.6953416702289,-16.00889375398046,-18.976661670228932,16.00889375398046,18.976661670228932,2.967767916248473,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00065,65,127.16725,126.08105158664613,125.96064378070176,1.0861984133538698,1.2066062192982372,1.0861984133538698,1.2066062192982372,0.1204078059443674,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00066,66,192.46097,191.265297297143,195.530788184509,1.1956727028569958,-3.069818184508989,1.1956727028569958,3.069818184508989,1.8741454816519934,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00067,67,197.0053949999,182.44916108307768,192.62434591974096,14.556233916822322,4.381049080159045,14.556233916822322,4.381049080159045,-10.175184836663277,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00068,68,141.05757,133.09774491335506,140.74612658843924,7.9598250866449405,0.3114434115607594,7.9598250866449405,0.3114434115607594,-7.648381675084181,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00069,69,217.8064,200.34641212077827,214.07728677354828,17.45998787922173,3.729113226451716,17.45998787922173,3.729113226451716,-13.730874652770012,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00070,70,139.50626499999998,137.5004141803963,136.46948899768964,2.005850819603694,3.036776002310347,2.005850819603694,3.036776002310347,1.0309251827066532,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00071,71,218.0649999999,211.7078284797704,216.0796203531092,6.357171520129612,1.9853796467907612,6.357171520129612,1.9853796467907612,-4.371791873338851,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00072,72,138.6717599999,153.56689716119718,139.39360552650533,-14.895137161297184,-0.7218455266053354,14.895137161297184,0.7218455266053354,-14.173291634691848,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00073,73,159.804935,159.3302314063518,161.69352370208335,0.4747035936482007,-1.8885887020833536,0.4747035936482007,1.8885887020833536,1.413885108435153,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00074,74,149.77721,171.31617767094446,148.91708863598797,-21.53896767094446,0.8601213640120307,21.53896767094446,0.8601213640120307,-20.678846306932428,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00075,75,135.46609,130.8476380669299,135.788413740128,4.618451933070105,-0.3223237401279846,4.618451933070105,0.3223237401279846,-4.2961281929421204,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00076,76,159.62537500000002,151.56464755054506,161.49663291135974,8.060727449454959,-1.87125791135972,8.060727449454959,1.87125791135972,-6.1894695380952385,RBF
