target,target_label,target_definition,n_predictions,mae_um,median_absolute_error_um,rmse_um,r2,nrmse,target_min_um,target_median_um,target_max_um,target_range_um,aggregate_fold_runtime_seconds,mean_fold_runtime_seconds,failed_folds,warning_folds,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,mean_nlpd,median_nlpd,mean_latent_nlpd,mean_total_nlpd,nlpd_variance_definition,latent_95_coverage,total_95_coverage,evaluation_95_coverage,calibration_absolute_error_from_0_95,mean_latent_interval_width_um,mean_total_interval_width_um,optimizer_warning_folds,convergence_warning_folds,constant_bound_hit_folds,length_scale_bound_hit_folds,nugget_bound_hit_folds,any_bound_hit_folds,signal_variance_normalized_min,signal_variance_normalized_q25,signal_variance_normalized_median,signal_variance_normalized_q75,signal_variance_normalized_q95,signal_variance_normalized_max,length_scale_min,length_scale_q25,length_scale_median,length_scale_q75,length_scale_q95,length_scale_max,learned_nugget_variance_normalized_min,learned_nugget_variance_normalized_q25,learned_nugget_variance_normalized_median,learned_nugget_variance_normalized_q75,learned_nugget_variance_normalized_q95,learned_nugget_variance_normalized_max,learned_nugget_std_um_min,learned_nugget_std_um_q25,learned_nugget_std_um_median,learned_nugget_std_um_q75,learned_nugget_std_um_q95,learned_nugget_std_um_max,nugget_fraction_training_target_std_min,nugget_fraction_training_target_std_q25,nugget_fraction_training_target_std_median,nugget_fraction_training_target_std_q75,nugget_fraction_training_target_std_q95,nugget_fraction_training_target_std_max,nugget_fraction_dataset_target_median_min,nugget_fraction_dataset_target_median_q25,nugget_fraction_dataset_target_median_median,nugget_fraction_dataset_target_median_q75,nugget_fraction_dataset_target_median_q95,nugget_fraction_dataset_target_median_max
depth,Penetration depth below original surface,T0,230,1.8022708265928273,1.339809185788404,2.728942784700328,0.9688730302355166,0.03610358578965785,18.77861,54.72232,94.365085,75.586475,216.58335170010105,0.9416667465221785,0,1,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2.440425217127002,2.0342430013131683,2.6883662016466876,2.440425217127002,total predictive variance including learned WhiteKernel nugget,0.8782608695652174,0.9521739130434783,0.9521739130434783,0.0021739130434783593,7.53647574957368,10.342028439757652,1,1,0,0,0,0,5.081314102834238,5.957961964928739,5.997088665101356,6.037460098532389,6.233911559894057,8.944256469327522,6.234638714019293,6.619566574284116,6.644813136971923,6.6684782214194325,6.7433266641230025,8.842737794993084,0.0104328655182228,0.013105686830907575,0.01318010665605765,0.01325648321721315,0.013412166857243014,0.0147879079627073,1.5831683374353136,1.7725558178478285,1.7767506721323791,1.7805485946646051,1.7869797586866345,1.8564377127416904,0.1021413996292532,0.11448007175043479,0.1148046456205218,0.11513680211980128,0.11581090686242816,0.1216055424835041,0.0289309433049496,0.03239182508796822,0.03246848218665395,0.032537885723130947,0.03265540932267912,0.0339246894638547
depth,Penetration depth below original surface,T0,230,2.0891811113664662,1.5486599935882648,3.0368545797212265,0.9614525214426306,0.0401772219133281,18.77861,54.72232,94.365085,75.586475,208.93959230009932,0.9084330100004319,0,3,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,2.712521917043586,2.253492014394649,2.712521917043586,,latent predictive variance; numerical jitter excluded,0.9173913043478261,,0.9173913043478261,0.032608695652173836,11.349000247985979,,3,3,0,0,0,0,1.1190937759217472,1.2099760469216188,1.2146658228835252,1.2226276109814793,1.2531098813467285,1.3824670667992114,2.239034473146395,2.311232566351097,2.315658316132008,2.322815114112286,2.364779117035507,2.5411791859053445,,,,,,,,,,,,,,,,,,,,,,,,
depth,Penetration depth below original surface,T0,230,1.7882537124127877,1.2720794859718598,2.7169661582388707,0.9691456471909613,0.03594513645779712,18.77861,54.72232,94.365085,75.586475,346.00113539985614,1.5043527626080702,0,0,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,2.4399246368261895,2.029381148329792,3.0470444477123664,2.4399246368261895,total predictive variance including learned WhiteKernel nugget,0.8217391304347826,0.9478260869565217,0.9478260869565217,0.0021739130434782483,6.365984461681645,10.311084843331319,0,0,0,0,0,0,3.1298650216671584,3.5496323641846534,3.568349572177608,3.5912796018324222,3.6521638149862876,4.284952313851699,3.634388800987312,3.776664593773076,3.786782345687246,3.795813697857151,3.836335639204184,4.401821213785785,0.0129567211989854,0.017220939257432174,0.017302240671216752,0.017376940849710178,0.017569635223538868,0.0189835353508447,1.7643016808216103,2.0317337751416606,2.0363289986685773,2.039256197147187,2.043406885443049,2.1033694439772126,0.1138275941895701,0.13122857623394235,0.13153798179417736,0.13182162505955053,0.13255049858552848,0.1377807510171312,0.0322409883356847,0.03712806356056645,0.037212037038425544,0.03726552889473955,0.03734137890065788,0.0384371394337303
depth,Penetration depth below original surface,T0,230,2.413462923073034,1.8271810934726602,3.497484166759593,0.9488719184293624,0.046271296111633636,18.77861,54.72232,94.365085,75.586475,253.49455440003658,1.1021502365218983,0,0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,2.9524420680595673,2.443464011932317,2.9524420680595673,,latent predictive variance; numerical jitter excluded,0.9217391304347826,,0.9217391304347826,0.02826086956521734,13.47872296620511,,0,0,0,0,0,0,0.6479237285777588,0.6940818086499154,0.6958681229353234,0.6985846820762427,0.7083035891888458,0.7293465505013905,1.2169534820158756,1.2351816761093932,1.2369121769146643,1.23884155706297,1.262405994956774,1.3078064167013523,,,,,,,,,,,,,,,,,,,,,,,,
depth,Penetration depth below original surface,T0,230,1.8254897211652583,1.307440692023615,2.7698471525378965,0.9679329069760424,0.03664474567094043,18.77861,54.72232,94.365085,75.586475,183.0189566006884,0.7957345939160365,0,0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,2.4629724811391496,2.034595927958095,4.011088479964621,2.4629724811391496,total predictive variance including learned WhiteKernel nugget,0.7347826086956522,0.9565217391304348,0.9565217391304348,0.006521739130434856,5.157291130257537,10.490834693946876,0,0,0,0,0,0,2.5743217666387554,2.798630410226195,2.8124805501066223,2.8287471489412086,2.872300225346162,2.944344133792088,2.275066894059782,2.320642643605876,2.3244952596343875,2.328996187998045,2.340322027178479,2.507891638398453,0.0158412106311058,0.021899566477406172,0.021984679470450852,0.022082743466759626,0.022263885249561254,0.023355770323223,1.9508302231509735,2.291187646010216,2.2959765484992203,2.298241728865576,2.3005849058171606,2.3330503462339567,0.1258618712363115,0.14798502088108606,0.14827231525274753,0.14860263612511898,0.14921087435790237,0.1528259478073768,0.0356496256582501,0.04186934409963272,0.04195685688215005,0.041998250967166126,0.04204107036794416,0.0426343463916361
depth,Penetration depth below original surface,T0,230,3.4025350769012945,2.438256756382451,4.858216085493961,0.9013489667247016,0.0642736162189593,18.77861,54.72232,94.365085,75.586475,285.1619901994127,1.2398347399974465,0,0,rbf_no_nugget,"RBF, no nugget",RBF,,False,3.2566746766462185,2.8614475169131923,3.2566746766462185,,latent predictive variance; numerical jitter excluded,0.9217391304347826,,0.9217391304347826,0.02826086956521734,20.533784657164695,,0,0,0,0,0,0,0.5818260822525422,0.6231854459297075,0.62438454780132,0.6262682378966983,0.631043061020329,0.6456979386902513,0.670466921600038,0.674423907341154,0.6750417917956975,0.6758393380198504,0.6796883966875487,0.7272452940031977,,,,,,,,,,,,,,,,,,,,,,,,
length,Melt-pool length,T0,241,10.622779991053926,5.348059767395853,19.389061515971587,0.9540641541519996,0.04534766141495899,116.1617,341.3759,543.72645,427.56475,257.3598016000469,1.0678829941910661,0,1,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,4.472069311854088,3.9798706142822247,5.231260751165872,4.472069311854088,total predictive variance including learned WhiteKernel nugget,0.8838174273858921,0.9543568464730291,0.9543568464730291,0.004356846473029141,46.215491836119064,78.8029816115227,1,1,0,0,0,0,13.514467549182012,14.349798997135856,14.407000938591375,14.47089267984514,14.685596088114654,17.72799360949179,9.447569688562112,9.851099629193085,9.871786052015832,9.893265404512436,9.954408765578892,11.303316915284062,0.0213373212147706,0.0318117555078821,0.03190824070753,0.0320196966364024,0.0322192261448641,0.0324061122360129,13.181630811848912,16.15401959045908,16.17099621817239,16.179339097754234,16.197233815436338,16.211696655525806,0.1460729996089989,0.1783585027630646,0.1786287790573794,0.1789404835033215,0.1794971480131764,0.1800169776327026,0.0386132436761028,0.047320328091289,0.0473700581036106,0.0473944970859226,0.047446916479565,0.0474892827980118
length,Melt-pool length,T0,241,15.0739314249014,7.605061336671952,25.738975850243445,0.9190492893895396,0.06019901278167446,116.1617,341.3759,543.72645,427.56475,161.9676254001679,0.6720648356853439,0,0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,5.377487479864641,4.440541964782063,5.377487479864641,,latent predictive variance; numerical jitter excluded,0.9336099585062241,,0.9336099585062241,0.016390041493775875,113.79863969934621,,0,0,0,0,0,0,0.6938457847732382,0.7360152320603934,0.7382207427106302,0.7401350492403546,0.7471671542217379,1.173478778508438,1.206822322873146,1.2148613100275705,1.2162734872610113,1.2185946419785854,1.2305200910750045,2.025324159118183,,,,,,,,,,,,,,,,,,,,,,,,
length,Melt-pool length,T0,241,10.361959653268965,5.614829362255534,18.940151120596823,0.9561666139543238,0.04429773764230289,116.1617,341.3759,543.72645,427.56475,251.25356500042835,1.042545912864848,0,1,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,4.437770446857351,3.9487082326031184,5.741911453607974,4.437770446857351,total predictive variance including learned WhiteKernel nugget,0.8713692946058091,0.9543568464730291,0.9543568464730291,0.004356846473029141,38.84542487623793,76.25125744978266,1,1,0,0,0,0,8.73173961610809,9.345795190807934,9.385943356233527,9.439156834098608,9.58448664690223,11.515551241260573,5.091311153304905,5.218032801586976,5.2257043299878605,5.234604458269121,5.261153129187878,5.563940747593081,0.02482968981291,0.0335064781482792,0.0336040784165719,0.033712512895891,0.0339193413370894,0.0341752517204426,14.219516951894391,16.581266776910585,16.59616046876958,16.603225294450585,16.615475170722167,16.629454490923468,0.1575743945344865,0.1830477482742666,0.183314152253916,0.1836096753874672,0.1841720427673251,0.1848654962951244,0.0416535465798681,0.0485718727564265,0.0486155011785236,0.0486361963291802,0.0486720801636031,0.0487130300965108
length,Melt-pool length,T0,241,18.89707621963854,9.836050176975277,30.752551239838322,0.8844418867838353,0.07192489848575759,116.1617,341.3759,543.72645,427.56475,247.42091270023957,1.026642791287301,0,0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,5.924299325771639,4.672589174414064,5.924299325771639,,latent predictive variance; numerical jitter excluded,0.941908713692946,,0.941908713692946,0.008091286307053913,140.15636018262592,,0,0,0,0,0,0,0.5950543679810523,0.6262253184373517,0.6274590220837905,0.62884030403606,0.6323236651171876,0.7260374507330433,0.782548101621192,0.7859109592547673,0.7868343674989743,0.7880663022009049,0.7918524846151279,1.169310838308336,,,,,,,,,,,,,,,,,,,,,,,,
