benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,31,0.3138,0.8888,0.1664480552320761,0.042146099998717546,0.48,1000,0.969,0.1878044075424507,0.467,2000,0.963,0.18499266080015167,0.44,3000,0.9566666666666667,0.18474212998477135
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,32,0.3134,0.8794,0.16349946299545715,0.045264500000484986,0.48,1000,0.966,0.18465985404569107,0.468,2000,0.957,0.18183906804945896,0.44033333333333335,3000,0.9506666666666667,0.18161888988556124
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,33,0.3295,0.8873,0.1628482193921402,0.045184700000390876,0.491,1000,0.969,0.18396253780317498,0.477,2000,0.9595,0.18151409840449453,0.44966666666666666,3000,0.9543333333333334,0.1809238442393101
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,34,0.3121,0.8965,0.1666348581621485,0.04597800000010466,0.489,1000,0.969,0.18873675141801088,0.4745,2000,0.962,0.18654713333196138,0.442,3000,0.9576666666666667,0.18547480873947098
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,35,0.3122,0.8843,0.16298142230207271,0.04578099999889673,0.488,1000,0.966,0.1848132899687509,0.474,2000,0.9595,0.1828860377921763,0.442,3000,0.9526666666666667,0.1818371623302948
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,36,0.3126,0.8698,0.15881454654997268,0.047636100000090664,0.486,1000,0.961,0.18028479445632467,0.4745,2000,0.9515,0.1783984251539369,0.44266666666666665,3000,0.9433333333333334,0.177345466324726
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,37,0.3167,0.8548,0.15385035035264957,0.07510390000061307,0.485,1000,0.948,0.17409182833641454,0.471,2000,0.9355,0.1722232247484875,0.44233333333333336,3000,0.927,0.17099926622000267
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,38,0.3198,0.8464,0.15236785298895505,0.07723119999900518,0.48,1000,0.941,0.17132167079399993,0.4695,2000,0.927,0.1699411601889611,0.444,3000,0.9193333333333333,0.16879082403391582
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,39,0.3201,0.8349,0.14889439242177155,0.11120120000123279,0.484,1000,0.919,0.16651860571901428,0.4725,2000,0.9115,0.1655539236077753,0.445,3000,0.907,0.16479059944647848
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,40,0.3235,0.8165,0.14470561905953933,0.07683890000043903,0.485,1000,0.906,0.1616470143274296,0.4745,2000,0.898,0.16076935460149033,0.447,3000,0.8936666666666667,0.16014168677284074
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,41,0.3276,0.8517,0.1540551216337663,0.05415920000086771,0.485,1000,0.931,0.16811385817144817,0.4735,2000,0.924,0.16859726542462733,0.44866666666666666,3000,0.9173333333333333,0.1680379610039988
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,42,0.3279,0.8348,0.15028707533398977,0.051826699998855474,0.489,1000,0.918,0.16470817242705374,0.4765,2000,0.9125,0.1652133470870958,0.4513333333333333,3000,0.9063333333333333,0.164618354504917
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,43,0.322,0.8476,0.15337234208182315,0.05852020000020275,0.483,1000,0.935,0.1679019290257172,0.4695,2000,0.924,0.16831162598352384,0.44433333333333336,3000,0.9156666666666666,0.16748977548238694
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,44,0.3252,0.8818,0.16493946064442636,0.047967399999834015,0.484,1000,0.949,0.1787730274872655,0.473,2000,0.94,0.17840034534215296,0.4483333333333333,3000,0.9363333333333334,0.17822863885353252
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,45,0.3251,0.8719,0.1618008813638764,0.04175940000095579,0.482,1000,0.945,0.17537412183248938,0.4715,2000,0.934,0.17508065056390665,0.44733333333333336,3000,0.9296666666666666,0.1749776165660921
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,46,0.3259,0.8661,0.16009039518232301,0.04280260000086855,0.487,1000,0.938,0.1737711161314925,0.4745,2000,0.929,0.17335062849822802,0.4503333333333333,3000,0.924,0.1732769774586361
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,47,0.3161,0.8642,0.15891753967339498,0.04976790000000619,0.487,1000,0.936,0.17370490957192533,0.4705,2000,0.929,0.1730200411225763,0.44266666666666665,3000,0.924,0.17277934098825198
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,48,0.313,0.8518,0.1559090424066095,0.04853910000019823,0.482,1000,0.934,0.17224919994884633,0.468,2000,0.928,0.1716408122405422,0.44,3000,0.9213333333333333,0.17131620603833442
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,49,0.3183,0.8386,0.15202416208939576,0.048470900001120754,0.482,1000,0.927,0.1676661761558978,0.468,2000,0.9205,0.1669500018957978,0.44133333333333336,3000,0.9143333333333333,0.1662185148394392
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,50,0.3186,0.8284,0.14887043072629869,0.056747900000118534,0.48,1000,0.912,0.16402573136371448,0.4665,2000,0.908,0.16350170055111535,0.441,3000,0.9026666666666666,0.16252087346696953
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,51,0.3194,0.8176,0.1463018423058388,0.0545153000002756,0.475,1000,0.903,0.16065531716973644,0.463,2000,0.899,0.160107679237631,0.438,3000,0.8946666666666667,0.15908115464176192
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,52,0.3182,0.8102,0.14429779175367852,0.05756159999873489,0.472,1000,0.908,0.15837878624330193,0.4615,2000,0.9015,0.1579605288552773,0.43733333333333335,3000,0.8956666666666667,0.15741015917792633
