arm,c,region,fits,optimizer_convergence_rate,mean_residual_sd,residual_sd_upper_hit_rate,any_length_lower_hit_rate,any_length_upper_hit_rate,median_anisotropy_ratio
M3_MARGIN,0.0,EARLY_B16_40,2500,0.9864,0.7604089630555445,0.6216,0.0228,0.7672,230.08823224286942
M3_MARGIN,0.0,LATE_B41_80,4000,0.93475,0.9629859820352651,0.7815,0.00175,0.81,198.13271210981412
REP_C025,0.25,EARLY_B16_40,2500,0.986,0.7449292297865255,0.568,0.0136,0.7692,224.49609496119098
REP_C025,0.25,LATE_B41_80,4000,0.92,0.9698404552191792,0.79225,0.00125,0.814,185.61553584452597
REP_C050,0.5,EARLY_B16_40,2500,0.9808,0.7636449908174718,0.5944,0.0244,0.7772,214.6429285661178
REP_C050,0.5,LATE_B41_80,4000,0.91975,0.973817971736675,0.84475,0.0035,0.823,184.1675569975381
REP_C100,1.0,EARLY_B16_40,2500,0.9816,0.7631626081040865,0.5952,0.0184,0.7692,206.66191903981706
REP_C100,1.0,LATE_B41_80,4000,0.925,0.9693218906641892,0.8595,0.007,0.84725,188.27396089687778
REP_C200,2.0,EARLY_B16_40,2500,0.9812,0.7582545669425667,0.5804,0.0268,0.7696,206.82932986148882
REP_C200,2.0,LATE_B41_80,4000,0.9255,0.9698286367997393,0.85875,0.0075,0.843,189.03950803754907
REP_C400,4.0,EARLY_B16_40,2500,0.9768,0.7566586079632862,0.5896,0.0244,0.7708,204.69153484638343
REP_C400,4.0,LATE_B41_80,4000,0.93375,0.9697114836100346,0.86325,0.0075,0.86025,190.22231865531413
