arm,c,subset,budget,metric,delta_vs_M3_MARGIN,ci_lower,ci_upper
REP_C050,0.5,B1_q20,24,accuracy,-0.001764705882352946,-0.014117647058823518,0.010588235294117638
REP_C100,1.0,B1_q20,24,accuracy,0.005882352941176472,-0.006470588235294089,0.018235294117647044
REP_C200,2.0,B1_q20,24,accuracy,0.008823529411764702,-0.0035294117647058755,0.02117647058823527
REP_C400,4.0,B1_q20,24,accuracy,0.008235294117647052,-0.0035294117647058755,0.019999999999999997
REP_C025,0.25,B1_q20,24,balanced_accuracy,0.001631007881007862,-0.007413044247419283,0.01075515873015873
REP_C050,0.5,B1_q20,24,balanced_accuracy,-0.002040168165168188,-0.015895272782772814,0.011696677974802946
REP_C100,1.0,B1_q20,24,balanced_accuracy,0.0032311161061160942,-0.009473031135531156,0.016576683386058385
REP_C200,2.0,B1_q20,24,balanced_accuracy,0.008837953712953688,-0.0039865141802641925,0.021708528624153584
REP_C400,4.0,B1_q20,24,balanced_accuracy,0.009236582861582849,-0.003654239163614187,0.022109514790764773
REP_C025,0.25,B1_q20,24,keyhole_recall,-0.0029365079365079316,-0.026194444444444426,0.020353273809523807
REP_C050,0.5,B1_q20,24,keyhole_recall,-0.004456349206349225,-0.03360714285714286,0.02382549603174601
REP_C100,1.0,B1_q20,24,keyhole_recall,-0.006670634920634943,-0.03062341269841272,0.018294246031746002
REP_C200,2.0,B1_q20,24,keyhole_recall,0.0032460317460317246,-0.021381746031746033,0.027869642857142808
REP_C400,4.0,B1_q20,24,keyhole_recall,0.006452380952380937,-0.021587400793650825,0.03444920634920634
REP_C025,0.25,B1_q20,24,conduction_recall,0.006198523698523722,-0.009798004079254068,0.022149130730380752
REP_C050,0.5,B1_q20,24,conduction_recall,0.00037601287601291553,-0.016786694555444497,0.01800093170718174
REP_C100,1.0,B1_q20,24,conduction_recall,0.013132867132867154,-0.003943711149961138,0.03025284090909094
REP_C200,2.0,B1_q20,24,conduction_recall,0.014429875679875692,-0.005207687451437463,0.034146605477855516
REP_C400,4.0,B1_q20,24,conduction_recall,0.012020784770784786,-0.00882714160839161,0.03370171911421914
REP_C025,0.25,B1_q20,24,false_negative,0.019999999999999983,-0.13000000000000006,0.17
REP_C050,0.5,B1_q20,24,false_negative,0.029999999999999992,-0.15000000000000008,0.22000000000000003
REP_C100,1.0,B1_q20,24,false_negative,0.020000000000000028,-0.14000000000000004,0.18000000000000002
REP_C200,2.0,B1_q20,24,false_negative,-0.019999999999999983,-0.16999999999999998,0.13000000000000003
REP_C400,4.0,B1_q20,24,false_negative,-0.030000000000000006,-0.2,0.16000000000000006
REP_C025,0.25,B1_q20,24,false_positive,-0.04999999999999999,-0.21000000000000002,0.11000000000000006
REP_C050,0.5,B1_q20,24,false_positive,3.3306690738754695e-17,-0.18000000000000002,0.19000000000000009
REP_C100,1.0,B1_q20,24,false_positive,-0.11999999999999997,-0.30000000000000004,0.07000000000000003
REP_C200,2.0,B1_q20,24,false_positive,-0.12999999999999998,-0.34,0.09000000000000005
REP_C400,4.0,B1_q20,24,false_positive,-0.10999999999999996,-0.34,0.12000000000000006
REP_C025,0.25,B1_q20,32,accuracy,0.0005882352941176561,-0.009411764705882331,0.010588235294117643
REP_C050,0.5,B1_q20,32,accuracy,0.013529411764705873,0.002352941176470602,0.02470588235294115
REP_C100,1.0,B1_q20,32,accuracy,0.004117647058823515,-0.0058823529411765,0.014705882352941162
REP_C200,2.0,B1_q20,32,accuracy,0.009999999999999998,-0.0011764705882352955,0.022352941176470575
REP_C400,4.0,B1_q20,32,accuracy,0.011176470588235298,0.0005882352941176616,0.022352941176470603
REP_C025,0.25,B1_q20,32,balanced_accuracy,-0.002307123432123426,-0.013457200091575111,0.008573196248196253
REP_C050,0.5,B1_q20,32,balanced_accuracy,0.013041958041958018,-3.9848346098365044e-05,0.027049614968364978
REP_C100,1.0,B1_q20,32,balanced_accuracy,0.0024481629481629074,-0.009814289183039225,0.014816262210012174
REP_C200,2.0,B1_q20,32,balanced_accuracy,0.009894591519591506,-0.0038969315406815618,0.0244763528138528
REP_C400,4.0,B1_q20,32,balanced_accuracy,0.011283480408480383,-0.0011013757076257476,0.024653915528915486
REP_C025,0.25,B1_q20,32,keyhole_recall,-0.00838492063492064,-0.031093353174603162,0.01473253968253965
REP_C050,0.5,B1_q20,32,keyhole_recall,0.007555555555555554,-0.016238392857142864,0.032619543650793656
REP_C100,1.0,B1_q20,32,keyhole_recall,-0.006424603174603183,-0.0316430555555556,0.019492757936507895
REP_C200,2.0,B1_q20,32,keyhole_recall,0.009468253968253954,-0.01874632936507936,0.03858392857142854
REP_C400,4.0,B1_q20,32,keyhole_recall,0.012246031746031732,-0.014627579365079371,0.03983412698412697
REP_C025,0.25,B1_q20,32,conduction_recall,0.0037706737706737882,-0.008764890664890647,0.01609673520923521
REP_C050,0.5,B1_q20,32,conduction_recall,0.018528360528360526,0.010627651515151526,0.026327942890442883
REP_C100,1.0,B1_q20,32,conduction_recall,0.011320929070929065,-0.003211965118215143,0.023623911505161493
REP_C200,2.0,B1_q20,32,conduction_recall,0.010320929070929052,-0.0032779914529914556,0.022803441697191684
REP_C400,4.0,B1_q20,32,conduction_recall,0.010320929070929047,-0.0031282529970030042,0.022549773837273822
REP_C025,0.25,B1_q20,32,false_negative,0.03999999999999998,-0.12,0.19
REP_C050,0.5,B1_q20,32,false_negative,-0.030000000000000016,-0.19000000000000003,0.12000000000000002
REP_C100,1.0,B1_q20,32,false_negative,0.049999999999999975,-0.10000000000000002,0.19999999999999996
REP_C200,2.0,B1_q20,32,false_negative,-0.06000000000000004,-0.23000000000000007,0.11000000000000001
REP_C400,4.0,B1_q20,32,false_negative,-0.08000000000000003,-0.24000000000000007,0.08
REP_C025,0.25,B1_q20,32,false_positive,-0.04999999999999998,-0.15999999999999998,0.06999999999999998
REP_C050,0.5,B1_q20,32,false_positive,-0.19999999999999993,-0.27999999999999997,-0.11999999999999997
REP_C100,1.0,B1_q20,32,false_positive,-0.11999999999999997,-0.25,0.040000000000000015
REP_C200,2.0,B1_q20,32,false_positive,-0.10999999999999999,-0.24,0.039999999999999994
REP_C400,4.0,B1_q20,32,false_positive,-0.10999999999999996,-0.24999999999999992,0.04000000000000001
REP_C025,0.25,B1_q20,40,accuracy,0.004117647058823515,-0.002352941176470613,0.010000000000000014
REP_C050,0.5,B1_q20,40,accuracy,0.002941176470588236,-0.005294117647058827,0.01058823529411767
REP_C100,1.0,B1_q20,40,accuracy,0.00411764705882352,-0.002352941176470591,0.010588235294117638
REP_C200,2.0,B1_q20,40,accuracy,0.007058823529411756,0.0005882352941176561,0.013529411764705863
REP_C400,4.0,B1_q20,40,accuracy,0.0070588235294117615,0.001764705882352957,0.012352941176470589
REP_C025,0.25,B1_q20,40,balanced_accuracy,-0.0013244949494949476,-0.00971022727272726,0.006622234362859341
REP_C050,0.5,B1_q20,40,balanced_accuracy,-0.0016861471861471856,-0.013198203879453837,0.00872069042069042
REP_C100,1.0,B1_q20,40,balanced_accuracy,-3.0247530247540232e-05,-0.007495779567654595,0.0077113636363636
REP_C200,2.0,B1_q20,40,balanced_accuracy,0.0026467005217005344,-0.005652822871572852,0.011198637820512818
REP_C400,4.0,B1_q20,40,balanced_accuracy,0.00510286935286936,-0.0035007922632922955,0.014285675088800086
REP_C025,0.25,B1_q20,40,keyhole_recall,-0.017888888888888916,-0.03440109126984131,-0.0023804563492063756
REP_C050,0.5,B1_q20,40,keyhole_recall,-0.016162698412698427,-0.038350694444444465,0.00497341269841267
REP_C100,1.0,B1_q20,40,keyhole_recall,-0.013837301587301626,-0.030319444444444506,0.003266369047619019
REP_C200,2.0,B1_q20,40,keyhole_recall,-0.01113492063492067,-0.03252787698412702,0.010270436507936485
REP_C400,4.0,B1_q20,40,keyhole_recall,-0.003230158730158761,-0.027322023809523862,0.019321726190476177
REP_C025,0.25,B1_q20,40,conduction_recall,0.01523989898989898,0.008275203962703946,0.02449602272727272
REP_C050,0.5,B1_q20,40,conduction_recall,0.012790404040404057,0.0025554292929292934,0.02489716880341883
