arm,c,subset,budget,metric,mean,median,n_outer_runs
REP_C100,1.0,full81,16,keyhole_recall,0.8526666666666665,0.8666666666666667,100
REP_C100,1.0,full81,16,conduction_recall,0.9637155133423789,0.9848484848484849,100
REP_C100,1.0,full81,16,roc_auc,0.9809344403523508,0.9909236286101958,100
REP_C100,1.0,full81,16,pr_auc,0.9365800091914465,0.9632997557997558,100
REP_C100,1.0,full81,16,brier_score,0.04888925485334675,0.04399410731015099,100
REP_C100,1.0,full81,40,accuracy,0.9664197530864197,0.9753086419753086,100
REP_C100,1.0,full81,40,balanced_accuracy,0.931245590230665,0.9333333333333333,100
REP_C100,1.0,full81,40,keyhole_recall,0.8763333333333335,0.8666666666666667,100
REP_C100,1.0,full81,40,conduction_recall,0.9861578471279963,0.9850746268656716,100
REP_C100,1.0,full81,40,roc_auc,0.9911088281536042,0.9932663522215761,100
REP_C100,1.0,full81,40,pr_auc,0.9641696050872501,0.973499912785627,100
REP_C100,1.0,full81,40,brier_score,0.02834262511854603,0.027079607858219213,100
REP_C100,1.0,full81,80,accuracy,0.9690123456790124,0.9753086419753086,100
REP_C100,1.0,full81,80,balanced_accuracy,0.932210279769981,0.9333333333333333,100
REP_C100,1.0,full81,80,keyhole_recall,0.874809523809524,0.8666666666666667,100
REP_C100,1.0,full81,80,conduction_recall,0.9896110357304387,1.0,100
REP_C100,1.0,full81,80,roc_auc,0.9930351489306714,0.9948095022721888,100
REP_C100,1.0,full81,80,pr_auc,0.9687945270992436,0.9778223084105437,100
REP_C100,1.0,full81,80,brier_score,0.026038648732037886,0.024531477067298427,100
REP_C200,2.0,full81,16,accuracy,0.9438271604938272,0.9506172839506173,100
REP_C200,2.0,full81,16,balanced_accuracy,0.9081910900045227,0.9257575757575758,100
REP_C200,2.0,full81,16,keyhole_recall,0.8526666666666665,0.8666666666666667,100
REP_C200,2.0,full81,16,conduction_recall,0.9637155133423789,0.9848484848484849,100
REP_C200,2.0,full81,16,roc_auc,0.9809344403523508,0.9909236286101958,100
REP_C200,2.0,full81,16,pr_auc,0.9365800091914465,0.9632997557997558,100
REP_C200,2.0,full81,16,brier_score,0.04888925485334675,0.04399410731015099,100
REP_C200,2.0,full81,40,accuracy,0.9671604938271604,0.9753086419753086,100
REP_C200,2.0,full81,40,balanced_accuracy,0.9324479227240423,0.9333333333333333,100
REP_C200,2.0,full81,40,keyhole_recall,0.8782857142857143,0.8666666666666667,100
REP_C200,2.0,full81,40,conduction_recall,0.9866101311623698,0.9850746268656716,100
REP_C200,2.0,full81,40,roc_auc,0.9908703452434796,0.9936034115138593,100
REP_C200,2.0,full81,40,pr_auc,0.9631367936684038,0.9740668062096633,100
REP_C200,2.0,full81,40,brier_score,0.02829254523495075,0.026829728076706038,100
REP_C200,2.0,full81,80,accuracy,0.9690123456790123,0.9753086419753086,100
REP_C200,2.0,full81,80,balanced_accuracy,0.932210279769981,0.9333333333333333,100
REP_C200,2.0,full81,80,keyhole_recall,0.874809523809524,0.8666666666666667,100
REP_C200,2.0,full81,80,conduction_recall,0.9896110357304387,1.0,100
REP_C200,2.0,full81,80,roc_auc,0.9930761129417846,0.9948095022721888,100
REP_C200,2.0,full81,80,pr_auc,0.9688606472605629,0.9778467284349637,100
REP_C200,2.0,full81,80,brier_score,0.026026411943061954,0.02454742615826614,100
REP_C400,4.0,full81,16,accuracy,0.9438271604938272,0.9506172839506173,100
REP_C400,4.0,full81,16,balanced_accuracy,0.9081910900045227,0.9257575757575758,100
REP_C400,4.0,full81,16,keyhole_recall,0.8526666666666665,0.8666666666666667,100
REP_C400,4.0,full81,16,conduction_recall,0.9637155133423789,0.9848484848484849,100
REP_C400,4.0,full81,16,roc_auc,0.9809344403523508,0.9909236286101958,100
REP_C400,4.0,full81,16,pr_auc,0.9365800091914465,0.9632997557997558,100
REP_C400,4.0,full81,16,brier_score,0.04888925485334675,0.04399410731015099,100
REP_C400,4.0,full81,40,accuracy,0.9670370370370368,0.9753086419753086,100
REP_C400,4.0,full81,40,balanced_accuracy,0.9328884473735221,0.9333333333333333,100
REP_C400,4.0,full81,40,keyhole_recall,0.8796190476190477,0.8666666666666667,100
REP_C400,4.0,full81,40,conduction_recall,0.9861578471279964,0.9850746268656716,100
REP_C400,4.0,full81,40,roc_auc,0.9907951584070988,0.9936034115138593,100
REP_C400,4.0,full81,40,pr_auc,0.9629428019808195,0.9751984126984127,100
REP_C400,4.0,full81,40,brier_score,0.028280384262537123,0.026278244910392188,100
REP_C400,4.0,full81,80,accuracy,0.9690123456790123,0.9753086419753086,100
REP_C400,4.0,full81,80,balanced_accuracy,0.932210279769981,0.9333333333333333,100
REP_C400,4.0,full81,80,keyhole_recall,0.874809523809524,0.8666666666666667,100
REP_C400,4.0,full81,80,conduction_recall,0.9896110357304387,1.0,100
REP_C400,4.0,full81,80,roc_auc,0.9931075359135062,0.9948095022721888,100
REP_C400,4.0,full81,80,pr_auc,0.9689899387207368,0.9778467284349637,100
REP_C400,4.0,full81,80,brier_score,0.02603486892070038,0.024852602447671145,100
