arm,c,budget,mean_selected_d_min,median_selected_d_min,mean_candidate_scale_s_B,mean_active_pairwise_spread,active_query_keyhole_fraction,revealed_keyhole_fraction,q20_like_fraction,q30_like_fraction,mean_B1_distance
M3_MARGIN,0.0,17,1.2069146937407265,1.2246235999382775,1.2350951639117111,,0.51,0.3341176470588236,0.68,0.81,0.7918135769288744
M3_MARGIN,0.0,18,1.1931562551835286,1.262475659542222,1.2191215142004017,2.2896072600861883,0.42,0.338888888888889,0.62,0.86,0.8594796119286996
M3_MARGIN,0.0,19,1.0782198011988047,1.0648252799426832,1.204415960292965,2.364500364845374,0.52,0.34842105263157896,0.74,0.95,0.7443847773631478
M3_MARGIN,0.0,20,1.0383610492304345,1.0699439979558103,1.191735588481577,2.364114643224425,0.49,0.3554999999999999,0.74,0.93,0.6863680699762931
M3_MARGIN,0.0,21,0.9653708163607666,0.9666577192394545,1.1795625541578756,2.359385513491007,0.48,0.3614285714285714,0.72,0.9,0.7578500747349315
M3_MARGIN,0.0,22,0.9986210854726526,1.043365841984945,1.1694899602257545,2.349982327649263,0.53,0.36909090909090914,0.71,0.92,0.7798351828092894
M3_MARGIN,0.0,23,1.0154509504971063,1.0563761647985466,1.159211516441186,2.3589084694818876,0.42,0.3713043478260869,0.76,0.91,0.7466934171433991
M3_MARGIN,0.0,24,0.9446428437003689,0.9144975184414235,1.1486010984166095,2.3531856482379188,0.46,0.375,0.76,0.94,0.745166401552065
M3_MARGIN,0.0,25,0.9331805117093533,0.9335041165663669,1.1414698081916965,2.362053813644032,0.51,0.3804,0.84,0.88,0.7234628236213179
M3_MARGIN,0.0,26,0.944696183479395,0.9430598774702171,1.1340554517798291,2.3482424701354327,0.47,0.3838461538461539,0.72,0.89,0.7783078529271356
M3_MARGIN,0.0,27,0.9129026291235985,0.9116402185919639,1.1270814091452193,2.3340116709438457,0.52,0.38888888888888884,0.7,0.92,0.8063085638197858
M3_MARGIN,0.0,28,0.7726701113064354,0.7847173997661983,1.1201588083501735,2.3180324218256567,0.49,0.3925,0.78,0.92,0.7214289784416021
M3_MARGIN,0.0,29,0.8140293611256871,0.7867030402757227,1.1162018874842092,2.310463263984096,0.43,0.39379310344827595,0.77,0.91,0.7282660073312459
M3_MARGIN,0.0,30,0.8133666509244577,0.8479545290247776,1.1118840430844434,2.3134198170397817,0.42,0.3946666666666666,0.77,0.91,0.6959812385649355
M3_MARGIN,0.0,31,0.8173372279866516,0.8645233492182269,1.1068195612603704,2.3156439624190774,0.44,0.39612903225806456,0.8,0.94,0.7303484040937619
