arm,c,budget,first_divergence_budget_mean,same_step_fraction_active,shared_point_count,jaccard
M3_MARGIN,0.0,24,,1.0,24.0,1.0
M3_MARGIN,0.0,40,,1.0,40.0,1.0
M3_MARGIN,0.0,60,,1.0,60.0,1.0
M3_MARGIN,0.0,80,,1.0,80.0,1.0
REP_C025,0.25,24,21.51,0.52625,21.36,0.812922253324478
REP_C025,0.25,40,21.51,0.26416666666666666,35.03,0.7861255542357276
REP_C025,0.25,60,21.51,0.16636363636363638,55.37,0.8618001527299117
REP_C025,0.25,80,21.51,0.13515625,76.96,0.9292660253699989
REP_C050,0.5,24,18.62,0.27625,20.08,0.7302348807045136
REP_C050,0.5,40,18.62,0.1375,33.14,0.7148169082996388
REP_C050,0.5,60,18.62,0.08818181818181818,53.15,0.7984383280418829
REP_C050,0.5,80,18.62,0.06890625,73.66,0.8549940867747905
REP_C100,1.0,24,17.8,0.18,19.43,0.6881135653371472
REP_C100,1.0,40,17.8,0.08125,31.92,0.6709607703000884
REP_C100,1.0,60,17.8,0.05795454545454545,51.75,0.7626533597988461
REP_C100,1.0,80,17.8,0.04765625,71.51,0.8105898548507062
REP_C200,2.0,24,17.6,0.1425,19.16,0.6712946111606846
REP_C200,2.0,40,17.6,0.06875,31.6,0.6605776081506834
REP_C200,2.0,60,17.6,0.04954545454545454,51.22,0.7492414360797228
REP_C200,2.0,80,17.6,0.0409375,70.86,0.7973201231066552
REP_C400,4.0,24,17.59,0.1375,19.11,0.668739217228205
REP_C400,4.0,40,17.59,0.0675,31.5,0.6573561567265351
REP_C400,4.0,60,17.59,0.05,51.08,0.7456843767909201
REP_C400,4.0,80,17.59,0.04125,70.75,0.7951104595819278
