arm,c,subset,region,mean_AULC,delta_vs_M3_MARGIN,ci_lower,ci_upper,positive_repeat_blocks,zero_repeat_blocks,negative_repeat_blocks,bootstrap_draws
M3_MARGIN,0.0,B1_q20,OVERALL_B16_80,0.844623161764706,0.0,0.0,0.0,0,20,0,10000
REP_C025,0.25,B1_q20,OVERALL_B16_80,0.8461443014705882,0.001521139705882374,-0.0007444852941176309,0.0036764705882353097,14,0,6,10000
REP_C050,0.5,B1_q20,OVERALL_B16_80,0.8460937499999999,0.0014705882352941235,-0.0012547104779412174,0.0040487132352941225,12,1,7,10000
REP_C100,1.0,B1_q20,OVERALL_B16_80,0.8471691176470589,0.002545955882352957,-0.0006480928308823403,0.0055974264705882515,13,0,7,10000
REP_C200,2.0,B1_q20,OVERALL_B16_80,0.8468612132352942,0.0022380514705882593,-0.0016729090073529394,0.005785960477941214,14,0,6,10000
REP_C400,4.0,B1_q20,OVERALL_B16_80,0.8473207720588235,0.0026976102941176916,-0.0008917738970587785,0.0059697840073529886,15,0,5,10000
M3_MARGIN,0.0,B1_q20,EARLY_B16_40,0.8260416666666668,0.0,0.0,0.0,0,20,0,10000
REP_C025,0.25,B1_q20,EARLY_B16_40,0.8282598039215685,0.002218137254901953,-0.0011274509803921753,0.006041666666666662,11,0,9,10000
REP_C050,0.5,B1_q20,EARLY_B16_40,0.829436274509804,0.003394607843137265,-0.00015931372549017912,0.006813725490196082,14,0,6,10000
REP_C100,1.0,B1_q20,EARLY_B16_40,0.8309313725490194,0.004889705882352946,0.000833026960784312,0.009264705882352947,12,0,8,10000
REP_C200,2.0,B1_q20,EARLY_B16_40,0.8310171568627451,0.004975490196078442,-0.00020833333333331595,0.010428921568627436,13,0,7,10000
REP_C400,4.0,B1_q20,EARLY_B16_40,0.8321446078431374,0.006102941176470589,0.001213235294117659,0.011237745098039232,15,0,5,10000
M3_MARGIN,0.0,B1_q20,LATE_B41_80,0.8560105580693815,0.0,0.0,0.0,0,20,0,10000
REP_C025,0.25,B1_q20,LATE_B41_80,0.8570211161387633,0.0010105580693816063,-0.0019683257918551747,0.0038386123680241306,12,0,8,10000
REP_C050,0.5,B1_q20,LATE_B41_80,0.8562368024132729,0.0002262443438914019,-0.003423831070889877,0.003634992458521841,12,0,8,10000
REP_C100,1.0,B1_q20,LATE_B41_80,0.8570135746606333,0.0010030165912518652,-0.002812971342383114,0.0046832579185520085,11,0,9,10000
REP_C200,2.0,B1_q20,LATE_B41_80,0.8564555052790347,0.0004449472096530904,-0.003929110105580685,0.0046457390648567045,12,0,8,10000
REP_C400,4.0,B1_q20,LATE_B41_80,0.8565158371040724,0.0005052790346907976,-0.003740573152337845,0.0044042232277526185,13,0,7,10000
M3_MARGIN,0.0,B1_q30,OVERALL_B16_80,0.887434375,0.0,0.0,0.0,0,20,0,10000
REP_C025,0.25,B1_q30,OVERALL_B16_80,0.889840625,0.002406250000000021,0.0006156250000000349,0.004084375000000041,14,0,6,10000
REP_C050,0.5,B1_q30,OVERALL_B16_80,0.8897656250000001,0.002331249999999985,0.00027796875000000635,0.0042562500000000005,15,0,5,10000
REP_C100,1.0,B1_q30,OVERALL_B16_80,0.8906656249999999,0.0032312499999999746,0.0008749999999999531,0.005362578125000029,17,0,3,10000
REP_C200,2.0,B1_q30,OVERALL_B16_80,0.890571875,0.003137499999999993,0.00044687500000002933,0.005665624999999992,15,1,4,10000
REP_C400,4.0,B1_q30,OVERALL_B16_80,0.890790625,0.0033562500000000163,0.0007468750000000024,0.00572828125000001,15,1,4,10000
M3_MARGIN,0.0,B1_q30,EARLY_B16_40,0.8697916666666664,0.0,0.0,0.0,0,20,0,10000
REP_C025,0.25,B1_q30,EARLY_B16_40,0.8724166666666667,0.0026250000000000383,0.0001831250000000308,0.005500000000000016,12,0,8,10000
REP_C050,0.5,B1_q30,EARLY_B16_40,0.8726333333333333,0.002841666666666698,0.0006000000000000336,0.005025000000000041,13,0,7,10000
REP_C100,1.0,B1_q30,EARLY_B16_40,0.8743583333333333,0.004566666666666658,0.0018166666666666496,0.007308333333333295,14,1,5,10000
REP_C200,2.0,B1_q30,EARLY_B16_40,0.8741833333333332,0.004391666666666683,0.0007999999999999952,0.008091666666666691,13,1,6,10000
REP_C400,4.0,B1_q30,EARLY_B16_40,0.8749166666666668,0.005125000000000013,0.0017250000000000262,0.008758541666666692,14,0,6,10000
M3_MARGIN,0.0,B1_q30,LATE_B41_80,0.898292307692308,0.0,0.0,0.0,0,20,0,10000
REP_C025,0.25,B1_q30,LATE_B41_80,0.9004666666666667,0.0021743589743589754,-0.0003435897435897617,0.004636025641025637,12,0,8,10000
REP_C050,0.5,B1_q30,LATE_B41_80,0.9002051282051283,0.0019128205128204957,-0.0010000000000000456,0.004687179487179482,14,0,6,10000
REP_C100,1.0,B1_q30,LATE_B41_80,0.9006256410256409,0.002333333333333315,-0.0004615384615384856,0.004989871794871786,14,0,6,10000
REP_C200,2.0,B1_q30,LATE_B41_80,0.9005692307692307,0.002276923076923043,-0.0008462820512821177,0.005384615384615365,14,0,6,10000
REP_C400,4.0,B1_q30,LATE_B41_80,0.9004717948717949,0.0021794871794871273,-0.0008103846153846646,0.00507692307692304,14,0,6,10000
