arm,c,active_query_keyhole_fraction,mean_selected_d_min,median_selected_d_min,mean_B1_distance,q20_like_fraction,q30_like_fraction,mean_P,mean_VX,mean_LS,mean_ST,mean_h
M3_MARGIN,0.0,0.42046875,0.7684554569927975,0.7407179988410453,0.8224598220318575,0.68765625,0.83140625,260.5017619456033,0.5270404412555204,5.487364879537687e-05,347.8887831561089,949678048.5405304
REP_C025,0.25,0.41375,0.8011796451872312,0.7622909160325978,0.8336449076411347,0.67453125,0.823125,261.1044093796314,0.5268345654667047,5.5163025909144954e-05,348.2603944049044,946777430.5816867
REP_C050,0.5,0.40265625,0.8503971885388478,0.7902325725755512,0.8531456952147703,0.6509375,0.8053125,261.26259099634683,0.5275476018026004,5.5654054741416674e-05,349.3219544171961,936265626.9703449
REP_C100,1.0,0.399375,0.8841287854380318,0.8326220683877864,0.8712095009899496,0.6296875,0.79234375,261.35895044571845,0.5273363852129036,5.581694662894072e-05,349.61328286559126,934655018.9461979
REP_C200,2.0,0.3975,0.8959538939767426,0.8455426238499473,0.8767558977052136,0.62359375,0.7875,261.1980368915747,0.526727719910608,5.591279945557864e-05,349.6868701005878,933045155.0874202
REP_C400,4.0,0.3971875,0.8983442343312555,0.8469751262026264,0.8781186787613993,0.621875,0.7865625,261.2900894244877,0.5266289899654701,5.5937219267787036e-05,349.6380853028466,933154938.6529107
