arm,c,q20_AULC,overall_q20_delta,overall_ci_lower,overall_ci_upper,early_q20_delta,late_q20_delta,B40_keyhole_recall_delta,B40_query_spread,B40_query_spread_delta,B84_median_first_hit,B84_median_first_hit_delta
M3_MARGIN,0.0,0.844623161764706,0.0,0.0,0.0,0.0,0.0,0.0,2.2578710655738097,0.0,25.5,0.0
REP_C025,0.25,0.8461443014705882,0.001521139705882374,-0.0007444852941176309,0.0036764705882353097,0.002218137254901953,0.0010105580693816063,-0.017888888888888916,2.215412174616056,-0.04245889095775368,27.0,1.5
REP_C050,0.5,0.8460937499999999,0.0014705882352941235,-0.0012547104779412174,0.0040487132352941225,0.003394607843137265,0.0002262443438914019,-0.016162698412698427,2.272937749294384,0.015066683720574403,25.5,0.0
REP_C100,1.0,0.8471691176470589,0.002545955882352957,-0.0006480928308823403,0.0055974264705882515,0.004889705882352946,0.0010030165912518652,-0.013837301587301626,2.329992905467888,0.07212183989407839,26.0,0.5
REP_C200,2.0,0.8468612132352942,0.0022380514705882593,-0.0016729090073529394,0.005785960477941214,0.004975490196078442,0.0004449472096530904,-0.01113492063492067,2.3559588079900546,0.09808774241624496,24.5,-1.0
REP_C400,4.0,0.8473207720588235,0.0026976102941176916,-0.0008917738970587785,0.0059697840073529886,0.006102941176470589,0.0005052790346907976,-0.003230158730158761,2.358942500189914,0.10107143461610413,24.0,-1.5
