arm,c,delta_vs_M3_MARGIN,ci_lower,ci_upper,positive_repeat_blocks,negative_repeat_blocks,raw_sign_test_p,holm_adjusted_p,holm_reject_0_05
REP_C025,0.25,0.001521139705882374,-0.0007444852941176309,0.0036764705882353097,14,6,0.11531829833984375,0.461273193359375,False
REP_C050,0.5,0.0014705882352941235,-0.0012547104779412174,0.0040487132352941225,12,7,0.359283447265625,0.5263519287109375,False
REP_C100,1.0,0.002545955882352957,-0.0006480928308823403,0.0055974264705882515,13,7,0.26317596435546875,0.5263519287109375,False
REP_C200,2.0,0.0022380514705882593,-0.0016729090073529394,0.005785960477941214,14,6,0.11531829833984375,0.461273193359375,False
REP_C400,4.0,0.0026976102941176916,-0.0008917738970587785,0.0059697840073529886,15,5,0.04138946533203125,0.20694732666015625,False
