model,subset,mean_AULC,ci_lower,ci_upper,role
G0,B1_q20,0.8135202205882353,0.8068057215073527,0.8204919577205882,headline
G0,B1_q30,0.866115625,0.8615,0.870688046875,headline
G3,B1_q20,0.826594669117647,0.818828010110294,0.8342876838235294,headline
G3,B1_q30,0.869675,0.8620406249999999,0.8764657031250002,headline
H,B1_q20,0.8308134191176471,0.8268059512867647,0.8350001148897058,headline
H,B1_q30,0.871596875,0.86876234375,0.87445953125,headline
M2,B1_q20,0.8302297794117648,0.8267693014705884,0.8337132352941177,headline
M2,B1_q30,0.8717124999999999,0.8687967968749999,0.8746843749999998,headline
M3,B1_q20,0.8424908088235293,0.8384375000000001,0.8467463235294117,headline
M3,B1_q30,0.8838468749999999,0.880340625,0.887140625,headline
