model,subset,budget,metric,mean,ci_lower,ci_upper
G0,full81,16,roc_auc,0.9794236609161983,0.9763889933449634,0.982191166462062
G0,full81,16,pr_auc,0.9263103311798654,0.9159906959101335,0.9361065058272114
G0,full81,16,accuracy,0.9296296296296296,0.9243209876543208,0.9351851851851853
G0,full81,16,balanced_accuracy,0.8461251534535117,0.8274617803837954,0.864885893584028
G0,full81,16,keyhole_recall,0.7159047619047619,0.6744761904761905,0.7559059523809525
G0,full81,16,conduction_recall,0.9763455450022611,0.971212064676617,0.9813366123925824
G0,full81,16,brier_score,0.07550973983778941,0.07224934667591046,0.0789118149012948
G0,full81,40,roc_auc,0.9851660528526198,0.9750471306885485,0.9907794060003015
G0,full81,40,pr_auc,0.9561072709683265,0.9378105685265467,0.9669163205157644
G0,full81,40,accuracy,0.9579012345679011,0.9535802469135801,0.961358024691358
G0,full81,40,balanced_accuracy,0.9159923434774182,0.904366275764037,0.9247318593719714
G0,full81,40,keyhole_recall,0.8505238095238095,0.8270476190476191,0.8683345238095238
G0,full81,40,conduction_recall,0.9814608774310265,0.9787403889642695,0.9839982473993667
G0,full81,40,brier_score,0.042157519540805516,0.03885962736497841,0.04716175007168638
G0,full81,80,roc_auc,0.9925907044862268,0.9918483206263057,0.993293251276087
G0,full81,80,pr_auc,0.9708861710799926,0.9678795937205467,0.9735105663811225
G0,full81,80,accuracy,0.9624691358024693,0.9602469135802469,0.9646913580246913
G0,full81,80,balanced_accuracy,0.9260290430962073,0.9213124935387997,0.9304135410609289
G0,full81,80,keyhole_recall,0.8692380952380953,0.8597619047619048,0.8783345238095239
G0,full81,80,conduction_recall,0.9828199909543193,0.9806829488919042,0.9849457259158749
G0,full81,80,brier_score,0.027722805573831603,0.027085783608880067,0.02835794548398964
G3,full81,16,roc_auc,0.9028325472206069,0.8833661643083284,0.9205188936271027
G3,full81,16,pr_auc,0.8161697291838163,0.7918338018599459,0.8390553316709847
G3,full81,16,accuracy,0.8934567901234566,0.874320987654321,0.9102469135802467
G3,full81,16,balanced_accuracy,0.8233647024617173,0.8062069272145764,0.8383538726820443
G3,full81,16,keyhole_recall,0.713952380952381,0.6824761904761905,0.7447154761904762
G3,full81,16,conduction_recall,0.9327770239710537,0.9082832428765264,0.9546610131162372
G3,full81,16,brier_score,0.10008152783691124,0.09264277439516647,0.10835040999053795
G3,full81,40,roc_auc,0.9734888759664878,0.964912667721996,0.9807067783377483
G3,full81,40,pr_auc,0.9304544711553163,0.9136855735147404,0.9448078315248682
G3,full81,40,accuracy,0.9522222222222222,0.9434567901234567,0.9598765432098763
G3,full81,40,balanced_accuracy,0.920992472701428,0.9124876526458616,0.9295850625121147
G3,full81,40,keyhole_recall,0.8722857142857144,0.8585702380952378,0.8858095238095238
G3,full81,40,conduction_recall,0.9696992311171415,0.959368894165536,0.9784351537765718
G3,full81,40,brier_score,0.05089268293693879,0.045593294802941185,0.056755971326712625
G3,full81,80,roc_auc,0.9907098059486119,0.9886614481704036,0.9924975048997438
G3,full81,80,pr_auc,0.9685942729989969,0.9643045249198978,0.972420844032926
G3,full81,80,accuracy,0.9680246913580248,0.9654320987654321,0.9702469135802471
G3,full81,80,balanced_accuracy,0.9366716094850422,0.932046342152872,0.9408736770691994
G3,full81,80,keyhole_recall,0.8878095238095239,0.8793333333333335,0.8957142857142856
G3,full81,80,conduction_recall,0.9855336951605608,0.9833988579828132,0.9873473541383987
G3,full81,80,brier_score,0.027366182217081664,0.02622495674557336,0.02860716459830193
H,full81,16,roc_auc,0.9842017186793306,0.9775812078675885,0.9889107215545648
H,full81,16,pr_auc,0.947281025982184,0.9372679476270575,0.9550462948738881
H,full81,16,accuracy,0.9438271604938271,0.9380246913580246,0.9493827160493827
H,full81,16,balanced_accuracy,0.9081888285843508,0.8935617634231441,0.9217324029204628
H,full81,16,keyhole_recall,0.8526666666666667,0.8213809523809523,0.8834761904761905
