model,region,mean_AULC,ci_lower,ci_upper
G3,EARLY_B16_40,0.7789583333333334,0.7701960784313726,0.7879905024509803
G3,LATE_B41_80,0.8559577677224735,0.8463874434389139,0.8645401583710407
H,EARLY_B16_40,0.8231617647058824,0.8179653799019608,0.8283336397058824
H,LATE_B41_80,0.8354072398190044,0.8309198717948718,0.8398719834087481
M2,EARLY_B16_40,0.8232352941176471,0.8180392156862746,0.8282846200980393
M2,LATE_B41_80,0.8344268476621417,0.8303768853695325,0.8383863122171946
M2W,EARLY_B16_40,0.8232598039215688,0.818125,0.8284558823529412
M2W,LATE_B41_80,0.8344117647058823,0.8303542609351432,0.8383938536953243
M3,EARLY_B16_40,0.8275980392156862,0.8219485294117647,0.8333581495098039
M3,LATE_B41_80,0.851500754147813,0.8462139894419306,0.8568476621417798
