model,scope,metric,mean,ci_lower,ci_upper
M2,all_B16_80,residual_sd_lower_bound_hit,0.2784615384615384,0.2481538461538461,0.3127692307692308
M2,all_B16_80,residual_sd_upper_bound_hit,0.0027692307692307695,0.0006153846153846154,0.005692307692307693
M2,all_B16_80,residual_sd_any_bound_hit,0.2812307692307693,0.2510769230769231,0.31492307692307697
M2,all_B16_80,residual_sd_mean,0.39542610931054806,0.3731427987005495,0.41657601944670425
M2,B16,residual_sd_lower_bound_hit,0.55,0.45,0.65
M2,B16,residual_sd_upper_bound_hit,0.0,0.0,0.0
M2,B16,residual_sd_any_bound_hit,0.55,0.45,0.65
M2,B16,residual_sd_mean,0.3119603909673796,0.2570402740391157,0.36916687768799616
M2,B40,residual_sd_lower_bound_hit,0.36000000000000004,0.2800000000000001,0.43999999999999995
M2,B40,residual_sd_upper_bound_hit,0.0,0.0,0.0
M2,B40,residual_sd_any_bound_hit,0.36000000000000004,0.2800000000000001,0.43999999999999995
M2,B40,residual_sd_mean,0.33088560176930965,0.2944607510053427,0.36806204522634706
M2,B80,residual_sd_lower_bound_hit,0.08,0.04,0.12000000000000004
M2,B80,residual_sd_upper_bound_hit,0.01,0.0,0.030000000000000006
M2,B80,residual_sd_any_bound_hit,0.09,0.05,0.13000000000000003
M2,B80,residual_sd_mean,0.5553437717328391,0.5249260121817224,0.5826946508429018
M2W,all_B16_80,residual_sd_lower_bound_hit,0.2356923076923077,0.2036923076923077,0.2698461538461538
M2W,all_B16_80,residual_sd_upper_bound_hit,0.0027692307692307695,0.0006153846153846154,0.005692307692307693
M2W,all_B16_80,residual_sd_any_bound_hit,0.23846153846153845,0.2063038461538461,0.2721538461538461
M2W,all_B16_80,residual_sd_mean,0.4117324258927074,0.3898293395224832,0.43311170401708343
M2W,B16,residual_sd_lower_bound_hit,0.55,0.45,0.65
M2W,B16,residual_sd_upper_bound_hit,0.0,0.0,0.0
M2W,B16,residual_sd_any_bound_hit,0.55,0.45,0.65
M2W,B16,residual_sd_mean,0.3110963228420015,0.253816258067769,0.3709355653556834
M2W,B40,residual_sd_lower_bound_hit,0.28,0.20000000000000004,0.36
M2W,B40,residual_sd_upper_bound_hit,0.0,0.0,0.0
M2W,B40,residual_sd_any_bound_hit,0.28,0.21000000000000002,0.36
M2W,B40,residual_sd_mean,0.3603885044378541,0.3205727682005933,0.39990850119334115
M2W,B80,residual_sd_lower_bound_hit,0.08,0.04,0.12000000000000002
M2W,B80,residual_sd_upper_bound_hit,0.01,0.0,0.030000000000000006
M2W,B80,residual_sd_any_bound_hit,0.09,0.05,0.13000000000000003
M2W,B80,residual_sd_mean,0.5567572476775184,0.5261407791777245,0.5835711231629259
M3,all_B16_80,residual_sd_lower_bound_hit,0.07415384615384615,0.06584615384615385,0.08261538461538462
M3,all_B16_80,residual_sd_upper_bound_hit,0.4787692307692307,0.43353461538461535,0.5255384615384615
M3,all_B16_80,residual_sd_any_bound_hit,0.5529230769230769,0.5093846153846154,0.5998461538461538
M3,all_B16_80,residual_sd_mean,0.8107778888829712,0.7916472594795289,0.8290287661396074
M3,B16,residual_sd_lower_bound_hit,0.55,0.45,0.65
M3,B16,residual_sd_upper_bound_hit,0.17,0.1,0.24000000000000005
M3,B16,residual_sd_any_bound_hit,0.72,0.63,0.8000000000000002
M3,B16,residual_sd_mean,0.4003163828912948,0.3269806095916116,0.4746237937725879
M3,B40,residual_sd_lower_bound_hit,0.09,0.04,0.15000000000000002
M3,B40,residual_sd_upper_bound_hit,0.5700000000000001,0.4800000000000001,0.66
M3,B40,residual_sd_any_bound_hit,0.6599999999999999,0.58,0.75
M3,B40,residual_sd_mean,0.8074148744169166,0.7416126421232996,0.8690494662967009
M3,B80,residual_sd_lower_bound_hit,0.0,0.0,0.0
M3,B80,residual_sd_upper_bound_hit,0.68,0.6000000000000001,0.7500000000000002
M3,B80,residual_sd_any_bound_hit,0.68,0.6000000000000001,0.7500000000000002
M3,B80,residual_sd_mean,0.9464574661574249,0.9278278648383705,0.964107393042096
