contrast,region,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,zero_repeat_blocks,negative_repeat_blocks,bootstrap_draws
M3-H,EARLY_B16_40,0.004436274509803878,0.0013235294117646896,0.007916973039215652,15,0,5,10000
M3-G3,EARLY_B16_40,0.04863970588235293,0.04031862745098035,0.05674050245098037,20,0,0,10000
M3-H,LATE_B41_80,0.016093514328808435,0.009660256410256376,0.022300339366515806,18,0,2,10000
M3-G3,LATE_B41_80,-0.0044570135746606395,-0.014743589743589742,0.006417986425339389,8,0,12,10000
