budget,subset,metric,mean,ci_lower,ci_upper
16,B1_q20,physics_latent_sd,16.201554655315064,10.776503891869352,22.96171424357699
16,B1_q20,posterior_residual_mean_sd,0.06899906400304426,0.04663572026227398,0.09406173578893486
16,B1_q20,final_latent_sd,16.187290207018016,10.760347339159063,23.126388416053913
16,B1_q20,residual_log_h_spearman,0.0339950980392157,-0.03875061274509805,0.10745159313725491
16,B1_q20,decision_changed_fraction,0.011176470588235293,0.00411764705882353,0.019411764705882358
16,B1_q20,beneficial_fraction_among_changed,0.47368421052631576,0.2222222222222222,0.7
16,B1_q20,harmful_fraction_among_changed,0.5263157894736842,0.3,0.782608695652174
16,full81,physics_latent_sd,28.980480874484517,19.48405103382148,40.82435094686424
16,full81,posterior_residual_mean_sd,0.07073634253115871,0.04832543127365225,0.09482236292031478
16,full81,final_latent_sd,28.99342415373144,19.558445418435888,40.99136697630573
16,full81,residual_log_h_spearman,0.1094647696476965,0.07614219738030713,0.1427564363143632
16,full81,decision_changed_fraction,0.003703703703703703,0.0016049382716049384,0.00617283950617284
16,full81,beneficial_fraction_among_changed,0.5,0.30434782608695654,0.7407407407407407
16,full81,harmful_fraction_among_changed,0.5,0.25,0.6923076923076923
40,B1_q20,physics_latent_sd,2.8125890992958715,2.602565869405706,3.0533037098543887
40,B1_q20,posterior_residual_mean_sd,0.3280651552767938,0.27877877377796983,0.37695750901815217
40,B1_q20,final_latent_sd,2.717598123184223,2.5045040315072997,2.9489395416499624
40,B1_q20,residual_log_h_spearman,-0.24724586560326034,-0.304223103381681,-0.18950499950243105
40,B1_q20,decision_changed_fraction,0.04176470588235294,0.031176470588235295,0.052941176470588235
40,B1_q20,beneficial_fraction_among_changed,0.6619718309859155,0.5714285714285714,0.7659643547941419
40,B1_q20,harmful_fraction_among_changed,0.3380281690140845,0.234375,0.42857142857142855
40,full81,physics_latent_sd,5.1189205032272405,4.78061375595405,5.490995820771667
40,full81,posterior_residual_mean_sd,0.31676960190914805,0.2674232476086509,0.3679369710275881
40,full81,final_latent_sd,5.136691614832104,4.805604703857203,5.50842164926643
40,full81,residual_log_h_spearman,-0.006473054577837925,-0.03018940489472077,0.019629977111833015
40,full81,decision_changed_fraction,0.010493827160493827,0.007777777777777777,0.013333333333333332
40,full81,beneficial_fraction_among_changed,0.7176470588235294,0.6375,0.8076923076923077
40,full81,harmful_fraction_among_changed,0.2823529411764706,0.19386932192231732,0.3617021276595745
80,B1_q20,physics_latent_sd,2.8332557799904174,2.7300717764754956,2.937620660084981
80,B1_q20,posterior_residual_mean_sd,0.5066844728199994,0.4840327296234335,0.5290531084830861
80,B1_q20,final_latent_sd,2.6340868474899195,2.5398963313221454,2.730475996542204
80,B1_q20,residual_log_h_spearman,-0.44316176470588237,-0.47237867647058834,-0.4137959558823531
80,B1_q20,decision_changed_fraction,0.05529411764705883,0.04647058823529412,0.06352941176470588
80,B1_q20,beneficial_fraction_among_changed,0.7127659574468085,0.6746917904174838,0.7525773195876289
80,B1_q20,harmful_fraction_among_changed,0.2872340425531915,0.24731182795698925,0.3253012048192771
80,full81,physics_latent_sd,5.164473085141486,5.028086499893481,5.2969158823220495
80,full81,posterior_residual_mean_sd,0.45723272377082286,0.4385023608328084,0.4740509959186842
80,full81,final_latent_sd,5.191160901593427,5.053338290304905,5.3267491864825205
80,full81,residual_log_h_spearman,-0.026504065040650403,-0.03842030826558265,-0.015413871951219507
80,full81,decision_changed_fraction,0.015185185185185187,0.013580246913580247,0.01666666666666667
80,full81,beneficial_fraction_among_changed,0.7317073170731707,0.6982758620689655,0.7678571428571429
80,full81,harmful_fraction_among_changed,0.2682926829268293,0.232,0.3023255813953488
