contrast,subset,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,zero_repeat_blocks,negative_repeat_blocks,bootstrap_draws,predeclared_role
M3-H,B1_q20,0.011677389705882325,0.007201171874999957,0.016149011948529378,18,0,2,10000,primary
M3-M2,B1_q20,0.012261029411764674,0.007637867647058811,0.01670507812499995,18,0,2,10000,secondary
M3-M2W,B1_q20,0.012261029411764695,0.007623851102941138,0.0166085707720588,18,0,2,10000,mechanistic
M3-G3,B1_q20,0.015896139705882335,0.008051125919117661,0.024219094669117633,15,0,5,10000,secondary
M3-G0,B1_q20,0.0289705882352941,0.02193014705882352,0.03543210018382353,19,0,1,10000,secondary
M3-H,B1_q30,0.012250000000000011,0.009152890624999974,0.015390781250000016,20,0,0,10000,secondary
M3-M2,B1_q30,0.012134374999999998,0.008937421874999971,0.015306250000000016,19,0,1,10000,secondary
M3-M2W,B1_q30,0.012121874999999994,0.008899843749999975,0.015303359374999997,19,0,1,10000,mechanistic
M3-G3,B1_q30,0.014171874999999995,0.007640624999999994,0.02138460937500002,16,0,4,10000,secondary
M3-G0,B1_q30,0.017731250000000004,0.012784062499999988,0.022190703125,19,0,1,10000,secondary
