benchmark,method,seed,budget,global_error,classifier_uncertainty_region_fraction_eps05,classifier_uncertainty_region_fraction_eps10,near_boundary_error_q10,near_boundary_test_size_q10,classifier_uncertainty_region_fraction_q10_eps05,classifier_uncertainty_region_fraction_q10_eps10,near_boundary_error_q20,near_boundary_test_size_q20,classifier_uncertainty_region_fraction_q20_eps05,classifier_uncertainty_region_fraction_q20_eps10,near_boundary_error_q30,near_boundary_test_size_q30,classifier_uncertainty_region_fraction_q30_eps05,classifier_uncertainty_region_fraction_q30_eps10
ackley,random,0,12,0.404,0.6524,0.9332,0.49,1000,0.715,0.98,0.488,2000,0.7055,0.9695,0.47933333333333333,3000,0.712,0.9683333333333334
ackley,random,0,13,0.4009,0.6093,0.8856,0.487,1000,0.671,0.972,0.488,2000,0.661,0.9635,0.4746666666666667,3000,0.6663333333333333,0.962
ackley,random,0,14,0.3912,0.633,0.8961,0.487,1000,0.703,0.98,0.4875,2000,0.695,0.974,0.4736666666666667,3000,0.7013333333333334,0.9723333333333334
ackley,random,0,15,0.4054,0.601,0.8754,0.48,1000,0.664,0.975,0.4905,2000,0.652,0.9665,0.482,3000,0.664,0.9646666666666667
ackley,random,0,16,0.3877,0.6169,0.8832,0.469,1000,0.685,0.979,0.4805,2000,0.684,0.9735,0.473,3000,0.6936666666666667,0.9706666666666667
ackley,random,0,17,0.3661,0.6141,0.8847,0.471,1000,0.7,0.981,0.4765,2000,0.6945,0.976,0.4643333333333333,3000,0.701,0.972
ackley,random,0,18,0.3457,0.623,0.8904,0.461,1000,0.698,0.982,0.464,2000,0.6915,0.9765,0.447,3000,0.696,0.973
ackley,random,0,19,0.3467,0.595,0.866,0.463,1000,0.667,0.96,0.4655,2000,0.6545,0.9545,0.447,3000,0.6583333333333333,0.9523333333333334
ackley,random,0,20,0.3461,0.57,0.8341,0.464,1000,0.614,0.944,0.4655,2000,0.6075,0.935,0.44666666666666666,3000,0.6156666666666667,0.9323333333333333
ackley,random,0,21,0.347,0.5858,0.8508,0.454,1000,0.636,0.964,0.4605,2000,0.6285,0.9525,0.446,3000,0.6353333333333333,0.9466666666666667
ackley,random,0,22,0.3474,0.5944,0.8629,0.46,1000,0.642,0.967,0.466,2000,0.6345,0.956,0.449,3000,0.6436666666666667,0.952
ackley,random,0,23,0.3524,0.5803,0.8438,0.466,1000,0.615,0.939,0.472,2000,0.614,0.929,0.4543333333333333,3000,0.6253333333333333,0.9253333333333333
ackley,random,0,24,0.3444,0.5913,0.8565,0.464,1000,0.648,0.949,0.466,2000,0.6405,0.938,0.44966666666666666,3000,0.6496666666666666,0.9356666666666666
ackley,random,0,25,0.3313,0.6004,0.8654,0.46,1000,0.66,0.951,0.4655,2000,0.6545,0.942,0.44766666666666666,3000,0.6643333333333333,0.9406666666666667
ackley,random,0,26,0.3368,0.5888,0.8619,0.463,1000,0.644,0.952,0.4665,2000,0.636,0.9425,0.452,3000,0.648,0.941
ackley,random,0,27,0.33,0.6157,0.8769,0.458,1000,0.689,0.959,0.463,2000,0.68,0.9515,0.45066666666666666,3000,0.687,0.9496666666666667
ackley,random,0,28,0.322,0.618,0.8728,0.463,1000,0.706,0.957,0.4675,2000,0.6955,0.9495,0.448,3000,0.702,0.948
ackley,random,0,29,0.3245,0.5908,0.8611,0.462,1000,0.669,0.949,0.4665,2000,0.6575,0.941,0.44633333333333336,3000,0.6616666666666666,0.9376666666666666
ackley,random,0,30,0.3167,0.5923,0.866,0.461,1000,0.676,0.955,0.462,2000,0.669,0.9485,0.44133333333333336,3000,0.669,0.945
ackley,random,0,31,0.317,0.5777,0.8469,0.463,1000,0.655,0.947,0.4655,2000,0.652,0.9355,0.443,3000,0.6543333333333333,0.93
ackley,random,0,32,0.3174,0.5705,0.8494,0.462,1000,0.641,0.947,0.465,2000,0.6425,0.935,0.44466666666666665,3000,0.6446666666666667,0.93
ackley,random,0,33,0.3201,0.5689,0.8335,0.467,1000,0.643,0.943,0.4695,2000,0.643,0.9315,0.44766666666666666,3000,0.6473333333333333,0.926
ackley,random,0,34,0.3228,0.5508,0.8216,0.469,1000,0.639,0.941,0.4705,2000,0.637,0.9285,0.45166666666666666,3000,0.6366666666666667,0.9233333333333333
ackley,random,0,35,0.3296,0.5303,0.8077,0.466,1000,0.618,0.936,0.4725,2000,0.6105,0.9205,0.45366666666666666,3000,0.61,0.915
ackley,random,0,36,0.3331,0.5141,0.7907,0.465,1000,0.594,0.902,0.4735,2000,0.588,0.889,0.45466666666666666,3000,0.5876666666666667,0.8863333333333333
