benchmark,method,mean_final_global_error,std_final_global_error,rank_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,rank_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,rank_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,rank_final_near_boundary_error_q30,mean_final_classifier_uncertainty_region_fraction_eps05,std_final_classifier_uncertainty_region_fraction_eps05,rank_final_classifier_uncertainty_region_fraction_eps05,mean_final_classifier_uncertainty_region_fraction_eps10,std_final_classifier_uncertainty_region_fraction_eps10,rank_final_classifier_uncertainty_region_fraction_eps10,mean_final_classifier_uncertainty_region_fraction_q20_eps10,std_final_classifier_uncertainty_region_fraction_q20_eps10,rank_final_classifier_uncertainty_region_fraction_q20_eps10,mean_final_classifier_uncertainty_region_fraction_q30_eps10,std_final_classifier_uncertainty_region_fraction_q30_eps10,rank_final_classifier_uncertainty_region_fraction_q30_eps10,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,rank_median_query_distance
ackley,random,0.284660,0.028391,5,0.477600,0.010947,5,0.460400,0.010632,5,0.440867,0.014788,5,0.360000,0.045450,1,0.636100,0.049674,1,0.780600,0.077485,1,0.775333,0.074471,1,1.245201,0.993947,0.454621,1.744372,0.097059,0.220588,0.344118,3
ackley,classifier_margin,0.208520,0.027502,3,0.465000,0.013957,2,0.427100,0.019916,2,0.389867,0.025389,3,0.418620,0.014363,4,0.766180,0.018511,2,0.950300,0.026391,2,0.945667,0.025091,2,1.052224,0.844044,0.377741,1.527394,0.117647,0.258824,0.376471,1
ackley,classifier_entropy,0.208520,0.027502,4,0.465000,0.013957,3,0.427100,0.019916,3,0.389867,0.025389,4,0.418620,0.014363,5,0.766180,0.018511,3,0.950300,0.026391,3,0.945667,0.025091,3,1.052224,0.844044,0.377741,1.527394,0.117647,0.258824,0.376471,2
ackley,classifier_gated_diversity,0.180320,0.010805,2,0.470200,0.016042,4,0.427500,0.007556,4,0.385667,0.007829,2,0.404420,0.021421,2,0.784320,0.011347,5,0.964900,0.006651,5,0.959867,0.007638,5,1.279375,1.121980,0.499518,1.792626,0.111765,0.211765,0.279412,5
ackley,classifier_uncertainty_repulsion,0.175900,0.017044,1,0.460800,0.019291,1,0.417500,0.023522,1,0.379667,0.021146,1,0.404740,0.012269,3,0.776640,0.014867,4,0.960600,0.015370,4,0.953867,0.014482,4,1.139799,1.003809,0.464171,1.671172,0.105882,0.208824,0.329412,4
