benchmark,method,budget,mean_global_error,std_global_error,mean_near_boundary_error_q10,std_near_boundary_error_q10,mean_near_boundary_error_q20,std_near_boundary_error_q20,mean_near_boundary_error_q30,std_near_boundary_error_q30,mean_classifier_uncertainty_region_fraction_eps10,std_classifier_uncertainty_region_fraction_eps10,mean_classifier_uncertainty_region_fraction_q20_eps10,std_classifier_uncertainty_region_fraction_q20_eps10,mean_classifier_uncertainty_region_fraction_q30_eps10,std_classifier_uncertainty_region_fraction_q30_eps10
ackley,random,12,0.426280,0.033133,0.491200,0.009086,0.487400,0.007290,0.483200,0.007188,0.960540,0.031219,0.965400,0.033425,0.964200,0.033958
ackley,random,40,0.333900,0.008291,0.476200,0.013482,0.466800,0.008693,0.455333,0.011429,0.788120,0.026068,0.885800,0.036323,0.882600,0.036032
ackley,random,80,0.284660,0.028391,0.477600,0.010947,0.460400,0.010632,0.440867,0.014788,0.636100,0.049674,0.780600,0.077485,0.775333,0.074471
ackley,classifier_margin,12,0.426280,0.033133,0.491200,0.009086,0.487400,0.007290,0.483200,0.007188,0.960540,0.031219,0.965400,0.033425,0.964200,0.033958
ackley,classifier_margin,40,0.304180,0.039445,0.484800,0.013905,0.464100,0.012282,0.445067,0.021461,0.861560,0.030764,0.944700,0.023284,0.943733,0.024056
ackley,classifier_margin,80,0.208520,0.027502,0.465000,0.013957,0.427100,0.019916,0.389867,0.025389,0.766180,0.018511,0.950300,0.026391,0.945667,0.025091
ackley,classifier_entropy,12,0.426280,0.033133,0.491200,0.009086,0.487400,0.007290,0.483200,0.007188,0.960540,0.031219,0.965400,0.033425,0.964200,0.033958
ackley,classifier_entropy,40,0.304180,0.039445,0.484800,0.013905,0.464100,0.012282,0.445067,0.021461,0.861560,0.030764,0.944700,0.023284,0.943733,0.024056
ackley,classifier_entropy,80,0.208520,0.027502,0.465000,0.013957,0.427100,0.019916,0.389867,0.025389,0.766180,0.018511,0.950300,0.026391,0.945667,0.025091
ackley,classifier_gated_diversity,12,0.426280,0.033133,0.491200,0.009086,0.487400,0.007290,0.483200,0.007188,0.960540,0.031219,0.965400,0.033425,0.964200,0.033958
ackley,classifier_gated_diversity,40,0.267740,0.027823,0.476400,0.021869,0.449000,0.019045,0.427400,0.022696,0.928500,0.025564,0.973800,0.019431,0.973267,0.018388
ackley,classifier_gated_diversity,80,0.180320,0.010805,0.470200,0.016042,0.427500,0.007556,0.385667,0.007829,0.784320,0.011347,0.964900,0.006651,0.959867,0.007638
ackley,classifier_uncertainty_repulsion,12,0.426280,0.033133,0.491200,0.009086,0.487400,0.007290,0.483200,0.007188,0.960540,0.031219,0.965400,0.033425,0.964200,0.033958
ackley,classifier_uncertainty_repulsion,40,0.274640,0.022277,0.473800,0.008863,0.447900,0.008874,0.429000,0.010702,0.898220,0.019005,0.955300,0.030096,0.954800,0.029513
ackley,classifier_uncertainty_repulsion,80,0.175900,0.017044,0.460800,0.019291,0.417500,0.023522,0.379667,0.021146,0.776640,0.014867,0.960600,0.015370,0.953867,0.014482
