benchmark,comparator_role,comparator_method,gbc_global_error,comparator_global_error,global_error_diff,gbc_q20_error,comparator_q20_error,q20_error_diff,gbc_q30_error,comparator_q30_error,q30_error_diff,gbc_median_query_distance,comparator_median_query_distance,median_query_distance_diff,gbc_global_uncertainty_fraction,comparator_global_uncertainty_fraction,global_uncertainty_fraction_diff,gbc_q20_uncertainty_fraction,comparator_q20_uncertainty_fraction,q20_uncertainty_fraction_diff,gbc_q30_uncertainty_fraction,comparator_q30_uncertainty_fraction,q30_uncertainty_fraction_diff,negative_is_better_for_all_differences
branin,straddle,straddle,0.071700,0.062000,0.009700,0.271750,0.257250,0.014500,0.210000,0.192833,0.017167,24.222446,19.439750,4.782696,0.231450,0.482300,-0.250850,0.438750,0.539250,-0.100500,0.386500,0.498167,-0.111667,True
branin,randomized_straddle,randomized_straddle,0.071700,0.060200,0.011500,0.271750,0.251500,0.020250,0.210000,0.186500,0.023500,24.222446,17.551774,6.670672,0.231450,0.632600,-0.401150,0.438750,0.619500,-0.180750,0.386500,0.606500,-0.220000,True
branin,diversified_straddle,diversified_straddle,0.071700,0.064450,0.007250,0.271750,0.259250,0.012500,0.210000,0.197333,0.012667,24.222446,21.850675,2.371771,0.231450,0.358200,-0.126750,0.438750,0.505500,-0.066750,0.386500,0.446500,-0.060000,True
branin,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0.071700,0.063450,0.008250,0.271750,0.262750,0.009000,0.210000,0.197333,0.012667,24.222446,20.654992,3.567454,0.231450,0.351450,-0.120000,0.438750,0.495750,-0.057000,0.386500,0.432667,-0.046167,True
branin,best_original_global,randomized_straddle,0.071700,0.060200,0.011500,0.271750,0.251500,0.020250,0.210000,0.186500,0.023500,24.222446,17.551774,6.670672,0.231450,0.632600,-0.401150,0.438750,0.619500,-0.180750,0.386500,0.606500,-0.220000,True
branin,best_original_q20,smallest_abs_mu,0.071700,0.065900,0.005800,0.271750,0.246750,0.025000,0.210000,0.186833,0.023167,24.222446,12.038580,12.183866,0.231450,0.742200,-0.510750,0.438750,0.613250,-0.174500,0.386500,0.623333,-0.236833,True
branin,best_original_q30,randomized_straddle,0.071700,0.060200,0.011500,0.271750,0.251500,0.020250,0.210000,0.186500,0.023500,24.222446,17.551774,6.670672,0.231450,0.632600,-0.401150,0.438750,0.619500,-0.180750,0.386500,0.606500,-0.220000,True
ackley,straddle,straddle,0.200440,0.168400,0.032040,0.422000,0.415400,0.006600,0.384733,0.369733,0.015000,1.292692,1.282224,0.010468,0.712940,0.696420,0.016520,0.838000,0.878700,-0.040700,0.833667,0.868533,-0.034866,True
ackley,randomized_straddle,randomized_straddle,0.200440,0.175380,0.025060,0.422000,0.408400,0.013600,0.384733,0.368200,0.016533,1.292692,1.250842,0.041850,0.712940,0.697440,0.015500,0.838000,0.876500,-0.038500,0.833667,0.865600,-0.031933,True
ackley,diversified_straddle,diversified_straddle,0.200440,0.182420,0.018020,0.422000,0.418500,0.003500,0.384733,0.377600,0.007133,1.292692,1.415815,-0.123123,0.712940,0.737920,-0.024980,0.838000,0.895800,-0.057800,0.833667,0.886333,-0.052666,True
ackley,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0.200440,0.184440,0.016000,0.422000,0.412600,0.009400,0.384733,0.375733,0.009000,1.292692,1.274541,0.018151,0.712940,0.715520,-0.002580,0.838000,0.871600,-0.033600,0.833667,0.865267,-0.031600,True
ackley,best_original_global,straddle,0.200440,0.168400,0.032040,0.422000,0.415400,0.006600,0.384733,0.369733,0.015000,1.292692,1.282224,0.010468,0.712940,0.696420,0.016520,0.838000,0.878700,-0.040700,0.833667,0.868533,-0.034866,True
ackley,best_original_q20,randomized_straddle,0.200440,0.175380,0.025060,0.422000,0.408400,0.013600,0.384733,0.368200,0.016533,1.292692,1.250842,0.041850,0.712940,0.697440,0.015500,0.838000,0.876500,-0.038500,0.833667,0.865600,-0.031933,True
ackley,best_original_q30,randomized_straddle,0.200440,0.175380,0.025060,0.422000,0.408400,0.013600,0.384733,0.368200,0.016533,1.292692,1.250842,0.041850,0.712940,0.697440,0.015500,0.838000,0.876500,-0.038500,0.833667,0.865600,-0.031933,True
