left_model,right_model,subset,metric,left_minus_right,ci_lower,ci_upper,repeat_blocks_positive,repeat_blocks
log_h_logistic,gpc_4d,full81,roc_auc,-0.002890328437035833,-0.003284370358144934,-0.00253754745007429,0,20
log_h_logistic,gpc_4d,full81,pr_auc,-0.018231659492002693,-0.021330362351376714,-0.01561618115716858,0,20
log_h_logistic,gpc_4d,full81,accuracy,-0.001234567901234579,-0.003333333333333355,0.0008641975308641969,7,20
log_h_logistic,gpc_4d,full81,balanced_accuracy,-0.0028903284370357498,-0.007986053804258042,0.0024727419953788224,7,20
log_h_logistic,gpc_4d,full81,keyhole_recall,-0.005479452054794493,-0.01575342465753422,0.005479452054794548,5,20
log_h_logistic,gpc_4d,full81,conduction_recall,-0.0003012048192771011,-0.0021084337349397573,0.0016566265060240892,5,20
log_h_logistic,gpc_4d,full81,brier_score,0.0029940385482848317,0.0024614817764581666,0.0035071776274938917,20,20
log_h_logistic,gpc_4d,full81,log_loss,0.009387538212949912,0.007099614301013631,0.011752732725229373,19,20
log_h_logistic,gpc_4d,B1_q30,roc_auc,-0.014347539091177553,-0.016520447736929986,-0.012493044781717828,0,20
log_h_logistic,gpc_4d,B1_q30,pr_auc,-0.06310788530256121,-0.06919541293431081,-0.05771708298528566,0,20
log_h_logistic,gpc_4d,B1_q30,accuracy,-0.0040000000000000036,-0.01120000000000001,0.0028000000000000026,7,20
log_h_logistic,gpc_4d,B1_q30,balanced_accuracy,-0.005886370372474259,-0.014715518297351685,0.003469409237299316,7,20
log_h_logistic,gpc_4d,B1_q30,keyhole_recall,-0.011135642812472086,-0.028455954614491207,0.008597521888680421,5,20
log_h_logistic,gpc_4d,B1_q30,conduction_recall,-0.000637097932476427,-0.008270967836560212,0.007557331583516003,5,20
log_h_logistic,gpc_4d,B1_q30,brier_score,0.009717699502502907,0.008203079768284653,0.011262391201916404,20,20
log_h_logistic,gpc_4d,B1_q30,log_loss,0.04380213712049466,0.0379159923161572,0.05013917919063826,20,20
log_h_logistic,gpc_4d,B1_q20,roc_auc,-0.01581128604126893,-0.01907503447017264,-0.012579263142367292,0,20
log_h_logistic,gpc_4d,B1_q20,pr_auc,-0.06283990745834318,-0.07016235195390959,-0.05561535009286517,0,20
log_h_logistic,gpc_4d,B1_q20,accuracy,-0.001764705882352935,-0.012941176470588229,0.009411764705882352,9,20
log_h_logistic,gpc_4d,B1_q20,balanced_accuracy,-0.005477514352716839,-0.01829225143537464,0.007389116671136669,9,20
log_h_logistic,gpc_4d,B1_q20,keyhole_recall,-0.022777260097587404,-0.04376410070993205,-0.0016149577958016108,4,20
log_h_logistic,gpc_4d,B1_q20,conduction_recall,0.01182223139215371,0.0010921233450645249,0.023554181370177493,8,20
log_h_logistic,gpc_4d,B1_q20,brier_score,0.011599983519402772,0.009374762841728147,0.013777635770618291,20,20
log_h_logistic,gpc_4d,B1_q20,log_loss,0.06440374264779727,0.055657797250168756,0.07368169549164805,20,20
log_h_st_logistic,log_h_logistic,full81,roc_auc,-0.0004208615283049888,-0.0005013203498926758,-0.0003486548935467959,0,20
log_h_st_logistic,log_h_logistic,full81,pr_auc,-0.0011562803239859143,-0.0016683370107521106,-0.0006353373849347609,2,20
log_h_st_logistic,log_h_logistic,full81,accuracy,-0.0018518518518518435,-0.0025925925925925687,-0.0012345679012345512,0,20
log_h_st_logistic,log_h_logistic,full81,balanced_accuracy,-0.004869821752764497,-0.0067740138636739,-0.0030821917808219303,0,20
log_h_st_logistic,log_h_logistic,full81,keyhole_recall,-0.009589041095890432,-0.013698630136986311,-0.005479452054794542,0,20
log_h_st_logistic,log_h_logistic,full81,conduction_recall,-0.00015060240963855054,-0.0006024096385542188,0.00030120481927711773,1,20
log_h_st_logistic,log_h_logistic,full81,brier_score,0.0007727145024986717,0.0007358230874404947,0.0008121380340831844,20,20
log_h_st_logistic,log_h_logistic,full81,log_loss,0.002038561429247137,0.0018898610914130538,0.002214317817938341,20,20
log_h_st_logistic,log_h_logistic,B1_q30,roc_auc,-0.0023436073681999845,-0.0027365723196242824,-0.001941815332211246,0,20
log_h_st_logistic,log_h_logistic,B1_q30,pr_auc,0.00033183886599786325,-0.0033054666316214296,0.004222233458298837,7,20
log_h_st_logistic,log_h_logistic,B1_q30,accuracy,-0.006000000000000005,-0.008000000000000007,-0.0040000000000000036,0,20
log_h_st_logistic,log_h_logistic,B1_q30,balanced_accuracy,-0.009023062230158918,-0.012396503441478097,-0.005857657495116784,0,20
log_h_st_logistic,log_h_logistic,B1_q30,keyhole_recall,-0.017443714821763618,-0.024818636647904964,-0.011066350062539107,0,20
log_h_st_logistic,log_h_logistic,B1_q30,conduction_recall,-0.0006024096385542188,-0.002409992912827789,0.00117647058823529,1,20
log_h_st_logistic,log_h_logistic,B1_q30,brier_score,0.002239878457716266,0.002113208711245095,0.00237298521158053,20,20
