benchmark,display_name,metric,surrogate_variant,acquisition_rule,method,value,field,seed_count,comparable_full_seed_only
branin,Thresholded Branin,global_error,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0.060200,mean_final_global_error,5,True
branin,Thresholded Branin,near_boundary_error_q20,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0.246750,mean_final_near_boundary_error_q20,5,True
branin,Thresholded Branin,near_boundary_error_q30,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0.186500,mean_final_near_boundary_error_q30,5,True
branin,Thresholded Branin,integrated_bernoulli_uncertainty,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0.023699,mean_final_integrated_bernoulli_uncertainty,5,True
ackley,Thresholded 4D Ackley,global_error,gpr_fixed_or_existing,straddle,straddle,0.168400,mean_final_global_error,5,True
ackley,Thresholded 4D Ackley,near_boundary_error_q20,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0.408400,mean_final_near_boundary_error_q20,5,True
ackley,Thresholded 4D Ackley,near_boundary_error_q30,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0.368200,mean_final_near_boundary_error_q30,5,True
ackley,Thresholded 4D Ackley,integrated_bernoulli_uncertainty,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0.098685,mean_final_integrated_bernoulli_uncertainty,5,True
hartmann4,Thresholded 4D Hartmann,global_error,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0.123640,mean_final_global_error,5,True
hartmann4,Thresholded 4D Hartmann,near_boundary_error_q20,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0.380400,mean_final_near_boundary_error_q20,5,True
hartmann4,Thresholded 4D Hartmann,near_boundary_error_q30,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0.325533,mean_final_near_boundary_error_q30,5,True
hartmann4,Thresholded 4D Hartmann,integrated_bernoulli_uncertainty,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0.072520,mean_final_integrated_bernoulli_uncertainty,5,True
