benchmark,metric,new_method,new_surrogate_variant,new_value,new_seed_count,baseline_method,baseline_surrogate_variant,baseline_value,baseline_seed_count,new_beats_baseline,comparison_limited_by_seed_count,difference_new_minus_baseline
branin,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.071350,5,straddle,gpr_fixed_or_existing,0.062000,5,False,False,0.009350
branin,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.071350,5,randomized_straddle,gpr_fixed_or_existing,0.060200,5,False,False,0.011150
branin,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.071350,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.073200,5,True,False,-0.001850
branin,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.074200,5,straddle,gpr_fixed_or_existing,0.062000,5,False,False,0.012200
branin,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.074200,5,randomized_straddle,gpr_fixed_or_existing,0.060200,5,False,False,0.014000
branin,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.074200,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.073200,5,False,False,0.001000
branin,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.058500,1,straddle,gpr_fixed_or_existing,0.062000,5,True,True,-0.003500
branin,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.058500,1,randomized_straddle,gpr_fixed_or_existing,0.060200,5,True,True,-0.001700
branin,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.058500,1,classifier_uncertainty_repulsion,gpc_fixed_iso,0.073200,5,True,True,-0.014700
branin,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.278250,5,straddle,gpr_fixed_or_existing,0.257250,5,False,False,0.021000
branin,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.278250,5,randomized_straddle,gpr_fixed_or_existing,0.251500,5,False,False,0.026750
branin,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.278250,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.256000,5,False,False,0.022250
branin,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.283250,5,straddle,gpr_fixed_or_existing,0.257250,5,False,False,0.026000
branin,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.283250,5,randomized_straddle,gpr_fixed_or_existing,0.251500,5,False,False,0.031750
branin,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.283250,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.256000,5,False,False,0.027250
branin,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.221250,1,straddle,gpr_fixed_or_existing,0.257250,5,True,True,-0.036000
branin,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.221250,1,randomized_straddle,gpr_fixed_or_existing,0.251500,5,True,True,-0.030250
branin,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.221250,1,classifier_uncertainty_repulsion,gpc_fixed_iso,0.256000,5,True,True,-0.034750
branin,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.212000,5,straddle,gpr_fixed_or_existing,0.192833,5,False,False,0.019167
branin,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.212000,5,randomized_straddle,gpr_fixed_or_existing,0.186500,5,False,False,0.025500
branin,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.212000,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.189667,5,False,False,0.022333
branin,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.215833,5,straddle,gpr_fixed_or_existing,0.192833,5,False,False,0.023000
branin,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.215833,5,randomized_straddle,gpr_fixed_or_existing,0.186500,5,False,False,0.029333
branin,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.215833,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.189667,5,False,False,0.026166
branin,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.156667,1,straddle,gpr_fixed_or_existing,0.192833,5,True,True,-0.036166
branin,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.156667,1,randomized_straddle,gpr_fixed_or_existing,0.186500,5,True,True,-0.029833
branin,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.156667,1,classifier_uncertainty_repulsion,gpc_fixed_iso,0.189667,5,True,True,-0.033000
