arm,run_id,repeat,A16_32,A16_40,A16_48,A16_80
M3@T_XSUR,w85__r01_f01,1,0.8363970588235293,0.8517156862745097,0.859375,0.8708639705882353
M3@T_XSUR,w85__r01_f02,1,0.6966911764705882,0.7193627450980392,0.7306985294117647,0.7467830882352942
M3@T_XSUR,w85__r01_f03,1,0.931985294117647,0.9301470588235293,0.9329044117647057,0.9365808823529411
M3@T_XSUR,w85__r01_f04,1,0.7720588235294117,0.7708333333333334,0.7775735294117646,0.8207720588235294
M3@T_XSUR,w85__r01_f05,1,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471
M3@T_XSUR,w85__r02_f01,2,0.7886029411764706,0.8026960784313726,0.8097426470588235,0.8354779411764706
M3@T_XSUR,w85__r02_f02,2,0.7481617647058824,0.7732843137254902,0.785845588235294,0.8368566176470588
M3@T_XSUR,w85__r02_f03,2,0.7003676470588236,0.7144607843137255,0.7435661764705882,0.8129595588235294
M3@T_XSUR,w85__r02_f04,2,0.7647058823529411,0.7647058823529411,0.7674632352941175,0.7954963235294116
M3@T_XSUR,w85__r02_f05,2,0.7205882352941178,0.7401960784313726,0.7316176470588236,0.724264705882353
M3@T_XSUR,w85__r03_f01,3,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7743566176470588
M3@T_XSUR,w85__r03_f02,3,0.7408088235294118,0.77328431372549,0.8005514705882353,0.8423713235294119
M3@T_XSUR,w85__r03_f03,3,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
M3@T_XSUR,w85__r03_f04,3,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6557904411764706
M3@T_XSUR,w85__r03_f05,3,0.8143382352941175,0.8345588235294117,0.8465073529411764,0.8869485294117647
M3@T_XSUR,w85__r04_f01,4,0.5845588235294118,0.5857843137254902,0.5863970588235294,0.5863970588235294
M3@T_XSUR,w85__r04_f02,4,0.8235294117647058,0.823529411764706,0.8262867647058824,0.8524816176470589
M3@T_XSUR,w85__r04_f03,4,0.9374999999999998,0.9117647058823529,0.9218749999999998,0.9163602941176471
M3@T_XSUR,w85__r04_f04,4,0.9044117647058822,0.8823529411764705,0.8740808823529411,0.8658088235294118
M3@T_XSUR,w85__r04_f05,4,0.900735294117647,0.8995098039215685,0.9071691176470587,0.9103860294117648
M3@T_XSUR,w85__r05_f01,5,0.9154411764705881,0.9240196078431372,0.9283088235294116,0.9347426470588236
M3@T_XSUR,w85__r05_f02,5,0.8198529411764706,0.8210784313725491,0.8198529411764706,0.8405330882352942
M3@T_XSUR,w85__r05_f03,5,0.7591911764705882,0.761029411764706,0.7619485294117647,0.7670036764705881
M3@T_XSUR,w85__r05_f04,5,0.8235294117647058,0.8161764705882352,0.7996323529411764,0.7693014705882353
M3@T_XSUR,w85__r05_f05,5,0.7738970588235293,0.7720588235294117,0.770220588235294,0.7674632352941176
M3@T_XSUR,w85__r06_f01,6,0.8841911764705882,0.9007352941176471,0.9090073529411764,0.8754595588235293
M3@T_XSUR,w85__r06_f02,6,0.8235294117647058,0.823529411764706,0.8235294117647058,0.8235294117647057
M3@T_XSUR,w85__r06_f03,6,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7169117647058824
M3@T_XSUR,w85__r06_f04,6,0.53125,0.5723039215686274,0.6176470588235294,0.7063419117647058
M3@T_XSUR,w85__r06_f05,6,0.8235294117647058,0.8223039215686274,0.8143382352941176,0.8359375
M3@T_XSUR,w85__r07_f01,7,0.8511029411764706,0.8615196078431371,0.8667279411764706,0.8979779411764706
M3@T_XSUR,w85__r07_f02,7,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7385110294117647
M3@T_XSUR,w85__r07_f03,7,0.8621323529411765,0.8664215686274508,0.8667279411764706,0.8386948529411764
M3@T_XSUR,w85__r07_f04,7,0.8161764705882353,0.8247549019607844,0.8511029411764706,0.8938419117647058
M3@T_XSUR,w85__r07_f05,7,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7665441176470588
M3@T_XSUR,w85__r08_f01,8,0.5882352941176471,0.5894607843137255,0.603860294117647,0.6254595588235294
M3@T_XSUR,w85__r08_f02,8,0.7095588235294119,0.72671568627451,0.7362132352941178,0.7509191176470589
M3@T_XSUR,w85__r08_f03,8,0.8805147058823529,0.8737745098039215,0.875,0.8933823529411765
M3@T_XSUR,w85__r08_f04,8,0.7959558823529411,0.8088235294117646,0.8262867647058822,0.8143382352941175
M3@T_XSUR,w85__r08_f05,8,0.8860294117647057,0.8860294117647057,0.8979779411764705,0.8920036764705882
M3@T_XSUR,w85__r09_f01,9,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9646139705882352
M3@T_XSUR,w85__r09_f02,9,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
M3@T_XSUR,w85__r09_f03,9,0.6544117647058825,0.6838235294117648,0.7224264705882353,0.7798713235294117
M3@T_XSUR,w85__r09_f04,9,0.8235294117647058,0.8210784313725491,0.8198529411764706,0.8474264705882353
M3@T_XSUR,w85__r09_f05,9,0.8124999999999999,0.8259803921568626,0.8290441176470587,0.846047794117647
M3@T_XSUR,w85__r10_f01,10,0.8823529411764706,0.8786764705882352,0.864889705882353,0.8648897058823529
M3@T_XSUR,w85__r10_f02,10,0.7573529411764706,0.7794117647058822,0.7904411764705881,0.806985294117647
M3@T_XSUR,w85__r10_f03,10,0.7665441176470588,0.7659313725490197,0.765625,0.739889705882353
M3@T_XSUR,w85__r10_f04,10,0.8455882352941176,0.8394607843137254,0.8244485294117647,0.8235294117647058
M3@T_XSUR,w85__r10_f05,10,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7633272058823529
M3@T_XSUR,w85__r11_f01,11,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8851102941176472
M3@T_XSUR,w85__r11_f02,11,0.9136029411764705,0.9117647058823528,0.9025735294117646,0.8924632352941178
M3@T_XSUR,w85__r11_f03,11,0.7775735294117646,0.7757352941176471,0.7812499999999999,0.7876838235294116
M3@T_XSUR,w85__r11_f04,11,0.7849264705882353,0.7977941176470588,0.8042279411764706,0.8138786764705881
M3@T_XSUR,w85__r11_f05,11,0.7959558823529411,0.7855392156862745,0.7821691176470587,0.7918198529411764
M3@T_XSUR,w85__r12_f01,12,0.650735294117647,0.6617647058823529,0.6838235294117646,0.785845588235294
