dataset,kernel_key,kernel_label,simulations,MAE,median_absolute_error,RMSE,R2,target_sample_std,normalized_RMSE,mean_negative_log_predictive_density,empirical_95_interval_coverage,coverage_error_from_0_95,mean_95_interval_width,total_runtime_seconds,median_runtime_per_fold_seconds,optimization_warning_count,folds_with_optimization_warning,optimization_failures,rank_MAE,rank_median_absolute_error,rank_RMSE,rank_R2,rank_normalized_RMSE,rank_mean_negative_log_predictive_density,rank_coverage_error_from_0_95,rank_total_runtime_seconds,primary_RMSE_rank
clean,isotropic_rbf,Isotropic RBF,91,4402.159372535633,3100.8615339527205,6141.66780728808,0.5142473232057674,8860.906678237818,0.6931195678171258,10.815987362507302,0.9120879120879121,0.03791208791208789,24118.141996185233,5.789930199680384,0.060645699966698885,0,0,0,4,4,4,4,4,4,1,3,4
clean,ard_rbf,ARD RBF — Automatic Relevance Determination RBF,91,2035.491107400366,1291.3528746079573,3255.0217048832455,0.8635572904531014,8860.906678237818,0.3673463476234891,9.960433463013628,0.8571428571428571,0.09285714285714286,8736.316655727256,15.995555899920873,0.17175010003848,49,49,0,2,2,2,2,2,2,4,4,2
clean,matern_3_2,Matérn 3/2,91,1735.765252920139,1092.0866804630132,2537.0069285244813,0.917113106307696,8860.906678237818,0.2863145974390309,9.815631092222404,0.9010989010989011,0.04890109890109884,13861.925154431472,3.8854035995318554,0.04116619995329529,0,0,0,1,1,1,1,1,1,2,1,1
clean,matern_5_2,Matérn 5/2,91,2545.315390908036,1538.0631890830246,3724.580752799553,0.8213523338701914,8860.906678237818,0.42033855992943,10.139571631876535,0.9010989010989011,0.04890109890109884,18027.181347064066,4.446545999671798,0.04710759996669367,0,0,0,3,3,3,3,3,3,2,2,3
broad,isotropic_rbf,Isotropic RBF,238,12023.772923769744,7875.044392273805,16735.18900662594,0.37045944732008895,21136.499887857826,0.7917672791340309,11.040156064150889,0.9201680672268907,0.02983193277310925,60597.80805291786,53.623018500278704,0.22288879999541678,0,0,0,3,3,3,3,3,2,3,1,3
broad,ard_rbf,ARD RBF — Automatic Relevance Determination RBF,238,12981.999231778836,8231.934701104157,18597.117985751447,0.2225834882440635,21136.499887857826,0.8798579748028592,11.306689798600601,0.8907563025210085,0.0592436974789915,58098.19538688079,289.5290309995762,1.1907112000044435,0,0,0,4,4,4,4,4,4,4,4,4
broad,matern_3_2,Matérn 3/2,238,11616.870674636857,7414.184025909366,16256.261610195781,0.4059762252968945,21136.499887857826,0.7691084946157254,11.040432518309348,0.9285714285714286,0.021428571428571352,58070.270545051375,55.02531699993415,0.23370799998519942,0,0,0,1,1,1,1,1,3,2,2,1
broad,matern_5_2,Matérn 5/2,238,11698.449975505635,7581.816708223094,16402.666954158198,0.3952283819011282,21136.499887857826,0.7760351544098818,11.032222512450913,0.9369747899159664,0.013025210084033567,58594.48255124607,67.81809639988933,0.2870217000017874,0,0,0,2,2,2,2,2,1,1,3,2
