run_id,repeat,fold,stage,n_rows,mean_train_pool_B1,median_train_pool_B1,mean_absolute_M3_logit,median_absolute_M3_logit
w85__r01_f01,1,1,initial_1_16,16,1.653038404218477,1.6925256555647026,10.762243839918506,11.78390464956758
w85__r01_f01,1,1,early_17_40,24,0.8413344525136212,0.8111707562750982,2.4029512556733903,1.665040011849921
w85__r01_f01,1,1,mid_41_80,40,0.761839837446113,0.7589761225304559,2.807215386581068,2.799411845403193
w85__r01_f01,1,1,late_81_160,80,1.2536055945529072,1.2313093395729489,6.380148040262947,6.117308755213155
w85__r01_f01,1,1,unqueried_at_H160,164,1.8318307248698007,1.7398534851820504,13.36282469186219,12.499697811690247
w85__r01_f02,1,2,initial_1_16,16,1.8319478442450179,1.7523555908392285,15.086237012969963,14.366542010137486
w85__r01_f02,1,2,early_17_40,24,0.9060069579230978,0.8091339951561166,2.2564151721265158,1.6250255382094059
w85__r01_f02,1,2,mid_41_80,40,1.048247915767591,1.0009828027163126,4.684618157816818,4.622226085417385
w85__r01_f02,1,2,late_81_160,80,1.26705415205487,1.2376663911129397,8.676240228210887,8.338988803421739
w85__r01_f02,1,2,unqueried_at_H160,164,1.882706477555056,1.8393963429952014,18.921685621258888,18.437008376540266
w85__r01_f03,1,3,initial_1_16,16,1.6542780507613668,1.5521074516269775,9.642118227570482,10.055347808405706
w85__r01_f03,1,3,early_17_40,24,0.7749386736628493,0.7811754473044927,1.6902021181298597,1.7019833550788475
w85__r01_f03,1,3,mid_41_80,40,0.8462496876491843,0.7992698652834089,2.9358059250425006,2.868121900037271
w85__r01_f03,1,3,late_81_160,80,1.1991646191698895,1.182364922539854,6.0939210660595915,5.841207481129295
w85__r01_f03,1,3,unqueried_at_H160,164,1.843056473816982,1.7523394177249538,13.085500262185137,12.600828553212693
w85__r01_f04,1,4,initial_1_16,16,1.8264109812676583,1.766647695074243,11.5543462308923,7.28450274166632
w85__r01_f04,1,4,early_17_40,24,0.790874404756435,0.8089113921624242,1.9810750882863413,1.3245070424935559
w85__r01_f04,1,4,mid_41_80,40,0.9902911960860841,0.9230854831651606,3.7726120555812885,3.4354837245949046
w85__r01_f04,1,4,late_81_160,80,1.2915810318830407,1.2708005956776476,7.640640554535051,6.660967889497984
w85__r01_f04,1,4,unqueried_at_H160,164,1.8970818498652595,1.8416298512532543,15.29954024219753,14.86419211627
w85__r01_f05,1,5,initial_1_16,16,1.7517787590260618,1.816279225582131,11.847049000317284,8.265689424514335
w85__r01_f05,1,5,early_17_40,24,0.843838316114851,0.7994711486839452,3.066839939245927,2.1910309072562812
w85__r01_f05,1,5,mid_41_80,40,0.9898652946171179,1.0478695897490566,3.5868815563592653,3.373371085720742
w85__r01_f05,1,5,late_81_160,80,1.3467024097669533,1.3301879699568877,7.426950890858741,6.7900024801709655
w85__r01_f05,1,5,unqueried_at_H160,164,1.8487328223973651,1.7660728585899816,14.393159759614685,13.842191993095465
w85__r02_f01,2,1,initial_1_16,16,1.68437561352878,1.7702372842779848,13.249705963759762,10.731243149409686
w85__r02_f01,2,1,early_17_40,24,0.7569177770238508,0.7605114942550449,2.9617196777351125,2.5397961990786384
w85__r02_f01,2,1,mid_41_80,40,0.8478353190122816,0.8222598439821158,3.362681873816124,3.2091556074930914
w85__r02_f01,2,1,late_81_160,80,1.228617011682088,1.2084025506268254,7.780062558217627,7.172098061346047
w85__r02_f01,2,1,unqueried_at_H160,164,1.8465536041867898,1.8011912805761139,17.93994876755958,16.8659378382359
w85__r02_f02,2,2,initial_1_16,16,1.6535301790783201,1.5343062747253486,9.97654981277103,6.831209910228756
w85__r02_f02,2,2,early_17_40,24,0.785868898451198,0.7872087829203737,1.9909200140615535,1.7046443887628904
w85__r02_f02,2,2,mid_41_80,40,0.9310886482539736,0.9241441951314548,3.6146209157491187,3.484175397443142
w85__r02_f02,2,2,late_81_160,80,1.215623046154257,1.1890906145619358,6.366593161131015,6.048369898291607
w85__r02_f02,2,2,unqueried_at_H160,164,1.8400307418461352,1.785782112510315,13.884123914369882,13.193863189461572
w85__r02_f03,2,3,initial_1_16,16,1.66188941038514,1.5279538544450162,10.088127885850762,8.7430412277092
w85__r02_f03,2,3,early_17_40,24,0.7773548159898335,0.7912566447157768,2.1144821353859413,1.8873253226276958
w85__r02_f03,2,3,mid_41_80,40,0.8755106756056893,0.8651952998145476,2.7287992404771986,2.7841874504429835
w85__r02_f03,2,3,late_81_160,80,1.242858041120343,1.216367698206625,6.397110968081686,5.9324527777102425
