benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_shortlist_size,acquisition_requested_shortlist_size,acquisition_finite_difference_h,acquisition_curvature_clip,acquisition_repulsion_bandwidth,acquisition_boundary_weight_power,acquisition_selected_position,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_normalized_uncertainty,acquisition_selected_boundary_weight,acquisition_selected_raw_curvature,acquisition_selected_normalized_curvature,acquisition_selected_repulsion,acquisition_selected_gbc_score,acquisition_fallback_used
ackley,gated_geometric_boundary_contraction,0,1,12,13,1509,2.7282070372227043,False,False,False,200,200,0.001,10.0,0.15,1.0,1505,97,1.734398850824705,0.9479860222851828,0.9254176528592921,10.0,0.9999999999998982,0.999995309883224,0.8772788851267671,False
ackley,gated_geometric_boundary_contraction,0,2,13,14,3385,0.8126353437737315,False,False,False,200,200,0.001,10.0,0.15,1.0,3373,116,1.744392417252499,0.9310393578158038,0.9386252383554701,10.0,0.9999999999998972,0.9999912265890176,0.8738893720902121,False
ackley,gated_geometric_boundary_contraction,0,3,14,15,579,1.7706431338684379,False,False,False,200,200,0.001,10.0,0.15,1.0,577,63,1.778049750112719,0.9570022885707632,0.9578593485015929,10.0,0.9999999999998977,0.9999810680498559,0.9166562342261523,False
ackley,gated_geometric_boundary_contraction,0,4,15,16,2742,2.3609712689634357,False,False,False,200,200,0.001,10.0,0.15,1.0,2732,26,1.7411218526875003,0.7698509259329311,0.9577209971993412,10.0,0.9999999999998972,0.9990012340270583,0.7365660039338754,False
ackley,gated_geometric_boundary_contraction,0,5,16,17,1104,2.607325006281094,False,False,False,200,200,0.001,10.0,0.15,1.0,1099,113,1.650085181415273,0.750434404909359,0.9050715352981177,10.0,0.9999999999998982,0.9969501636672871,0.6771253798561495,False
ackley,gated_geometric_boundary_contraction,0,6,17,18,3788,0.11966479493528226,True,True,True,200,200,0.001,10.0,0.15,1.0,3771,160,1.6228944021280218,0.3545289107903925,0.9444694218641065,10.0,0.9999999999998983,0.9930780816800934,0.33252396840412585,False
ackley,gated_geometric_boundary_contraction,0,7,18,19,132,0.16037088682598366,True,True,True,200,200,0.001,10.0,0.15,1.0,132,149,1.5336678915184165,0.3537316807743076,0.9275457146808659,10.0,0.999999999999897,0.9893264130339643,0.324600276166607,False
ackley,gated_geometric_boundary_contraction,0,8,19,20,1362,1.7846965594454378,False,False,False,200,200,0.001,10.0,0.15,1.0,1355,199,1.4325325427598607,0.35545326220702533,0.8731593151650483,10.0,0.999999999999898,0.9897124068834098,0.30717439422495835,False
ackley,gated_geometric_boundary_contraction,0,9,20,21,2862,1.585703536971792,False,False,False,200,200,0.001,10.0,0.15,1.0,2848,83,1.549074996014034,0.2665112660240348,0.9907929028581764,10.0,0.9999999999998975,0.9807355021309091,0.25897053632270295,False
ackley,gated_geometric_boundary_contraction,0,10,21,22,3375,2.431766487365863,False,False,False,200,200,0.001,10.0,0.15,1.0,3357,15,1.7464892869011046,0.8724626747826598,0.9218850868430742,2.387179870978364,0.6248755467913455,0.9990405937540208,0.5021116647571224,False
ackley,gated_geometric_boundary_contraction,0,11,22,23,417,1.8279957730130096,False,False,False,200,200,0.001,10.0,0.15,1.0,414,59,1.5663519089782074,0.7093268138681964,0.8655394807563772,3.1739182154640186,0.30835617591636694,0.9978336849808896,0.18890526911498173,False
