benchmark,method,budget,mean_global_error,std_global_error,mean_near_boundary_error_q10,std_near_boundary_error_q10,mean_near_boundary_error_q20,std_near_boundary_error_q20,mean_near_boundary_error_q30,std_near_boundary_error_q30,mean_latent_uncertainty_region_fraction,std_latent_uncertainty_region_fraction,mean_latent_uncertainty_region_fraction_q20,std_latent_uncertainty_region_fraction_q20,mean_latent_uncertainty_region_fraction_q30,std_latent_uncertainty_region_fraction_q30
ackley,random,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.874400,0.175145,0.874600,0.174432
ackley,random,40,0.332480,0.014578,0.486400,0.006375,0.475000,0.010616,0.455867,0.004838,0.926840,0.074090,0.955200,0.038741,0.953200,0.040669
ackley,random,80,0.282660,0.019293,0.478000,0.007376,0.459300,0.003881,0.434200,0.008090,0.919440,0.065801,0.949300,0.038796,0.947000,0.038351
ackley,smallest_abs_mu,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.874400,0.175145,0.874600,0.174432
ackley,smallest_abs_mu,40,0.301520,0.016847,0.473400,0.020016,0.459100,0.013162,0.440533,0.014118,0.954120,0.044332,0.973300,0.023555,0.970800,0.025379
ackley,smallest_abs_mu,80,0.236240,0.022286,0.461800,0.021563,0.439600,0.016209,0.412600,0.019825,0.943340,0.018807,0.963800,0.008970,0.960933,0.009810
ackley,straddle,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.874400,0.175145,0.874600,0.174432
ackley,straddle,40,0.243140,0.041430,0.473800,0.008565,0.442400,0.013226,0.416667,0.019765,0.803640,0.193644,0.896800,0.122022,0.891533,0.124924
ackley,straddle,80,0.168400,0.021478,0.460000,0.015007,0.415400,0.017080,0.369733,0.016774,0.696420,0.075812,0.878700,0.033780,0.868533,0.033719
ackley,randomized_straddle,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.874400,0.175145,0.874600,0.174432
ackley,randomized_straddle,40,0.243240,0.032288,0.467800,0.011754,0.436000,0.013889,0.412600,0.020073,0.844920,0.094964,0.932600,0.050268,0.928800,0.049403
ackley,randomized_straddle,80,0.175380,0.008484,0.450800,0.012156,0.408400,0.012575,0.368200,0.010649,0.697440,0.069228,0.876500,0.045566,0.865600,0.044380
ackley,expected_feasibility,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.874400,0.175145,0.874600,0.174432
ackley,expected_feasibility,40,0.254980,0.050784,0.471800,0.018862,0.445700,0.019974,0.419733,0.025251,0.798140,0.174092,0.891100,0.109508,0.887000,0.109135
ackley,expected_feasibility,80,0.189820,0.011489,0.469600,0.017188,0.429300,0.017628,0.389867,0.016386,0.683880,0.103941,0.856500,0.047147,0.841800,0.055545
ackley,diversified_straddle,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.874400,0.175145,0.874600,0.174432
ackley,diversified_straddle,40,0.243460,0.025952,0.468600,0.020597,0.442500,0.013126,0.414200,0.013321,0.838380,0.106993,0.925900,0.061886,0.922733,0.061229
ackley,diversified_straddle,80,0.182420,0.018210,0.456200,0.013790,0.418500,0.015037,0.377600,0.016694,0.737920,0.071532,0.895800,0.036073,0.886333,0.038843
ackley,boundary_gated_diversified_straddle,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.874400,0.175145,0.874600,0.174432
ackley,boundary_gated_diversified_straddle,40,0.247460,0.043566,0.474200,0.017657,0.444800,0.017389,0.415333,0.016748,0.839340,0.135024,0.935800,0.064442,0.930200,0.066063
ackley,boundary_gated_diversified_straddle,80,0.184440,0.018303,0.452000,0.018033,0.412600,0.018236,0.375733,0.019103,0.715520,0.064753,0.871600,0.032384,0.865267,0.035146
ackley,gated_geometric_boundary_contraction,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.874400,0.175145,0.874600,0.174432
ackley,gated_geometric_boundary_contraction,40,0.301820,0.010565,0.477000,0.009143,0.462500,0.005254,0.442200,0.010280,0.914940,0.076835,0.941400,0.059155,0.940067,0.059339
ackley,gated_geometric_boundary_contraction,80,0.200440,0.021457,0.454200,0.014428,0.422000,0.019139,0.384733,0.021991,0.712940,0.119853,0.838000,0.062015,0.833667,0.063561
