response,response_label,target_unit,model,model_family,n_predictions,mae,median_absolute_error,rmse,r2,nrmse,target_min,target_median,target_max,target_range,mean_nlpd,median_nlpd,total_or_evaluation_95pct_coverage,median_predictive_interval_width,aggregate_fold_runtime_seconds,mean_fold_runtime_seconds,warning_folds,convergence_warning_folds,failed_folds,bound_hit_folds,bound_hit_fraction,learned_nugget,median_learned_nugget_std,q25_learned_nugget_std,q75_learned_nugget_std,metrics_recomputed_from_prediction_rows
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,Gaussian process,241,0.08901044713574462,0.056227363128962704,0.17392474808715153,0.9492169265111522,0.054971265903929,0.3389589,1.529661,3.50288,3.1639211,0.010262691669199176,-0.7629786854786306,0.970954356846473,0.6808324315778926,373.6977538005449,1.5506130863093148,5,5,0,0,0.0,True,0.16589774711896843,0.16578365677184975,0.16596948136408557,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern52_learned_nugget,Gaussian process,241,0.09438317263684817,0.06456881118638425,0.17745973410506896,0.947131636349055,0.05608854598335874,0.3389589,1.529661,3.50288,3.1639211,0.017770984894689125,-0.7418181720188335,0.970954356846473,0.6909654009732482,422.7996312995674,1.7543553165957153,1,1,0,0,0.0,True,0.17214469702314233,0.1720469893716711,0.17218646123442546,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,rbf_learned_nugget,Gaussian process,241,0.09632525684446594,0.06818265489514541,0.1788272364678618,0.9463136910861797,0.05652076357651959,0.3389589,1.529661,3.50288,3.1639211,-0.007895447442851838,-0.734372808842598,0.970954356846473,0.6937545185503743,231.49246710003354,0.9605496560167367,0,0,0,0,0.0,True,0.173284429116302,0.17317298075573548,0.17332877562743482,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,polynomial_ridge_degree2,Ridge,241,0.09669804451249625,0.06811227967499633,0.17983312503930995,0.9457080302784067,0.05683868824646416,0.3389589,1.529661,3.50288,3.1639211,,,,,445.6348145015072,1.8491071141141378,0,0,0,0,0.0,False,,,,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,linear_ridge,Ridge,241,0.11538454387106004,0.087593889169997,0.18751815671844488,0.9409686294810776,0.059267646313444694,0.3389589,1.529661,3.50288,3.1639211,,,,,298.76219860103447,1.2396771726184004,0,0,0,0,0.0,False,,,,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_no_nugget,Gaussian process,241,0.11435874854949955,0.060716717120604,0.2026434245187223,0.9310615923400408,0.06404819150475095,0.3389589,1.529661,3.50288,3.1639211,0.1309981948373098,-0.5302066122032358,0.9377593360995851,0.7814782400809921,206.0083390987711,0.8548063863019548,0,0,0,0,0.0,False,,,,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,training_mean,sanity baseline,241,0.6645205673132781,0.6625603300000001,0.775010690179063,-0.008350694444444473,0.2449525970097873,0.3389589,1.529661,3.50288,3.1639211,,,,,0.0,0.0,0,0,0,0,0.0,False,,,,True
total_height,T0 total vertical melt-pool height,um,matern32_learned_nugget,Gaussian process,241,4.205879702083182,2.2914892955347668,7.598208807352847,0.8268541938682765,0.07505313293137206,41.27405,80.106185,142.5117799999,101.2377299999,3.4908981043766802,3.0068451346061016,0.9626556016597511,29.215385994482734,315.04150620126165,1.3072261668102143,0,0,0,0,0.0,True,6.458419118873422,6.451624051173345,6.462498138621264,True
total_height,T0 total vertical melt-pool height,um,matern52_learned_nugget,Gaussian process,241,4.212679200847751,2.340468107640177,7.65473492212709,0.824268409342158,0.07561148321020879,41.27405,80.106185,142.5117799999,101.2377299999,3.496283619345062,3.007667564226679,0.9626556016597511,29.178436072688843,356.32453020033427,1.4785250215781505,0,0,0,0,0.0,True,6.69223706073499,6.686436398773163,6.695698691709165,True
total_height,T0 total vertical melt-pool height,um,rbf_learned_nugget,Gaussian process,241,4.247128655348111,2.603667817513923,7.705994180447071,0.8219069869546,0.07611780884907912,41.27405,80.106185,142.5117799999,101.2377299999,3.500490163377022,3.006033673570986,0.966804979253112,29.09673639377226,217.2172908000648,0.9013165593363685,0,0,0,0,0.0,True,6.890309576599832,6.884908026432772,6.892996444040395,True
total_height,T0 total vertical melt-pool height,um,matern32_no_nugget,Gaussian process,241,5.205670692897094,3.1081348423348487,8.119321962144777,0.8022898095282298,0.08020055331300689,41.27405,80.106185,142.5117799999,101.2377299999,4.066697284314136,3.409571471318475,0.950207468879668,42.77932771278345,247.19487899949308,1.0257048921140792,0,0,0,0,0.0,False,,,,True
total_height,T0 total vertical melt-pool height,um,polynomial_ridge_degree2,Ridge,241,5.293909360385799,3.4849390594675356,8.522625324440268,0.7821606559739209,0.08418427916596596,41.27405,80.106185,142.5117799999,101.2377299999,,,,,405.9740757002728,1.6845397331961527,0,0,0,0,0.0,False,,,,True
total_height,T0 total vertical melt-pool height,um,linear_ridge,Ridge,241,6.091853146029506,3.830225606304211,9.956058471279828,0.7027208810508558,0.09834335944997644,41.27405,80.106185,142.5117799999,101.2377299999,,,,,339.34671330137644,1.4080776485534292,0,0,0,0,0.0,False,,,,True
total_height,T0 total vertical melt-pool height,um,training_mean,sanity baseline,241,14.557264353903319,11.968413125004162,18.336271752674243,-0.008350694444444251,0.18112092944688069,41.27405,80.106185,142.5117799999,101.2377299999,,,,,0.0,0.0,0,0,0,0,0.0,False,,,,True
