response,feature,ci_low,ci_high,confidence_level,bootstrap_resamples,bootstrap_seed,resample_unit
width,P,0.3984665263541857,0.5948746447700105,0.95,10000,1583092981,simulation
width,VX,-0.7455073784657738,-0.6190395689710564,0.95,10000,1177097433,simulation
width,LS,0.3591535479960093,0.5708095267643162,0.95,10000,526399685,simulation
width,ST,0.06683668824925983,0.32764651709963943,0.95,10000,2478345637,simulation
depth,P,0.7290979226830009,0.8326980492725904,0.95,10000,2338504229,simulation
depth,VX,-0.5259121017732498,-0.3390334294733103,0.95,10000,3127917997,simulation
depth,LS,-0.15408611299521918,0.11582440598014798,0.95,10000,4049433169,simulation
depth,ST,-0.07805688844514296,0.18084634868248217,0.95,10000,2056269603,simulation
kinetic_energy,P,0.9398755264672412,0.9821121208259361,0.95,10000,4209568878,simulation
kinetic_energy,VX,-0.13377176007446837,0.10633250722952141,0.95,10000,2971377563,simulation
kinetic_energy,LS,0.09402008032790363,0.34615751132202494,0.95,10000,819109203,simulation
kinetic_energy,ST,0.006398803273134429,0.2516865190583691,0.95,10000,916950311,simulation
total_height,P,0.7420432509043907,0.8478045894967374,0.95,10000,3042880211,simulation
total_height,VX,-0.41136721767167184,-0.1973905644811752,0.95,10000,2798066751,simulation
total_height,LS,0.002636541694793961,0.263031766116794,0.95,10000,15948234,simulation
total_height,ST,-0.05153425624855267,0.2091099226480382,0.95,10000,3599488275,simulation
