simulation_id,numeric_simulation_id,P,VX,LS,ST,LS_source_m,LS_definition,feature_units,T0_melt_pool_width_um,T0_penetration_depth_um,T0_melt_pool_kinetic_energy_nJ,adaptive_melt_pool_kinetic_energy_nJ,T0_total_vertical_height_um,adaptive_total_vertical_height_um,T0_observation_count,adaptive_observation_count,T0_definition,adaptive_definition,kinetic_source_unit,kinetic_report_unit,total_height_internal_unit,total_height_report_unit,kinetic_invalid_row_count,phase1_unstable_depth_window,huggingface_revision
sim_00014,14,116.693370328,0.231004403842,82.871053211,317.198938228,8.2871053211e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",217.4983,50.81113,1.186151,0.679069,65.46867999999999,52.82461643218994,15247,52397,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00015,15,118.4900546,0.535113778256,47.9907961621,385.412174328,4.79907961621e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",135.91084,46.77987,0.9997944000000001,1.0154265,71.31503000000001,71.70400931499898,18867,87430,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00016,16,119.65849417,0.305673131798,51.0692886867,393.327897391,5.10692886867e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",170.73953,54.776695,1.2874185,1.028384,75.39228,67.9165095789358,16966,66813,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00017,17,122.148440758,0.768953415756,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",112.61138,50.5307,1.284539,1.138889,75.41208,71.34930274332874,13749,61550,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00018,18,122.399838052,0.958262341264,87.70324168959999,376.830559352,8.77032416896e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",128.57057,30.58443,1.115704,0.9465658000000001,57.02544,53.99926158133894,10497,53681,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00019,19,123.578555013,0.413960648538,54.0122226787,380.745973079,5.40122226787e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",165.79511,54.767900000000004,1.22083,1.04975,82.15323,71.99055471573956,18581,79602,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00020,20,124.939831153,0.895565001264,47.9284796095,395.904294171,4.79284796095e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",111.25722999999999,42.80561,1.0323099999999998,0.97612,63.481910000000006,60.29129144735634,11253,57549,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00021,21,126.228008246,0.201684842681,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",178.12134,74.79356,1.231174,1.0805065000000003,93.98097,81.61396544892341,13749,41422,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00022,22,126.429096271,0.381791494837,85.4596605095,336.470624887,8.54596605095e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",205.0187,50.78823,1.2522735,0.8767087,80.106185,67.607281380333,18328,77217,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00023,23,129.840936159,0.750604494449,88.4568803437,319.185657099,8.84568803437e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",157.41665999990002,34.760245000000005,1.208273,1.0295130000000001,65.331135,60.298731114016846,13474,68905,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
