candidate_left,candidate_right,common_complete_n,spearman_rho,two_sided_pvalue,descriptive_only
T0_depth,T0_depth,164,0.9999999999999999,0.0,True
T0_depth,max_depth,164,0.9422333464829348,7.418014986380884e-79,True
T0_depth,G3,164,0.9711017099016499,1.0260381223351703e-102,True
T0_depth,R3,164,0.8310013194945111,4.093186801500698e-43,True
T0_depth,T0_width,164,0.32284085807952334,2.4843664522517158e-05,True
T0_depth,T0_total_height,164,0.9742630555139904,9.78626177273816e-107,True
T0_depth,T0_kinetic_energy,164,0.8558214193407968,3.058850653221805e-48,True
T0_depth,R0,164,0.8196835933780419,4.787438718044338e-41,True
max_depth,T0_depth,164,0.9422333464829348,7.418014986380884e-79,True
max_depth,max_depth,164,0.9999999999999999,0.0,True
max_depth,G3,164,0.971147960224722,9.02865230336996e-103,True
max_depth,R3,164,0.8968917062288302,2.7628542929637448e-59,True
max_depth,T0_width,164,0.14181437296804644,0.07008127359290904,True
max_depth,T0_total_height,164,0.8899432753390556,4.0714667684315297e-57,True
max_depth,T0_kinetic_energy,164,0.833874280739461,1.1549953515139763e-43,True
max_depth,R0,164,0.8581339354944022,9.107785626306212e-49,True
G3,T0_depth,164,0.9711017099016499,1.0260381223351703e-102,True
G3,max_depth,164,0.971147960224722,9.02865230336996e-103,True
G3,G3,164,0.9999999999999999,0.0,True
G3,R3,164,0.8896031994341136,5.153663437659252e-57,True
G3,T0_width,164,0.2355202481193802,0.002398307859608472,True
G3,T0_total_height,164,0.9264130153850338,1.2730769843793488e-70,True
G3,T0_kinetic_energy,164,0.8315699264075741,3.1925268296544793e-43,True
G3,R0,164,0.8425366941901431,2.188185393378462e-45,True
R3,T0_depth,164,0.8310013194945111,4.093186801500698e-43,True
R3,max_depth,164,0.8968917062288302,2.7628542929637448e-59,True
R3,G3,164,0.8896031994341136,5.153663437659252e-57,True
R3,R3,164,0.9999999999999999,0.0,True
R3,T0_width,164,-0.1467631575367622,0.060754613513038416,True
R3,T0_total_height,164,0.7634323180933984,1.436538724685878e-32,True
R3,T0_kinetic_energy,164,0.7541523267993415,2.1402947892304953e-31,True
R3,R0,164,0.9569871995429378,5.693839353680106e-89,True
T0_width,T0_depth,164,0.32284085807952334,2.4843664522517158e-05,True
T0_width,max_depth,164,0.14181437296804644,0.07008127359290904,True
T0_width,G3,164,0.2355202481193802,0.002398307859608472,True
T0_width,R3,164,-0.1467631575367622,0.060754613513038416,True
T0_width,T0_width,164,0.9999999999999999,0.0,True
T0_width,T0_total_height,164,0.4225021424782011,1.7462696206720146e-08,True
T0_width,T0_kinetic_energy,164,0.1603961204140764,0.040202298678250745,True
T0_width,R0,164,-0.17783793342674084,0.02271417312513483,True
T0_total_height,T0_depth,164,0.9742630555139904,9.78626177273816e-107,True
T0_total_height,max_depth,164,0.8899432753390556,4.0714667684315297e-57,True
T0_total_height,G3,164,0.9264130153850338,1.2730769843793488e-70,True
T0_total_height,R3,164,0.7634323180933984,1.436538724685878e-32,True
T0_total_height,T0_width,164,0.4225021424782011,1.7462696206720146e-08,True
T0_total_height,T0_total_height,164,0.9999999999999999,0.0,True
T0_total_height,T0_kinetic_energy,164,0.8358358385591663,4.801138117784663e-44,True
T0_total_height,R0,164,0.757104185654238,9.183910703239867e-32,True
T0_kinetic_energy,T0_depth,164,0.8558214193407968,3.058850653221805e-48,True
T0_kinetic_energy,max_depth,164,0.833874280739461,1.1549953515139763e-43,True
T0_kinetic_energy,G3,164,0.8315699264075741,3.1925268296544793e-43,True
T0_kinetic_energy,R3,164,0.7541523267993415,2.1402947892304953e-31,True
T0_kinetic_energy,T0_width,164,0.1603961204140764,0.040202298678250745,True
T0_kinetic_energy,T0_total_height,164,0.8358358385591663,4.801138117784663e-44,True
T0_kinetic_energy,T0_kinetic_energy,164,0.9999999999999999,0.0,True
T0_kinetic_energy,R0,164,0.7729898113258878,7.788453751112013e-34,True
R0,T0_depth,164,0.8196835933780419,4.787438718044338e-41,True
R0,max_depth,164,0.8581339354944022,9.107785626306212e-49,True
R0,G3,164,0.8425366941901431,2.188185393378462e-45,True
R0,R3,164,0.9569871995429378,5.693839353680106e-89,True
R0,T0_width,164,-0.17783793342674084,0.02271417312513483,True
R0,T0_total_height,164,0.757104185654238,9.183910703239867e-32,True
R0,T0_kinetic_energy,164,0.7729898113258878,7.788453751112013e-34,True
R0,R0,164,0.9999999999999999,0.0,True
