candidate_id,candidate_name,unit,n_keyhole_positive,n_keyhole_negative,median_difference_keyhole_minus_negative,median_difference_ci_low,median_difference_ci_high,rank_biserial_ci_low,rank_biserial_ci_high,rank_biserial_effect_size,mann_whitney_u,mann_whitney_two_sided_pvalue,bootstrap_resamples,bootstrap_level,inference_note
T0_depth,T0 penetration depth,um,63,101,89.29936000000001,41.477385625,138.99637287499996,0.8583294043690084,0.959138771019959,0.9154486877259154,6094.0,7.214747435737115e-23,300,0.95,Effect size and overlap are primary; p-value is secondary.
max_depth,Maximum penetration depth,um,63,101,235.5727,222.266314,239.59087000000002,0.9981140971239981,1.0,0.9996856828539997,6362.0,5.868637516153132e-27,300,0.95,Effect size and overlap are primary; p-value is secondary.
G3,G3 persistent depth,um,63,101,216.47478999999998,141.7729395,234.83095275000005,1.0,1.0,1.0,6363.0,5.657381157803772e-27,300,0.95,Effect size and overlap are primary; p-value is secondary.
R3,R3 persistent aspect ratio,dimensionless,63,101,1.1016781748929863,0.9565316283216316,1.273947090232159,0.9907197862643408,1.0,0.9971711456859971,6354.0,7.865653793414178e-27,300,0.95,Effect size and overlap are primary; p-value is secondary.
T0_width,T0 width,um,63,101,-11.603500000000025,-24.806907500000005,6.412127875000001,-0.276984126984127,0.09434229137199418,-0.08470847084708466,2912.0,0.3631224265984221,300,0.95,Effect size and overlap are primary; p-value is secondary.
T0_total_height,T0 total height,um,63,101,93.33716000000001,40.26344387500001,137.211565,0.7198805594845199,0.892039918277542,0.8132956152758133,5769.0,2.2086603244632015e-18,300,0.95,Effect size and overlap are primary; p-value is secondary.
T0_kinetic_energy,T0 kinetic energy,nJ,63,101,2.1332014999999993,1.7148046375,2.602649912499999,0.6976661951909477,0.8804101838755304,0.7991513437057991,5724.0,8.402362279102126e-18,300,0.95,Effect size and overlap are primary; p-value is secondary.
R0,R0 T0 aspect ratio,dimensionless,63,101,0.6471705696275578,0.36061616714296146,0.8216536608473155,0.8502043061449003,0.972041489863272,0.9217350306459218,6114.0,3.674671026845768e-23,300,0.95,Effect size and overlap are primary; p-value is secondary.
