experiment_name,has_keyhole,has_conduction,labelled_frame_count,relevant_physical_frame_count,keyhole_frame_count,keyhole_fraction_of_relevant_physical_frames,keyhole_segment_count,maximum_keyhole_segment_frames,keyhole_transient_by_sequence,keyhole_persistent_to_last_physical_frame,repeated_keyhole_episodes,keyhole_timing_relative_to_T0,keyhole_persistence_group,collapsed_physical_sequence,frames_csv_sha256,label_sequence_sha256,keyhole_negative_contains_conduction,keyhole_negative_without_conduction
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,False,True,381,208,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,e4312981a6b42e6c23803be2bb35d3aa4ed984e76857cb81fd43ab9de9a2b6e4,4425adec9711417c5fdab3489bdf95831408cf1e2a9975c62501226e6b57994e,True,False
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,False,True,234,197,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,5ee8ce97a6136f4d14568b8c533c6a10d7adc01119ec3aa5b337b20a8cd92c74,ee72472348caf1611af2f14b7d841f343fbd19a6e5775d833c0c97e3712e5dd7,True,False
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,False,True,91,55,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,31529922f3892341f2b789661fc7b96ec84c0d2bbff47bee0c8a19266d5fc916,44f2bbefadf9fd25f680a6e4741f6d1925b60539582d3cf78bea9a26e8d10fbb,True,False
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,False,True,249,205,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,edad08fd8998abaf707482c44e9eaf71599fd9ae38c5ef7b19b91202c86fb211,ec6c612002db5bd92fabcd5c8df62e6933d8fcfe42002abfa2e4296bd65e9395,True,False
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,False,True,186,154,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,826677d0f496fc8282cbad4b8ac22a8d13e65d0a356e1019110148c0473aba3b,d892696dcbe1f0104595c2cdaa7241aac4c0b69fd7fd38f631fd78c60355f4d8,True,False
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,False,True,192,159,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,10ffcda684ae85e0d7b42a712bbecec365f45f1952d87a1b2406f05a757284b0,96c6d670bdab19770da397abda22f38bcb8aac5a37e248b7334816052183e129,True,False
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,False,True,344,219,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,4304398871f772179a9f791d64d4f6a55fbd9622fcd599fdfb15fe5fabe2f6b6,bc05dbebf0ab1f2f28c053e4a2c233f495bcc8086a6080a45918371444cb6628,True,False
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,False,True,237,189,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,6b9dea32d0631295f20c4975890f1da80bb9f8e046439a3c28bd5cee56354eb9,c103d61bf731fe734a6e75fb305337e9dc73d31de922b5c95c88dd6186f58a28,True,False
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,False,True,402,211,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,55ec84b67e40ebc889b19f7532863c92de925fc793cfb7001155d956c755ccc7,7ba693a9c8d9eb7d319d28ef1b88cd8982519f922330e6524a62ffc9ac6cd4e0,True,False
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,False,True,182,146,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,27d25a20f71b8b55f5ddabc91c313853bc9a6513ac78a4ecba3ad4a2fad93293,dd2f0c8cdc12fcdf237fe854b78e4c53b46ca2b5f1dd49f90d2fbf3574d74d3c,True,False
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,False,True,289,211,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,2c9fd839457a8dce37a931b366cccd96cbec4354cf14452dcdda0a176f3e7e4e,b816344908c3e6e8bd351b07d9526c1d4c9faa2266cb1b41f421afe309dfc140,True,False
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,False,True,184,150,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,82bcd3c6e01a1f2129f34c36d96b44ea62a4626455c1bf01a9904bd4efc9adf3,0a75a2d617f1a65b2c015380e0c2e42088159f2ae2781f5c6cfef29eff69a66d,True,False
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,False,True,397,206,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,a4238fc60e0392d7371a3386ebf62c728612712bf82671466f5b2e36d7cdb3b0,2df1a8043b7bf268fe9f509aa46885fa0ccd49d43e072eb4bdda795a0aa4cedd,True,False
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,False,True,368,219,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,645b5d93789321db3e1bc277d586b3c3f7dff6f810195599827af64f2bd18f31,aa30b869e4b78c9a48151abcccf2807f00f529f05f8fb3504b20558fa7e2f50c,True,False
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,False,True,308,210,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,456d7a9ba3ac6d54c20dd33fdb28f63e4f173a0ddd7c3ad430e96084950b2bfa,2cd34c0e26117fa4f09c318c6cd78f15b21a3dfed0ebff4d937e251e6997b218,True,False
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,False,True,254,212,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,056d7eec4569d66ee3866c80eb3992491f511c85b7ff73001d8f78935a755785,097fea15104f0baa6a67367ac4658ead463e1e5ec4e12c69be8dabcc806d3cb3,True,False
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,False,True,393,218,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,4e2ce4d01a16c32f43ac2784c0f692c5fee4fe7ea5a90acc26455b4b1c2d3a62,3c4f8f51fc121173a3dca0ff074c55d97d99cb44c7848f210e6c8c15bc112c20,True,False
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,False,True,318,214,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,40eeab93a5c9a44e9309cc8a8b01b118cbaa97ce7988a4b49495776991d46566,4701f97b490aea14904d7f49edb309b4bf10049e3c8b3cae5db4d609d62e912c,True,False
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,False,True,220,187,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,61c18361bc9ada167ec36f3968f7e9becfebe397291dbd8d3d985712623c7d09,ee7cfdb5fc6493e9e858fd2436a6fa00a901daa2aec949e08e248c1c888346d3,True,False
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,False,True,369,219,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,ce8a90a327eb0973e3a5e43cab5a48ba4204ec504095ee3adc949131b0d385f7,4453e4ef7ffdbad3c6d6ac88417f5300bbe89cc77fa76fc590b208b3be9142e9,True,False
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,False,True,198,164,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,88e8c9616c46fc949012d947eafd654cc24b09163f480eea2018f99580234c0d,0f2c7b081ccb966125e0f0bf9ea9e4a694a97a5a3c6b45b5e026147251ac85b4,True,False
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,False,True,221,186,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,8923778b975c4c311c5b5d2d3cdd561f2b6fe7c68b634e54added92aa308d363,07382bda31a2635c681a65f6ad08f14d1f44d6d0f92d2e4fafc514d72b58ac41,True,False
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,False,True,285,201,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,f274b99fc84c523e2807b522df412e5cb655166bf4eb6408622fb386de1f8f9b,96f6d2a479d468dd49f4ad92167e5166082a7e2f20f107e03a88dd86ca49bf9f,True,False
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,False,True,132,96,0,0.0,0,0,False,False,False,no_Keyhole,Keyhole-negative,Forming Phase -> Conduction,8db46d5aed8ab36be4742d797ce9db765712e30892bce5fd7ac22e5e7a97bb65,fd60e98357289200eb58525b17c3aef7b2c5abd7b762d94730e4f13eec8f7f02,True,False
