relative_path,size_bytes,sha256
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/current_revision_diff_audit.csv,41377,974e15793bb2c29c24cdfa4f3abc246ffa12ce45a7ea113ff7c1a6e22657f454
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/dataset_revision_audit.json,988,acaa5123036c651447fea0a92edfbbf83bd646d3a0309d649eb1d290315ccbaf
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/experiment_level_label_audit.csv,69261,364a3dff955fec9d0434bf2c62612ed076be8eb1aec299ebfef4ff7bc65336b7
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figure_manifest.csv,7161,c2a86379abfa8e810c05c75b8f2d99ce3054daff55d6fc41849ce3f5bf6b389d
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/01_T0_depth_keyhole_distribution.png,135087,58b4bbd8abc7b0d982b2c29badc43eac392b9c1a84dfae7e1e0ffd6ecc94f2bf
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/02_max_depth_keyhole_distribution.png,135796,e71bfa3b9ca0d9063a0ecd50800c881225f53fd638514103cd1703af74c6c118
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/03_G3_keyhole_distribution.png,134393,400100a24be38969fc6dc65cfa6fdc9d425b4ab9ae76ffdda64e584ac1c55cf0
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/04_R3_keyhole_distribution.png,148378,e94a6adb0729cf202d466106a24a3c866c099f8ac0729105c4443e863882e3ff
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/05_main_candidate_roc_curves.png,102409,a32e9be7cd895b8564045d44e7b347130663dd465409bee6e6d191d19b151089
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/06_main_candidate_precision_recall_curves.png,92290,99d5bcfb438322bf64eec67731421c96b12e4aa7d6e74cce0d7cb2e85e7c1dea
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/07_scalar_proxy_auc_intervals.png,79449,a5a48a34697fcf37434849720ee40364afff2cdd0c4f52d6bfef36e9ecf63b0f
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/08_threshold_cv_performance.png,77074,028ed523d032c83951035ef6b17d4d3e7e59d48bd7c2914c71602cf768cdbcd1
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/09_threshold_stability.png,81750,7c4b630d02a205aa4df978a20c6c7ac3f4bbf5b77d789d35c5ed8048a4547c57
outputs/week7_05_keyhole_physical_proxy_analysis/smoke/figures/10_keyhole_timing_main_candidates.png,124002,bbc0aec43b72762c4debb0113d54ca66d138246ca3afc21a8d245ee9e29c0aed
