section,metric,mean,median,q1,q3,n
path_and_prediction,first_divergence_budget,38.25,32.0,22.75,49.0,16
path_and_prediction,selected_query_disagreement_fraction,0.3265625,0.296875,0.046875,0.5625,20
path_and_prediction,jaccard_B40,0.9139162938802439,1.0,0.893687707641196,1.0,20
path_and_prediction,jaccard_B80,0.9832721486631243,1.0,0.9938271604938271,1.0,20
path_and_prediction,L100_q20_AULC,0.8418198529411764,0.8540900735294118,0.8182444852941175,0.8835018382352944,20
path_and_prediction,L1000_q20_AULC,0.8422104779411764,0.8527113970588236,0.8215762867647057,0.8835018382352944,20
path_and_prediction,delta_L1000_minus_L100_q20_AULC,0.0003906250000000222,0.0,-0.00022977941176471894,0.0009191176470588758,20
L100,residual_sd_upper_bound_hit,0.7046153846153846,1.0,0.0,1.0,1300
L100,any_length_upper_bound_hit,0.78,1.0,1.0,1.0,1300
L100,optimizer_converged,0.9515384615384616,1.0,1.0,1.0,1300
L1000,residual_sd_upper_bound_hit,0.7007692307692308,1.0,0.0,1.0,1300
L1000,any_length_upper_bound_hit,0.6576923076923077,1.0,0.0,1.0,1300
L1000,optimizer_converged,0.96,1.0,1.0,1.0,1300
