repeat,model,subset,accuracy_AULC_16_80
1,P0,B1_q20,0.8400735294117647
1,P0,B1_q30,0.875875
1,P1,B1_q20,0.8408088235294118
1,P1,B1_q30,0.8789999999999999
2,P0,B1_q20,0.8365808823529411
2,P0,B1_q30,0.8815
2,P1,B1_q20,0.8316176470588236
2,P1,B1_q30,0.883375
3,P0,B1_q20,0.8380514705882351
3,P0,B1_q30,0.8658125
3,P1,B1_q20,0.8555147058823529
3,P1,B1_q30,0.8815625
4,P0,B1_q20,0.8306985294117647
4,P0,B1_q30,0.8794375000000001
4,P1,B1_q20,0.8434742647058824
4,P1,B1_q30,0.8924999999999998
5,P0,B1_q20,0.8370404411764707
5,P0,B1_q30,0.8883749999999999
5,P1,B1_q20,0.8385110294117647
5,P1,B1_q30,0.888625
6,P0,B1_q20,0.8526654411764705
6,P0,B1_q30,0.890625
6,P1,B1_q20,0.8642463235294118
6,P1,B1_q30,0.89975
7,P0,B1_q20,0.8411764705882353
7,P0,B1_q30,0.8825624999999999
7,P1,B1_q20,0.8443014705882353
7,P1,B1_q30,0.8843125000000001
8,P0,B1_q20,0.8509191176470589
8,P0,B1_q30,0.8921249999999998
8,P1,B1_q20,0.8386029411764706
8,P1,B1_q30,0.884
9,P0,B1_q20,0.8657169117647058
9,P0,B1_q30,0.8935625
9,P1,B1_q20,0.8610294117647058
9,P1,B1_q30,0.89225
10,P0,B1_q20,0.8443014705882353
10,P0,B1_q30,0.89125
10,P1,B1_q20,0.8458639705882354
10,P1,B1_q30,0.8924375
11,P0,B1_q20,0.8325367647058824
11,P0,B1_q30,0.8802499999999999
11,P1,B1_q20,0.828125
11,P1,B1_q30,0.8778749999999998
12,P0,B1_q20,0.8513786764705882
12,P0,B1_q30,0.8909374999999999
12,P1,B1_q20,0.8512867647058823
12,P1,B1_q30,0.891
13,P0,B1_q20,0.8518382352941176
13,P0,B1_q30,0.8925000000000001
13,P1,B1_q20,0.8449448529411765
13,P1,B1_q30,0.8924375
14,P0,B1_q20,0.8407169117647058
14,P0,B1_q30,0.8881874999999999
14,P1,B1_q20,0.8386948529411764
14,P1,B1_q30,0.8886875
15,P0,B1_q20,0.8426470588235295
15,P0,B1_q30,0.8844375
15,P1,B1_q20,0.8502757352941177
15,P1,B1_q30,0.891625
16,P0,B1_q20,0.8548713235294118
16,P0,B1_q30,0.8904375
16,P1,B1_q20,0.8552389705882353
16,P1,B1_q30,0.8959999999999999
17,P0,B1_q20,0.8387867647058822
17,P0,B1_q30,0.875
17,P1,B1_q20,0.8433823529411765
17,P1,B1_q30,0.8821249999999999
18,P0,B1_q20,0.8403492647058822
18,P0,B1_q30,0.875125
18,P1,B1_q20,0.8356617647058823
18,P1,B1_q30,0.876375
19,P0,B1_q20,0.821875
19,P0,B1_q30,0.8715624999999999
19,P1,B1_q20,0.8382352941176471
19,P1,B1_q30,0.8830625
20,P0,B1_q20,0.8375919117647058
20,P0,B1_q30,0.8873749999999999
20,P1,B1_q20,0.8426470588235293
20,P1,B1_q30,0.8916875000000001
