model,region,mean_AULC,ci_lower,ci_upper
P0,EARLY_B16_40,0.8275980392156862,0.8220098039215686,0.8333333333333333
P0,LATE_B41_80,0.851500754147813,0.846168552036199,0.8569230769230769
P1,EARLY_B16_40,0.8260416666666668,0.8216173406862745,0.8306007965686275
P1,LATE_B41_80,0.8560105580693815,0.8507390648567119,0.8608900829562595
