path,metric,mean,median,q1,q3,n
P0,truth,0.37328125,0.0,0.0,1.0,6400
P0,P,241.60465154384022,229.384485496,160.605564338,326.931045044,6400
P0,VX,0.5380620791884716,0.520710876808,0.300060565388,0.746856862244,6400
P0,LS,5.3401887666141654e-05,4.89218084001e-05,4.5e-05,5.92121677448e-05,6400
P0,ST,344.3344602739837,340.774386379,309.475761642,375.783913497,6400
P0,h,892698378.833185,849139509.2092178,685629329.0377597,1037910386.7671369,6400
P0,B1_distance_posthoc,0.8501286221877358,0.8085444912890991,0.6187742015491088,1.0389978963674111,6400
P0,probability_before_reveal,,,,,0
P0,margin_abs_probability_minus_half,,,,,0
P1,truth,0.42046875,0.0,0.0,1.0,6400
P1,P,260.5017619456033,243.042265843,205.507001181,328.176471421,6400
P1,VX,0.5270404412555204,0.480404321045,0.300060565388,0.724937635215,6400
P1,LS,5.487364879537687e-05,5.3177056457e-05,4.72561688305e-05,6.23730108092e-05,6400
P1,ST,347.8887831561089,348.956388187,323.833105745,372.154003234,6400
P1,h,949678048.5405304,863801312.997755,746449803.2002339,1117722986.1932313,6400
P1,B1_distance_posthoc,0.8224598220318575,0.7914133471407223,0.6241600664435467,0.9705346306714726,6400
P1,probability_before_reveal,0.4458942113671449,0.44055523857027623,0.15844439691272783,0.7174035789714708,6400
P1,margin_abs_probability_minus_half,0.2674638067078238,0.3050712823209665,0.11292300062646632,0.4143348193668146,6400
P1_vs_P0,same-step selected-query disagreement fraction,0.98078125,,,,6400
