model,contrast,subset,budget,metric,mean,ci_lower,ci_upper
P0,none,full81,16,roc_auc,0.9809344403523508,0.972927092621309,0.9867376031099911
P1,none,full81,16,roc_auc,0.9809344403523508,0.9728807224699015,0.98665828810493
difference,P1-P0,full81,16,roc_auc,0.0,0.0,0.0
P0,none,full81,16,pr_auc,0.9365800091914466,0.9234348716400567,0.947388541539368
P1,none,full81,16,pr_auc,0.9365800091914466,0.9232833403446122,0.9473388495246838
difference,P1-P0,full81,16,pr_auc,0.0,0.0,0.0
P0,none,full81,16,accuracy,0.9438271604938271,0.9374074074074074,0.9497530864197529
P1,none,full81,16,accuracy,0.9438271604938271,0.9371604938271604,0.9498765432098765
difference,P1-P0,full81,16,accuracy,0.0,0.0,0.0
P0,none,full81,16,balanced_accuracy,0.9081910900045228,0.8916724655941074,0.9228508528784649
P1,none,full81,16,balanced_accuracy,0.9081910900045228,0.8911809806487045,0.9229136589778381
difference,P1-P0,full81,16,balanced_accuracy,0.0,0.0,0.0
P0,none,full81,16,keyhole_recall,0.8526666666666667,0.8173797619047619,0.8862857142857143
P1,none,full81,16,keyhole_recall,0.8526666666666667,0.8173321428571428,0.8852857142857143
difference,P1-P0,full81,16,keyhole_recall,0.0,0.0,0.0
P0,none,full81,16,conduction_recall,0.9637155133423791,0.9566055517865217,0.971266395296246
P1,none,full81,16,conduction_recall,0.9637155133423791,0.9565874038896428,0.9711058909995474
difference,P1-P0,full81,16,conduction_recall,0.0,0.0,0.0
P0,none,full81,16,brier_score,0.04888925485334674,0.04481577432701295,0.05315849447725493
P1,none,full81,16,brier_score,0.04888925485334674,0.044863223089877585,0.053125710517759585
difference,P1-P0,full81,16,brier_score,3.4694469519536144e-19,0.0,1.0408340855860842e-18
P0,none,full81,40,roc_auc,0.9917843897396136,0.9913276679373696,0.9922248713144235
P1,none,full81,40,roc_auc,0.9913331610346534,0.9898562641338761,0.9923106986711463
difference,P1-P0,full81,40,roc_auc,-0.0004512287049601105,-0.0018289359479658825,0.000489278176218406
P0,none,full81,40,pr_auc,0.9636688769496089,0.9611844037064475,0.96603208101115
P1,none,full81,40,pr_auc,0.9625782467925894,0.9585858502442284,0.9658820034175541
difference,P1-P0,full81,40,pr_auc,-0.0010906301570191678,-0.004465100647530888,0.0016074062744851827
P0,none,full81,40,accuracy,0.9650617283950618,0.9634567901234566,0.9669135802469135
P1,none,full81,40,accuracy,0.9648148148148147,0.9634567901234566,0.9661728395061729
difference,P1-P0,full81,40,accuracy,-0.0002469135802468991,-0.0024691358024691024,0.0018518518518518435
P0,none,full81,40,balanced_accuracy,0.9356442463009629,0.9318537071137818,0.9395330110809589
P1,none,full81,40,balanced_accuracy,0.9329612004910512,0.9300949699554176,0.9358613854429154
difference,P1-P0,full81,40,balanced_accuracy,-0.0026830458099114662,-0.0069349090586030455,0.001741314531239881
P0,none,full81,40,keyhole_recall,0.8898095238095237,0.8812845238095237,0.898095238095238
P1,none,full81,40,keyhole_recall,0.8832380952380952,0.8770940476190475,0.8894761904761903
difference,P1-P0,full81,40,keyhole_recall,-0.006571428571428556,-0.015142857142857102,0.0028107142857143087
P0,none,full81,40,conduction_recall,0.9814789687924019,0.97937579149706,0.9834487222976029
P1,none,full81,40,conduction_recall,0.9826843057440072,0.9808954658525553,0.9841678539122569
difference,P1-P0,full81,40,conduction_recall,0.0012053369516056122,-0.001361374943464456,0.003473541383989154
P0,none,full81,40,brier_score,0.030072453287422456,0.02929782880693256,0.030853951358926553
P1,none,full81,40,brier_score,0.03144542769046928,0.029930234436968475,0.03310737554080606
difference,P1-P0,full81,40,brier_score,0.0013729744030468258,0.0001194701334416481,0.0027380956618628396
P0,none,full81,80,roc_auc,0.9925940858478173,0.9921080479636447,0.9931042180870541
P1,none,full81,80,roc_auc,0.9928589519932803,0.992401055867847,0.9933348317934136
difference,P1-P0,full81,80,roc_auc,0.00026486614546316625,-2.0761990911227766e-05,0.0005706747647046095
P0,none,full81,80,pr_auc,0.966777994474884,0.9641554865354139,0.9692951496256683
P1,none,full81,80,pr_auc,0.9676364829610474,0.9649839912483978,0.9701713310671832
difference,P1-P0,full81,80,pr_auc,0.0008584884861630781,-0.00033002157031546933,0.002140797143751546
P0,none,full81,80,accuracy,0.9685185185185186,0.9674074074074074,0.9695061728395065
P1,none,full81,80,accuracy,0.9691358024691358,0.9674074074074074,0.9706172839506175
difference,P1-P0,full81,80,accuracy,0.0006172839506172756,-0.00037037037037035425,0.0014814814814814725
P0,none,full81,80,balanced_accuracy,0.93219315758868,0.9292204561607549,0.9351823754603606
P1,none,full81,80,balanced_accuracy,0.9333435420301092,0.92903184160367,0.9372973791755509
difference,P1-P0,full81,80,balanced_accuracy,0.001150384441429192,-0.0008949731860179832,0.0032283323641532622
P0,none,full81,80,keyhole_recall,0.8755238095238095,0.8692380952380955,0.8817142857142857
P1,none,full81,80,keyhole_recall,0.8775238095238095,0.8689988095238095,0.8856678571428573
difference,P1-P0,full81,80,keyhole_recall,0.0020000000000000183,-0.002809523809523756,0.006761904761904769
P0,none,full81,80,conduction_recall,0.9888625056535505,0.9879782903663502,0.9896291270918136
P1,none,full81,80,conduction_recall,0.9891632745364088,0.9880913613749434,0.9900746834011761
difference,P1-P0,full81,80,conduction_recall,0.00030076888285842653,-0.0010584011759385233,0.0015038444142921885
P0,none,full81,80,brier_score,0.027361725359886502,0.026861978735814113,0.027851992983389806
P1,none,full81,80,brier_score,0.026332167942662917,0.025843336118046834,0.026822663909661384
difference,P1-P0,full81,80,brier_score,-0.0010295574172235827,-0.0013386702688778173,-0.0007130327314475392
