run_id,repeat,fold,first_divergence_budget,paths_identical_through_B16,shared_B40,jaccard_B40,unique_P0_B40,unique_P1_B40,shared_B80,jaccard_B80,unique_P0_B80,unique_P1_B80
w85__r01_f01,1,1,17,True,28,0.5384615384615384,12,12,72,0.8181818181818182,8,8
w85__r01_f02,1,2,17,True,31,0.6326530612244898,9,9,63,0.6494845360824743,17,17
w85__r01_f03,1,3,17,True,33,0.7021276595744681,7,7,68,0.7391304347826086,12,12
w85__r01_f04,1,4,17,True,36,0.8181818181818182,4,4,66,0.7021276595744681,14,14
w85__r01_f05,1,5,17,True,28,0.5384615384615384,12,12,67,0.7204301075268817,13,13
w85__r02_f01,2,1,18,True,25,0.45454545454545453,15,15,69,0.7582417582417582,11,11
w85__r02_f02,2,2,17,True,26,0.48148148148148145,14,14,63,0.6494845360824743,17,17
w85__r02_f03,2,3,17,True,29,0.5686274509803921,11,11,74,0.8604651162790697,6,6
w85__r02_f04,2,4,17,True,31,0.6326530612244898,9,9,63,0.6494845360824743,17,17
w85__r02_f05,2,5,18,True,28,0.5384615384615384,12,12,67,0.7204301075268817,13,13
w85__r03_f01,3,1,17,True,30,0.6,10,10,73,0.8390804597701149,7,7
w85__r03_f02,3,2,17,True,26,0.48148148148148145,14,14,65,0.6842105263157895,15,15
w85__r03_f03,3,3,17,True,28,0.5384615384615384,12,12,73,0.8390804597701149,7,7
w85__r03_f04,3,4,17,True,30,0.6,10,10,59,0.5841584158415841,21,21
w85__r03_f05,3,5,17,True,27,0.5094339622641509,13,13,68,0.7391304347826086,12,12
w85__r04_f01,4,1,17,True,32,0.6666666666666666,8,8,65,0.6842105263157895,15,15
w85__r04_f02,4,2,17,True,32,0.6666666666666666,8,8,66,0.7021276595744681,14,14
w85__r04_f03,4,3,17,True,32,0.6666666666666666,8,8,70,0.7777777777777778,10,10
w85__r04_f04,4,4,17,True,30,0.6,10,10,65,0.6842105263157895,15,15
w85__r04_f05,4,5,17,True,27,0.5094339622641509,13,13,68,0.7391304347826086,12,12
w85__r05_f01,5,1,17,True,31,0.6326530612244898,9,9,64,0.6666666666666666,16,16
w85__r05_f02,5,2,17,True,31,0.6326530612244898,9,9,73,0.8390804597701149,7,7
w85__r05_f03,5,3,17,True,31,0.6326530612244898,9,9,69,0.7582417582417582,11,11
w85__r05_f04,5,4,17,True,30,0.6,10,10,62,0.6326530612244898,18,18
w85__r05_f05,5,5,17,True,34,0.7391304347826086,6,6,61,0.6161616161616161,19,19
w85__r06_f01,6,1,17,True,24,0.42857142857142855,16,16,64,0.6666666666666666,16,16
