run_id,repeat,fold,first_divergence_budget,selected_query_disagreement_count,selected_query_disagreement_fraction,L100_q20_AULC,L1000_q20_AULC,delta_L1000_minus_L100_q20_AULC,shared_B40,jaccard_B40,shared_B80,jaccard_B80,L100_B16_accuracy,L1000_B16_accuracy,delta_B16_accuracy,L100_B16_balanced_accuracy,L1000_B16_balanced_accuracy,delta_B16_balanced_accuracy,L100_B16_keyhole_recall,L1000_B16_keyhole_recall,delta_B16_keyhole_recall,L100_B16_conduction_recall,L1000_B16_conduction_recall,delta_B16_conduction_recall,L100_B40_accuracy,L1000_B40_accuracy,delta_B40_accuracy,L100_B40_balanced_accuracy,L1000_B40_balanced_accuracy,delta_B40_balanced_accuracy,L100_B40_keyhole_recall,L1000_B40_keyhole_recall,delta_B40_keyhole_recall,L100_B40_conduction_recall,L1000_B40_conduction_recall,delta_B40_conduction_recall,L100_B80_accuracy,L1000_B80_accuracy,delta_B80_accuracy,L100_B80_balanced_accuracy,L1000_B80_balanced_accuracy,delta_B80_balanced_accuracy,L100_B80_keyhole_recall,L1000_B80_keyhole_recall,delta_B80_keyhole_recall,L100_B80_conduction_recall,L1000_B80_conduction_recall,delta_B80_conduction_recall
w85__r01_f01,1,1,45.0,9,0.140625,0.8920036764705884,0.8910845588235295,-0.0009191176470588758,40,1.0,80,1.0,0.8235294117647058,0.8235294117647058,0.0,0.7857142857142857,0.7857142857142857,0.0,0.5714285714285714,0.5714285714285714,0.0,1.0,1.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.8571428571428572,0.8571428571428572,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.8571428571428572,0.8571428571428572,0.0,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,0.0
w85__r02_f02,2,2,41.0,5,0.078125,0.8478860294117647,0.8478860294117647,0.0,40,1.0,80,1.0,0.6470588235294118,0.6470588235294118,0.0,0.75,0.75,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8166666666666667,0.8166666666666667,0.0,0.8,0.8,0.0,0.8333333333333334,0.8333333333333334,0.0,0.9411764705882353,0.9411764705882353,0.0,0.9,0.9,0.0,0.8,0.8,0.0,1.0,1.0,0.0
w85__r03_f03,3,3,23.0,36,0.5625,0.8598345588235294,0.8561580882352942,-0.003676470588235281,38,0.9047619047619048,80,1.0,0.7058823529411765,0.7058823529411765,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8823529411764706,0.8235294117647058,-0.05882352941176472,0.9166666666666667,0.7583333333333333,-0.15833333333333344,1.0,0.6,-0.4,0.8333333333333334,0.9166666666666666,0.08333333333333326,0.8823529411764706,0.8823529411764706,0.0,0.8583333333333334,0.8583333333333334,0.0,0.8,0.8,0.0,0.9166666666666666,0.9166666666666666,0.0
w85__r04_f04,4,4,77.0,3,0.046875,0.8772977941176472,0.878216911764706,0.0009191176470587648,40,1.0,80,1.0,0.8823529411764706,0.8823529411764706,0.0,0.8785714285714286,0.8785714285714286,0.0,0.8571428571428571,0.8571428571428571,0.0,0.9,0.9,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8285714285714285,0.8285714285714285,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8,0.8,0.0,0.9411764705882353,0.9411764705882353,0.0,0.9285714285714286,0.9285714285714286,0.0,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,0.0
w85__r05_f05,5,5,,0,0.0,0.765625,0.765625,0.0,40,1.0,80,1.0,0.7647058823529411,0.7647058823529411,0.0,0.7569444444444444,0.7569444444444444,0.0,0.625,0.625,0.0,0.8888888888888888,0.8888888888888888,0.0,0.7647058823529411,0.7647058823529411,0.0,0.7569444444444444,0.7569444444444444,0.0,0.625,0.625,0.0,0.8888888888888888,0.8888888888888888,0.0,0.7647058823529411,0.7647058823529411,0.0,0.7569444444444444,0.7569444444444444,0.0,0.625,0.625,0.0,0.8888888888888888,0.8888888888888888,0.0
w85__r06_f01,6,1,23.0,39,0.609375,0.8864889705882353,0.8869485294117647,0.0004595588235294379,33,0.7021276595744681,75,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.0,0.8333333333333333,0.8333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.9411764705882353,0.9411764705882353,0.0,0.9166666666666667,0.9166666666666667,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0.8235294117647058,0.8823529411764706,0.05882352941176472,0.75,0.8333333333333333,0.08333333333333326,0.5,0.6666666666666666,0.16666666666666663,1.0,1.0,0.0
w85__r07_f02,7,2,61.0,3,0.046875,0.7683823529411764,0.7683823529411764,0.0,40,1.0,80,1.0,0.7058823529411765,0.7058823529411765,0.0,0.7727272727272727,0.7727272727272727,0.0,1.0,1.0,0.0,0.5454545454545454,0.5454545454545454,0.0,0.7647058823529411,0.7647058823529411,0.0,0.7803030303030303,0.7803030303030303,0.0,0.8333333333333334,0.8333333333333334,0.0,0.7272727272727273,0.7272727272727273,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8257575757575758,0.8257575757575758,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8181818181818182,0.8181818181818182,0.0
w85__r08_f03,8,3,,0,0.0,0.8887867647058825,0.8887867647058825,0.0,40,1.0,80,1.0,0.8235294117647058,0.8235294117647058,0.0,0.8636363636363636,0.8636363636363636,0.0,1.0,1.0,0.0,0.7272727272727273,0.7272727272727273,0.0,0.8823529411764706,0.8823529411764706,0.0,0.9090909090909092,0.9090909090909092,0.0,1.0,1.0,0.0,0.8181818181818182,0.8181818181818182,0.0,0.9411764705882353,0.9411764705882353,0.0,0.9545454545454546,0.9545454545454546,0.0,1.0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.0
w85__r09_f04,9,4,41.0,19,0.296875,0.8442095588235293,0.8488051470588235,0.004595588235294157,40,1.0,80,1.0,0.8235294117647058,0.8235294117647058,0.0,0.85,0.85,0.0,1.0,1.0,0.0,0.7,0.7,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8071428571428572,0.8071428571428572,0.0,0.7142857142857143,0.7142857142857143,0.0,0.9,0.9,0.0,0.8823529411764706,0.8823529411764706,0.0,0.8785714285714286,0.8785714285714286,0.0,0.8571428571428571,0.8571428571428571,0.0,0.9,0.9,0.0
w85__r10_f05,10,5,31.0,25,0.390625,0.8010110294117645,0.7918198529411764,-0.009191176470588092,40,1.0,80,1.0,0.7647058823529411,0.7647058823529411,0.0,0.7708333333333333,0.7708333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.875,0.875,0.0,0.8823529411764706,0.8823529411764706,0.0,0.8819444444444444,0.8819444444444444,0.0,0.8888888888888888,0.8888888888888888,0.0,0.875,0.875,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8263888888888888,0.8263888888888888,0.0,0.7777777777777778,0.7777777777777778,0.0,0.875,0.875,0.0
w85__r11_f01,11,1,25.0,55,0.859375,0.8832720588235297,0.8832720588235297,0.0,31,0.6326530612244898,76,0.9047619047619048,0.8823529411764706,0.8823529411764706,0.0,0.875,0.875,0.0,0.75,0.75,0.0,1.0,1.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.875,0.875,0.0,0.75,0.75,0.0,1.0,1.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.875,0.875,0.0,0.75,0.75,0.0,1.0,1.0,0.0
