metric,mean,median,q1,q3,minimum,maximum,n
first_divergence_budget,17.04,17.0,17.0,17.0,17.0,18.0,100
shared_B40,29.62,30.0,28.0,31.0,21.0,36.0,100
jaccard_B40,0.5916437727360101,0.6,0.5384615384615384,0.6326530612244898,0.3559322033898305,0.8181818181818182,100
unique_P0_B40,10.38,10.0,9.0,12.0,4.0,19.0,100
unique_P1_B40,10.38,10.0,9.0,12.0,4.0,19.0,100
shared_B80,66.02,66.0,63.0,69.0,48.0,74.0,100
jaccard_B80,0.7055459576751194,0.7021276595744681,0.6494845360824743,0.7582417582417582,0.42857142857142855,0.8604651162790697,100
unique_P0_B80,13.98,14.0,11.0,17.0,6.0,32.0,100
unique_P1_B80,13.98,14.0,11.0,17.0,6.0,32.0,100
