model,scope,metric,mean,median,q1,q3,n
P0,all_B16_80,residual_sd,0.8107778888829713,0.979098959136553,0.7093763989072817,1.0,6500
P0,all_B16_80,residual_sd_lower_bound_hit,0.07415384615384615,0.0,0.0,0.0,6500
P0,all_B16_80,residual_sd_upper_bound_hit,0.4787692307692308,0.0,0.0,1.0,6500
P0,all_B16_80,residual_sd_any_bound_hit,0.552923076923077,1.0,0.0,1.0,6500
P0,all_B16_80,any_length_lower_bound_hit,0.041846153846153845,0.0,0.0,0.0,6500
P0,all_B16_80,any_length_upper_bound_hit,0.6873846153846154,1.0,0.0,1.0,6500
P0,all_B16_80,any_length_bound_hit,0.7098461538461538,1.0,0.0,1.0,6500
P0,all_B16_80,optimizer_converged,0.9303076923076923,1.0,1.0,1.0,6500
P0,all_B16_80,anisotropy_ratio,748.7320902378449,220.22078958192748,136.40155920880377,313.9161627859954,6500
P0,all_B16_80,l_P,30.725492280681305,1.5594466781062986,0.6647531816461512,100.00000000000004,6500
P0,all_B16_80,l_VX,9.22630628115011,0.4530304627691127,0.35500661308268094,0.5748605892543268,6500
P0,all_B16_80,l_LS,42.57171380601784,15.954297528968196,0.7800191019284042,100.00000000000004,6500
P0,all_B16_80,l_ST,59.70820659371827,100.00000000000004,2.2579737277022005,100.00000000000004,6500
P0,B16,residual_sd,0.40031638289129473,0.05,0.05,0.7966287225320965,100
P0,B16,residual_sd_lower_bound_hit,0.55,1.0,0.0,1.0,100
P0,B16,residual_sd_upper_bound_hit,0.17,0.0,0.0,0.0,100
P0,B16,residual_sd_any_bound_hit,0.72,1.0,0.0,1.0,100
P0,B16,any_length_lower_bound_hit,0.0,0.0,0.0,0.0,100
P0,B16,any_length_upper_bound_hit,0.25,0.0,0.0,0.25,100
P0,B16,any_length_bound_hit,0.25,0.0,0.0,0.25,100
P0,B16,optimizer_converged,0.95,1.0,1.0,1.0,100
P0,B16,anisotropy_ratio,102.83513981182752,1.0025290511704705,1.0005112719040552,105.68246933144066,100
P0,B16,l_P,17.515821643167715,0.9999366646715281,0.9989054751425696,1.5031782701272183,100
P0,B16,l_VX,5.746188998500136,0.9994387584334479,0.6140166965015741,0.9999320246655552,100
P0,B16,l_LS,21.397722765100124,0.9998687843872147,0.999209021585605,1.815020605656155,100
P0,B16,l_ST,13.722223761646449,0.9997906049701171,0.6931428844470622,0.9999918089569655,100
P0,B40,residual_sd,0.8074148744169166,1.0,0.7083860389707833,1.0,100
P0,B40,residual_sd_lower_bound_hit,0.09,0.0,0.0,0.0,100
P0,B40,residual_sd_upper_bound_hit,0.57,1.0,0.0,1.0,100
P0,B40,residual_sd_any_bound_hit,0.66,1.0,0.0,1.0,100
P0,B40,any_length_lower_bound_hit,0.05,0.0,0.0,0.0,100
P0,B40,any_length_upper_bound_hit,0.83,1.0,1.0,1.0,100
P0,B40,any_length_bound_hit,0.86,1.0,1.0,1.0,100
P0,B40,optimizer_converged,0.98,1.0,1.0,1.0,100
P0,B40,anisotropy_ratio,985.8437842438407,261.7641598080619,215.77487463231614,402.0217985957586,100
P0,B40,l_P,36.15093188725472,2.424867024801795,0.6863880934258857,100.00000000000004,100
P0,B40,l_VX,11.429168212915258,0.42181859448371045,0.32048996792895673,0.5681754281022449,100
P0,B40,l_LS,47.378000377592635,15.713550028541356,0.4369089566947157,100.00000000000004,100
P0,B40,l_ST,78.2548364407474,100.00000000000004,77.2170386706948,100.00000000000004,100
P0,B80,residual_sd,0.9464574661574245,1.0,0.922200997739072,1.0,100
P0,B80,residual_sd_lower_bound_hit,0.0,0.0,0.0,0.0,100
P0,B80,residual_sd_upper_bound_hit,0.68,1.0,0.0,1.0,100
P0,B80,residual_sd_any_bound_hit,0.68,1.0,0.0,1.0,100
P0,B80,any_length_lower_bound_hit,0.0,0.0,0.0,0.0,100
P0,B80,any_length_upper_bound_hit,0.66,1.0,0.0,1.0,100
P0,B80,any_length_bound_hit,0.66,1.0,0.0,1.0,100
P0,B80,optimizer_converged,0.87,1.0,1.0,1.0,100
P0,B80,anisotropy_ratio,361.4994521916487,175.9787277562381,128.64418248432744,219.5956807733494,100
P0,B80,l_P,24.065281348358425,1.5988186690920911,0.9264638672697074,32.80307248585239,100
P0,B80,l_VX,2.4741255604232375,0.49702014349336116,0.4294571789244501,0.5662104554776328,100
P0,B80,l_LS,54.70928768817355,60.729306165242335,3.645999315546774,100.00000000000004,100
P0,B80,l_ST,61.90011338243967,94.43234099931348,5.65188661689431,100.00000000000004,100
P1,all_B16_80,residual_sd,0.8850717439661419,1.0,0.949292954359375,1.0,6500
P1,all_B16_80,residual_sd_lower_bound_hit,0.07476923076923077,0.0,0.0,0.0,6500
P1,all_B16_80,residual_sd_upper_bound_hit,0.72,1.0,0.0,1.0,6500
P1,all_B16_80,residual_sd_any_bound_hit,0.7947692307692308,1.0,1.0,1.0,6500
P1,all_B16_80,any_length_lower_bound_hit,0.009846153846153846,0.0,0.0,0.0,6500
P1,all_B16_80,any_length_upper_bound_hit,0.7935384615384615,1.0,1.0,1.0,6500
P1,all_B16_80,any_length_bound_hit,0.8003076923076923,1.0,1.0,1.0,6500
P1,all_B16_80,optimizer_converged,0.9546153846153846,1.0,1.0,1.0,6500
P1,all_B16_80,anisotropy_ratio,383.25965976776286,203.73240736368996,158.60256057276763,249.98240378185486,6500
P1,all_B16_80,l_P,37.933746323689704,2.117599338248429,0.9995627579982351,100.00000000000004,6500
P1,all_B16_80,l_VX,5.961654870922592,0.495271820942529,0.41659449881588545,0.5987912558270675,6500
P1,all_B16_80,l_LS,56.73846861484249,100.00000000000004,1.0391754519045997,100.00000000000004,6500
P1,all_B16_80,l_ST,57.28075590010535,100.00000000000004,2.7844115128579667,100.00000000000004,6500
P1,B16,residual_sd,0.40031638289129473,0.05,0.05,0.7966287225320965,100
P1,B16,residual_sd_lower_bound_hit,0.55,1.0,0.0,1.0,100
P1,B16,residual_sd_upper_bound_hit,0.17,0.0,0.0,0.0,100
P1,B16,residual_sd_any_bound_hit,0.72,1.0,0.0,1.0,100
P1,B16,any_length_lower_bound_hit,0.0,0.0,0.0,0.0,100
P1,B16,any_length_upper_bound_hit,0.25,0.0,0.0,0.25,100
P1,B16,any_length_bound_hit,0.25,0.0,0.0,0.25,100
P1,B16,optimizer_converged,0.95,1.0,1.0,1.0,100
P1,B16,anisotropy_ratio,102.83513981182752,1.0025290511704705,1.0005112719040552,105.68246933144066,100
P1,B16,l_P,17.515821643167715,0.999936664671528,0.9989054751425697,1.503178270127218,100
P1,B16,l_VX,5.746188998500136,0.9994387584334479,0.6140166965015741,0.9999320246655552,100
P1,B16,l_LS,21.397722765100124,0.9998687843872149,0.999209021585605,1.815020605656155,100
