name,kernel_key,kernel_label,observed_target,clean_trained_prediction,clean_trained_std,clean_trained_absolute_error,heldout_screenshot_bug_any,broad_observed_target_check,broad_trained_prediction,broad_trained_std,broad_trained_absolute_error,paired_absolute_error_difference_broad_minus_clean,paired_improvement_clean_minus_broad,paired_outcome
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,isotropic_rbf,Isotropic RBF,11779.0,16932.05970845597,793.8027368169994,5153.05970845597,False,11779.0,18196.389073350823,2937.1656076214053,6417.389073350823,1264.329364894853,-1264.329364894853,worsened_by_broad_training
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,ard_rbf,ARD RBF — Automatic Relevance Determination RBF,11779.0,16564.843599094103,907.4537178625031,4785.843599094103,False,11779.0,16882.09812887541,1189.2142761846771,5103.098128875408,317.2545297813049,-317.2545297813049,worsened_by_broad_training
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,matern_3_2,Matérn 3/2,11779.0,15759.908885070196,823.3105354052169,3980.9088850701955,False,11779.0,16913.160313586184,6311.657518743957,5134.160313586184,1153.2514285159887,-1153.2514285159887,worsened_by_broad_training
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,matern_5_2,Matérn 5/2,11779.0,16185.9135514143,809.357964331095,4406.9135514143,False,11779.0,17258.647381885297,4863.285181325839,5479.647381885297,1072.7338304709974,-1072.7338304709974,worsened_by_broad_training
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,isotropic_rbf,Isotropic RBF,28904.0,30241.22833997062,4068.790407364375,1337.2283399706212,False,28904.0,31191.594609084503,9757.692066878379,2287.5946090845027,950.3662691138816,-950.3662691138816,worsened_by_broad_training
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,ard_rbf,ARD RBF — Automatic Relevance Determination RBF,28904.0,39614.77523004093,1359.594790649772,10710.775230040927,False,28904.0,30725.608007439347,4813.880075657491,1821.6080074393467,-8889.16722260158,8889.16722260158,improved_by_broad_training
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,matern_3_2,Matérn 3/2,28904.0,28732.380762150147,2011.426137893068,171.61923784985265,False,28904.0,29339.332123423348,12036.120995621259,435.3321234233481,263.71288557349544,-263.71288557349544,worsened_by_broad_training
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,matern_5_2,Matérn 5/2,28904.0,29462.59198708682,2613.6206935713617,558.5919870868202,False,28904.0,29931.71878289049,11245.954402526493,1027.7187828904898,469.12679580366967,-469.12679580366967,worsened_by_broad_training
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,isotropic_rbf,Isotropic RBF,9630.0,13880.397131892341,2715.3064788354172,4250.397131892341,False,9630.0,14600.522003624119,6618.002648027989,4970.522003624119,720.1248717317776,-720.1248717317776,worsened_by_broad_training
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,ard_rbf,ARD RBF — Automatic Relevance Determination RBF,9630.0,12765.102941523266,1029.2051150020975,3135.102941523266,False,9630.0,12325.328168974913,1954.407498875864,2695.328168974913,-439.7747725483532,439.7747725483532,improved_by_broad_training
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,matern_3_2,Matérn 3/2,9630.0,12114.646718936145,1401.7065780479752,2484.6467189361447,False,9630.0,12870.694684105867,8937.7202336232,3240.694684105867,756.0479651697224,-756.0479651697224,worsened_by_broad_training
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,matern_5_2,Matérn 5/2,9630.0,12673.633483886377,1788.5823166079688,3043.633483886377,False,9630.0,13326.172645984418,8162.526090600781,3696.1726459844176,652.5391620980408,-652.5391620980408,worsened_by_broad_training
