N_new,K_folds,n_test,n_q20,n_train,runs,CI_halfwidth,power_d0.005,power_d0.01,power_d0.015,power_d0.02
100,2,50,10,50,40,0.0124,0.12,0.35,0.66,0.89
120,2,60,12,60,40,0.0113,0.14,0.41,0.74,0.93
150,2,75,15,75,40,0.0101,0.16,0.49,0.83,0.97
200,2,100,20,100,40,0.0088,0.2,0.61,0.92,0.99
250,2,125,25,125,40,0.0078,0.24,0.71,0.96,1.0
300,3,100,20,200,60,0.0071,0.28,0.78,0.98,1.0
405,4,101,21,303,80,0.006,0.37,0.9,1.0,1.0
500,5,100,20,400,100,0.0055,0.42,0.94,1.0,1.0
